poll_iteration,poll_start_ns,poll_end_ns,poll_interval_ns,interface,operstate,t_ns,kind,bytes,packets,drops,overlimits,requeues,backlog_bytes,qlen,rx_bytes,rx_packets,rx_dropped,tx_bytes,tx_packets,tx_dropped
0,310565414329789,310565418249963,0,sA-eth3,up,310565418053601,netem,474,7,0,0,0,0,0,480,6,0,740,10,0
1,310565434416836,310565440354518,20087047,sA-eth3,up,310565440159287,netem,474,7,0,0,0,0,0,480,6,0,740,10,0
2,310565454413802,310565464525161,19996966,sA-eth3,up,310565464317480,netem,584,8,0,0,0,0,0,480,6,0,850,11,0
3,310565474414409,310565481956305,20000607,sA-eth3,up,310565481780893,netem,584,8,0,0,0,0,0,480,6,0,850,11,0
4,310565494412225,310565496359352,19997816,sA-eth3,up,310565496171290,netem,712,10,0,0,0,0,0,608,8,0,978,13,0
5,310565514408482,310565516138687,19996257,sA-eth3,up,310565515941245,netem,712,10,0,0,0,0,0,608,8,0,978,13,0
6,310565534410997,310565536144653,20002515,sA-eth3,up,310565535943952,netem,712,10,0,0,0,74,1,682,10,0,1052,14,0
7,310565554399004,310565556358741,19988007,sA-eth3,up,310565556135189,netem,51440,54,0,0,0,54570,4,101880,28,0,49924,30,0
8,310565574416531,310565576344858,20017527,sA-eth3,up,310565576163106,netem,244398,191,0,0,0,0,0,439202,49,0,235094,49,0
9,310565594414327,310565596717587,19997796,sA-eth3,up,310565596537296,netem,394812,298,0,0,0,27318,2,703662,63,0,379370,63,0
10,310565614414093,310565616562612,19999766,sA-eth3,up,310565616392231,netem,526992,392,0,0,0,6122,2,981088,78,0,512128,78,0
11,310565634410879,310565636549018,19996786,sA-eth3,up,310565636333626,netem,681816,500,0,0,0,24290,3,1241666,97,0,666870,97,0
12,310565654412056,310565656388883,20001177,sA-eth3,up,310565656200831,netem,851780,618,0,0,0,24290,3,1337172,118,0,830366,117,0
13,310565674409472,310565676414600,19997416,sA-eth3,up,310565676229128,netem,1028592,752,0,0,0,12178,2,1564974,147,0,988796,148,0
14,310565694450969,310565696840270,20041497,sA-eth3,up,310565696592068,netem,1202046,879,0,0,0,22842,4,1862412,178,0,1168814,177,0
15,310565714410295,310565716546923,19959326,sA-eth3,up,310565716331682,netem,1367996,1002,0,0,0,24290,3,2090148,206,0,1326980,204,0
16,310565734414281,310565736385429,20003986,sA-eth3,up,310565736195597,netem,1551850,1133,0,0,0,24224,2,2111990,223,0,1503838,229,0
17,310565754411678,310565756359775,19997397,sA-eth3,up,310565756152613,netem,1781978,1285,0,0,0,48448,3,2112914,237,0,1713274,243,0
18,310565774412665,310565776591713,20000987,sA-eth3,up,310565776348912,netem,2024218,1445,0,0,0,54504,3,2114122,255,0,1963452,260,0
19,310565794380161,310565796191696,19967496,sA-eth3,up,310565795986274,netem,2284626,1617,0,0,0,30412,4,2167528,274,0,2196188,276,0
20,310565814409637,310565816296033,20029476,sA-eth3,up,310565816110442,netem,2536874,1797,0,0,0,45552,5,2447722,307,0,2438536,306,0
21,310565834406603,310565836300059,19996966,sA-eth3,up,310565836104118,netem,2780104,1972,0,0,0,45618,6,2694546,339,0,2672262,337,0
22,310565854424920,310565856250516,20018317,sA-eth3,up,310565856077355,netem,3026362,2149,0,0,0,45618,6,2941304,370,0,2923496,370,0
23,310565874420986,310565876216282,19996066,sA-eth3,up,310565876035221,netem,3272928,2330,0,0,0,30346,3,3183784,402,0,3145814,403,0
24,310565894407952,310565896424630,19986966,sA-eth3,up,310565896144448,netem,3507074,2499,0,0,0,30346,3,3424750,433,0,3370852,434,0
25,310565914410488,310565916709319,20002536,sA-eth3,up,310565916536588,netem,3756294,2677,0,0,0,27450,5,3678814,465,0,3623402,465,0
26,310565934409755,310565936336122,19999267,sA-eth3,up,310565936154770,netem,4001038,2853,0,0,0,56150,5,3892004,492,0,3845346,493,0
27,310565954409442,310565956307348,19999687,sA-eth3,up,310565956073386,netem,4247362,3031,0,0,0,33440,4,4153374,525,0,4081968,524,0
28,310565974410888,310565978301253,20001446,sA-eth3,up,310565978044610,netem,4402252,3148,0,0,0,66,1,4334850,547,0,4230918,551,0
29,310565994412754,310565996327510,20001866,sA-eth3,up,310565996136979,netem,4589488,3286,0,0,0,30412,4,4553766,573,0,4410630,575,0
30,310566014408341,310566016356988,19995587,sA-eth3,up,310566016149756,netem,4840222,3465,0,0,0,47066,5,4813556,604,0,4651464,604,0
31,310566034409486,310566036405684,20001145,sA-eth3,up,310566036217483,netem,5087928,3642,0,0,0,69908,8,5051560,634,0,4889402,633,0
32,310566054408284,310566056299839,19998798,sA-eth3,up,310566056101338,netem,5334120,3818,0,0,0,86628,10,5270740,664,0,5141952,664,0
33,310566074407380,310566076349366,19999096,sA-eth3,up,310566076074414,netem,5584986,3999,0,0,0,83600,10,5502952,694,0,5366858,695,0
34,310566094392325,310566096293662,19984945,sA-eth3,up,310566096067581,netem,5835786,4179,0,0,0,95778,12,5735164,724,0,5607758,723,0
35,310566114407012,310566116183918,20014687,sA-eth3,up,310566115997847,netem,6085072,4358,0,0,0,100320,12,5965928,754,0,5847210,753,0
36,310566134410179,310566136301675,20003167,sA-eth3,up,310566136061583,netem,6331330,4535,0,0,0,117040,14,6208342,785,0,6102722,785,0
37,310566154407635,310566156301882,19997456,sA-eth3,up,310566156072110,netem,6585158,4717,0,0,0,19032,7,6345170,811,0,6327628,814,0
38,310566174412091,310566176512720,20004456,sA-eth3,up,310566176262558,netem,6788134,4867,0,0,0,56150,5,6570166,841,0,6538678,845,0
39,310566194414028,310566196775379,20001937,sA-eth3,up,310566196600617,netem,7058660,5060,0,0,0,69842,7,6829956,872,0,6782452,874,0
40,310566214412054,310566216399011,19998026,sA-eth3,up,310566216213940,netem,7292674,5227,0,0,0,83600,10,7057692,901,0,7023286,903,0
41,310566234408911,310566236422708,19996857,sA-eth3,up,310566236245737,netem,7551110,5413,0,0,0,83534,9,7303002,931,0,7255498,933,0
42,310566254409287,310566256373914,20000376,sA-eth3,up,310566256184353,netem,7792826,5587,0,0,0,80440,8,7543968,962,0,7500808,964,0
43,310566274409442,310566276406980,20000155,sA-eth3,up,310566276189179,netem,8043692,5768,0,0,0,50094,5,7816790,993,0,7728676,996,0
44,310566294409520,310566296315057,20000078,sA-eth3,up,310566296134875,netem,8303510,5953,0,0,0,50160,6,8062034,1023,0,7978198,1023,0
45,310566314408236,310566316403484,19998716,sA-eth3,up,310566316217112,netem,8551282,6131,0,0,0,50160,6,8306006,1055,0,8216202,1053,0
46,310566334428103,310566339645088,20019867,sA-eth3,up,310566339432487,netem,8799054,6309,0,0,0,23512,6,8460144,1080,0,8492920,1092,0
47,310566354408808,310566356667808,19980705,sA-eth3,up,310566356497277,netem,9056448,6494,0,0,0,59178,5,8687970,1109,0,8701436,1114,0
48,310566374409185,310566376314002,20000377,sA-eth3,up,310566376106391,netem,9290462,6661,0,0,0,66814,7,8950590,1140,0,8942336,1144,0
49,310566394395171,310566396517171,19985986,sA-eth3,up,310566396263768,netem,9538300,6840,0,0,0,66748,6,9217686,1171,0,9180340,1174,0
50,310566414398918,310566416704088,20003747,sA-eth3,up,310566416517707,netem,9805848,7032,0,0,0,47132,6,9430942,1199,0,9421268,1204,0
51,310566434376214,310566436317411,19977296,sA-eth3,up,310566436076049,netem,10043022,7203,0,0,0,47132,6,9680596,1230,0,9662300,1236,0
52,310566454410111,310566456248807,20033897,sA-eth3,up,310566456075816,netem,10293888,7384,0,0,0,50028,4,9925774,1259,0,9890102,1265,0
53,310566474417017,310566476314314,20006906,sA-eth3,up,310566476125172,netem,10542976,7560,0,0,0,33506,6,10153510,1287,0,10129356,1292,0
54,310566494408354,310566496359611,19991337,sA-eth3,up,310566496175059,netem,10786140,7734,0,0,0,45618,6,10400334,1319,0,10382038,1325,0
55,310566514442159,310566516817751,20033805,sA-eth3,up,310566516567399,netem,11023984,7908,0,0,0,33374,3,10612746,1349,0,10591620,1356,0
56,310566534413256,310566536730596,19971097,sA-eth3,up,310566536555635,netem,11267082,8081,0,0,0,66814,7,10873984,1381,0,10841076,1384,0
57,310566554386782,310566556413030,19973526,sA-eth3,up,310566556231768,netem,11517750,8259,0,0,0,83534,9,11071246,1407,0,11065850,1411,0
58,310566574407740,310566576625889,20020958,sA-eth3,up,310566576373046,netem,11768550,8439,0,0,0,83534,9,11322348,1438,0,11306750,1441,0
59,310566594412905,310566596918257,20005165,sA-eth3,up,310566596709755,netem,12025406,8623,0,0,0,94358,13,11566210,1469,0,11553442,1471,0
60,310566614426981,310566616538700,20014076,sA-eth3,up,310566616341438,netem,12270376,8802,0,0,0,100254,11,11794144,1500,0,11788776,1504,0
61,310566634407878,310566636334415,19980897,sA-eth3,up,310566636142193,netem,12518016,8978,0,0,0,106442,13,12001674,1529,0,12026648,1532,0
62,310566654411574,310566656366232,20003696,sA-eth3,up,310566656188720,netem,12770396,9160,0,0,0,116974,13,12212166,1559,0,12269062,1563,0
63,310566674413781,310566676422409,20002207,sA-eth3,up,310566676240437,netem,13010532,9332,0,0,0,115460,13,12434308,1590,0,12515820,1594,0
64,310566694407127,310566696206003,19993346,sA-eth3,up,310566696039911,netem,13209252,9484,0,0,0,66,1,12653356,1618,0,12690626,1625,0
65,310566714406604,310566716284450,19999477,sA-eth3,up,310566716050469,netem,13226458,9503,0,0,0,33374,3,12719516,1626,0,12707172,1634,0
66,310566734408700,310566736264687,20002096,sA-eth3,up,310566736067344,netem,13477258,9683,0,0,0,50094,5,12970684,1658,0,12948072,1664,0
67,310566754406436,310566756937968,19997736,sA-eth3,up,310566756709537,netem,13728058,9863,0,0,0,66880,8,13207306,1689,0,13188972,1694,0
68,310566774411923,310566776511301,20005487,sA-eth3,up,310566776296600,netem,13965232,10034,0,0,0,83600,10,13441032,1720,0,13432834,1725,0
69,310566794410520,310566796519168,19998597,sA-eth3,up,310566796307046,netem,14225182,10221,0,0,0,92684,11,13693808,1754,0,13675314,1757,0
70,310566814409096,310566816290082,19998576,sA-eth3,up,310566816069170,netem,14465318,10393,0,0,0,79124,12,13927468,1784,0,13913186,1785,0
71,310566834407881,310566836207507,19998785,sA-eth3,up,310566836028896,netem,14728362,10583,0,0,0,106244,10,14190220,1816,0,14149874,1817,0
72,310566854452068,310566856931370,20044187,sA-eth3,up,310566856681018,netem,14977582,10761,0,0,0,106310,11,14419470,1845,0,14389260,1846,0
73,310566874418824,310566876369332,19966756,sA-eth3,up,310566876184281,netem,15226868,10940,0,0,0,89656,11,14658922,1875,0,14628712,1876,0
74,310566894531292,310566896623750,20112468,sA-eth3,up,310566896405449,netem,15461976,11116,0,0,0,50028,4,14837898,1903,0,14870574,1913,0
75,310566914410687,310566916324354,19879395,sA-eth3,up,310566916142492,netem,15715672,11296,0,0,0,66814,7,15091830,1933,0,15098244,1940,0
76,310566934409174,310566936265470,19998487,sA-eth3,up,310566936092108,netem,15966340,11474,0,0,0,66946,9,15348724,1964,0,15339012,1968,0
77,310566954409590,310566956291627,20000416,sA-eth3,up,310566956112705,netem,16217140,11654,0,0,0,45684,7,15605618,1995,0,15579912,1998,0
78,310566974407747,310566976367254,19998157,sA-eth3,up,310566976142252,netem,16455960,11828,0,0,0,72804,6,15877124,2028,0,15825420,2032,0
79,310566994406933,310566996310790,19999186,sA-eth3,up,310566996124758,netem,16717424,12016,0,0,0,33440,4,16102096,2058,0,16060528,2062,0
80,310567014410768,310567016405397,20003835,sA-eth3,up,310567016155235,netem,16957560,12188,0,0,0,50094,5,16357542,2089,0,16307286,2093,0
81,310567034414166,310567036927817,20003398,sA-eth3,up,310567036716026,netem,17225080,12380,0,0,0,33374,3,16605682,2119,0,16548186,2123,0
82,310567054408453,310567056234999,19994287,sA-eth3,up,310567056030126,netem,17450076,12542,0,0,0,30280,2,16830456,2146,0,16764338,2151,0
