rank,round_id,period,route,version,duration_ns,duration_s,bytes_sent,bytes_received,frame_count,checksum_errors,version_errors,step_durations_ns
0,0,warmup,A,0,1194306392,1.194306392,12582912,12582912,6,0,0,"[249001906, 176777158, 202668147, 176098592, 214963986, 174553979]"
1,0,warmup,A,0,1201442285,1.201442285,12582912,12582912,6,0,0,"[183756250, 248173908, 175312927, 221680466, 174224706, 198083307]"
2,0,warmup,A,0,1190617149,1.190617149,12582912,12582912,6,0,0,"[220755737, 173895795, 234919941, 174591390, 210780440, 175435967]"
3,0,warmup,A,0,1196926974,1.196926974,12582912,12582912,6,0,0,"[179643544, 228311353, 176175563, 234818081, 174801931, 202906548]"
0,1,baseline,A,0,1158913669,1.158913669,12582912,12582912,6,0,0,"[199016165, 174070065, 203474404, 176167654, 216545500, 189447231]"
1,1,baseline,A,0,1149547887,1.149547887,12582912,12582912,6,0,0,"[181793144, 210588968, 176273034, 215408920, 176907800, 188376181]"
2,1,baseline,A,0,1143174251,1.143174251,12582912,12582912,6,0,0,"[201214764, 174092076, 197308540, 174194476, 214759874, 181399200]"
3,1,baseline,A,0,1141969830,1.14196983,12582912,12582912,6,0,0,"[181290028, 213274852, 174975752, 217947241, 177903179, 176370865]"
0,2,baseline,A,0,1118443674,1.118443674,12582912,12582912,6,0,0,"[187058549, 175585368, 188480303, 174629440, 216352829, 176144364]"
1,2,baseline,A,0,1146900343,1.146900343,12582912,12582912,6,0,0,"[180184579, 193187293, 174963674, 193302044, 175866181, 229197312]"
2,2,baseline,A,0,1098030302,1.098030302,12582912,12582912,6,0,0,"[182346459, 176344896, 206065337, 175194155, 181586101, 176280534]"
3,2,baseline,A,0,1131778391,1.131778391,12582912,12582912,6,0,0,"[181832404, 182176557, 175418157, 219108651, 176203504, 196820356]"
0,3,post_fault,A,0,1278650066,1.278650066,12582912,12582912,6,0,0,"[180540792, 317888703, 222603074, 199137016, 183513858, 174753281]"
1,3,post_fault,A,0,1283317378,1.283317378,12582912,12582912,6,0,0,"[213720676, 213481792, 250640821, 229888647, 193530827, 181864233]"
2,3,post_fault,A,0,1293134554,1.293134554,12582912,12582912,6,0,0,"[355837537, 182644531, 181943285, 174943904, 215995745, 181564141]"
3,3,post_fault,A,0,1294453836,1.294453836,12582912,12582912,6,0,0,"[319255796, 219016751, 201686380, 182021555, 176688888, 195580455]"
0,4,post_fault,A,0,1097086255,1.097086255,12582912,12582912,6,0,0,"[184033413, 180416651, 183325427, 182471829, 189053367, 177573626]"
1,4,post_fault,A,0,1106015403,1.106015403,12582912,12582912,6,0,0,"[182800472, 188501183, 175804600, 181632292, 184445257, 192585047]"
2,4,post_fault,A,0,1095784883,1.095784883,12582912,12582912,6,0,0,"[184776010, 182358948, 186491565, 174621360, 193607047, 173733533]"
3,4,post_fault,A,0,1127697535,1.127697535,12582912,12582912,6,0,0,"[184127803, 182322518, 182651711, 189034587, 176482067, 212876307]"
0,5,post_fault,A,0,1142694197,1.142694197,12582912,12582912,6,0,0,"[181711743, 181992534, 212838047, 180008368, 208613750, 177269773]"
1,5,post_fault,A,0,1145123308,1.145123308,12582912,12582912,6,0,0,"[181085858, 180425621, 182602691, 227868689, 175103324, 197810045]"
2,5,post_fault,A,0,1142689546,1.142689546,12582912,12582912,6,0,0,"[211489735, 176685669, 181468230, 177915378, 217138645, 177780867]"
3,5,post_fault,A,0,1153860615,1.153860615,12582912,12582912,6,0,0,"[183447317, 212618344, 175554119, 212636706, 177524776, 191897522]"
