run_id,condition,topology,status,correctness_status,link_operstate,detector_operstate,fault_interface,detector_interface,injector_detector_isolated,selected_retention,fault_period_retention,post_recovery_retention,baseline_median_mbit_s,selected_median_mbit_s,switch_triggered,l_switch_ms,host_action,l_host_ms,recovery_committed,l_coordination_ms,l_fault_to_commit_ms,checksum_errors,version_errors,gate_pass,gate_failures,run_directory
c0_rep01,C0,single,complete,pass,up,up,w2-eth0,sA-eth3,True,1.0008355187094158,1.0008355187094158,,352.69872757113376,352.99341395680653,False,,,,False,,,0,0,True,,results/c0_rep01
c0_rep02,C0,single,complete,pass,up,up,w2-eth0,sA-eth3,True,0.9811711920241056,0.9811711920241056,,353.9058027338389,347.2421783326087,False,,,,False,,,0,0,True,,results/c0_rep02
c0_rep03,C0,single,complete,pass,up,up,w2-eth0,sA-eth3,True,1.019008892971078,1.019008892971078,,348.8174555706916,355.4480892500787,False,,,,False,,,0,0,True,,results/c0_rep03
c1_rep01,C1,single,complete,pass,up,up,w2-eth0,sA-eth3,True,0.21546078401532678,0.21546078401532678,,351.9237125602594,75.825759021818,False,,,,False,,,0,0,True,,results/c1_rep01
c1_rep02,C1,single,complete,pass,up,up,w2-eth0,sA-eth3,True,0.21337589140631885,0.21337589140631885,,356.50988865480736,76.07061528688699,False,,,,False,,,0,0,True,,results/c1_rep02
c1_rep03,C1,single,complete,pass,up,up,w2-eth0,sA-eth3,True,0.21264555074411087,0.21264555074411087,,356.52658099093355,75.81379116973191,False,,,,False,,,0,0,True,,results/c1_rep03
c2_rep01,C2,single,complete,pass,up,up,w2-eth0,sA-eth3,True,0.21018404539215887,0.21018404539215887,,357.8953372140478,75.22388980263942,True,49.426787,,,False,,,0,0,True,,results/c2_rep01
c2_rep02,C2,single,complete,pass,up,up,w2-eth0,sA-eth3,True,0.21767051270719118,0.21767051270719118,,349.6295734786018,76.10404851668383,True,46.296679,,,False,,,0,0,True,,results/c2_rep02
c2_rep03,C2,single,complete,pass,up,up,w2-eth0,sA-eth3,True,0.2116188654990644,0.2116188654990644,,359.15035262442797,76.00299016597037,True,39.988243,,,False,,,0,0,True,,results/c2_rep03
c3_rep01,C3,dual,complete,pass,up,up,w2-eth0,sA-eth3,True,0.9707320539794281,0.9151457561054945,0.9707320539794281,357.01682368234384,346.56767455837297,True,39.905322,confirm,5283.694265,True,0.625035,5324.224622,0,0,True,,results/c3_rep01
c3_rep02,C3,dual,complete,pass,up,up,w2-eth0,sA-eth3,True,0.8532494205079113,0.8510863580051257,0.8532494205079113,354.18172141513406,302.2053485519576,True,55.4495,confirm,5271.539157,True,0.885078,5327.873735,0,0,False,C3 post-recovery retention must be at least 0.9,results/c3_rep02
c3_rep03,C3,dual,complete,pass,up,up,w2-eth0,sA-eth3,True,0.8648221540428249,0.8638738146995698,0.8648221540428249,353.17623116999744,305.4346289971639,True,51.939638,confirm,5263.758899,True,0.582045,5316.280582,0,0,False,C3 post-recovery retention must be at least 0.9,results/c3_rep03
c4_rep01,C4,dual,complete,pass,up,up,w2-eth0,sA-eth3,True,0.9946123619064914,0.9946123619064914,0.9946123619064914,352.8946205605072,350.99335205978116,False,,,,True,,11.43034,0,0,True,,results/c4_rep01
c4_rep02,C4,dual,complete,pass,up,up,w2-eth0,sA-eth3,True,0.975261081107083,0.975261081107083,0.975261081107083,357.09429101852965,348.2601643158985,False,,,,True,,12.011385,0,0,True,,results/c4_rep02
c4_rep03,C4,dual,complete,pass,up,up,w2-eth0,sA-eth3,True,0.9795437986677666,0.9795437986677666,0.9795437986677666,359.0941925329223,351.7484894332331,False,,,,True,,12.016566,0,0,True,,results/c4_rep03
c5_rep01,C5,dual,complete,pass,up,up,w2-eth0,sA-eth3,True,0.939143474263921,0.939143474263921,,359.13439752343686,337.27872581784055,True,52.341962,suppress,1262.008119,False,,,0,0,True,,results/c5_rep01
c5_rep02,C5,dual,complete,pass,up,up,w2-eth0,sA-eth3,True,0.9877619059898904,0.9877619059898904,,357.68322652536665,353.3058655733099,True,45.055456,suppress,1260.350084,False,,,0,0,True,,results/c5_rep02
c5_rep03,C5,dual,complete,pass,up,up,w2-eth0,sA-eth3,True,0.9991464273998133,0.9991464273998133,,349.2598378907417,348.9617192627725,True,42.565975,suppress,1279.992978,False,,,0,0,True,,results/c5_rep03
