poll_iteration,poll_start_ns,poll_end_ns,poll_interval_ns,interface,operstate,t_ns,kind,bytes,packets,drops,overlimits,requeues,backlog_bytes,qlen,rx_bytes,rx_packets,rx_dropped,tx_bytes,tx_packets,tx_dropped
0,3008620110066065,3008620111708305,0,sA-eth3,up,3008620111421333,netem,364,6,0,0,0,0,0,480,6,0,544,8,0
1,3008620130134290,3008620131020385,20068225,sA-eth3,up,3008620130908245,netem,364,6,0,0,0,0,0,480,6,0,544,8,0
2,3008620150128405,3008620150953230,19994115,sA-eth3,up,3008620150864659,netem,512,8,0,0,0,0,0,674,9,0,692,10,0
3,3008620170124020,3008620170738053,19995615,sA-eth3,up,3008620170679743,netem,512,8,0,0,0,0,0,674,9,0,692,10,0
4,3008620190122164,3008620190875409,19998144,sA-eth3,up,3008620190783088,netem,652,10,0,0,0,0,0,748,10,0,832,12,0
5,3008620210126159,3008620210747053,20003995,sA-eth3,up,3008620210671862,netem,1224,18,0,0,0,66,1,86798,19,0,1404,20,0
6,3008620230123054,3008620230692147,19996895,sA-eth3,up,3008620230634057,netem,2148,32,0,0,0,0,0,341254,35,0,2328,34,0
7,3008620250121408,3008620250615251,19998354,sA-eth3,up,3008620250563371,netem,3290,49,0,0,0,0,0,592814,51,0,3470,51,0
8,3008620270120413,3008620270704407,19999005,sA-eth3,up,3008620270654436,netem,4214,63,0,0,0,0,0,854378,65,0,4394,65,0
9,3008620290120178,3008620290688661,19999765,sA-eth3,up,3008620290638721,netem,5006,75,0,0,0,66,1,1098586,79,0,5186,77,0
10,3008620310120413,3008620310587495,20000235,sA-eth3,up,3008620310537795,netem,5864,88,0,0,0,0,0,1350080,94,0,6044,90,0
11,3008620330120117,3008620330672490,19999704,sA-eth3,up,3008620330624750,netem,6986,105,0,0,0,0,0,1603220,112,0,7166,107,0
12,3008620350120802,3008620350596525,20000685,sA-eth3,up,3008620350549565,netem,8042,121,0,0,0,0,0,1853332,128,0,8222,123,0
13,3008620370120017,3008620370856951,19999215,sA-eth3,up,3008620370775691,netem,9098,137,0,0,0,66,1,2106788,144,0,9278,139,0
14,3008620390124262,3008620390962216,20004245,sA-eth3,up,3008620390885636,netem,82388,194,0,0,0,16654,1,2107316,152,0,79862,155,0
15,3008620410122316,3008620410761660,19998054,sA-eth3,up,3008620410706550,netem,306460,342,0,0,0,57532,4,2108174,165,0,295024,168,0
16,3008620430121111,3008620430656064,19998795,sA-eth3,up,3008620430605374,netem,554756,506,0,0,0,71158,4,2109230,181,0,533552,184,0
17,3008620450119956,3008620450607988,19998845,sA-eth3,up,3008620450557628,netem,815164,678,0,0,0,68220,4,2110154,195,0,783532,198,0
18,3008620470119860,3008620470592993,19999904,sA-eth3,up,3008620470542933,netem,1059008,840,0,0,0,95382,6,2110990,207,0,1017542,211,0
19,3008620490119955,3008620490581928,20000095,sA-eth3,up,3008620490534027,netem,1304276,1002,0,0,0,107494,7,2112046,223,0,1253174,227,0
20,3008620510120420,3008620510581102,20000465,sA-eth3,up,3008620510533132,netem,1557114,1169,0,0,0,121120,8,2113168,240,0,1496112,244,0
