poll_iteration,poll_start_ns,poll_end_ns,poll_interval_ns,interface,operstate,t_ns,kind,bytes,packets,drops,overlimits,requeues,backlog_bytes,qlen,rx_bytes,rx_packets,rx_dropped,tx_bytes,tx_packets,tx_dropped
0,3008441168859771,3008441170377199,0,sA-eth3,up,3008441170094508,netem,450,7,0,0,0,0,0,480,6,0,630,9,0
1,3008441188933506,3008441189906812,20073735,sA-eth3,up,3008441189810551,netem,540,8,0,0,0,0,0,480,6,0,720,10,0
2,3008441208917831,3008441209567194,19984325,sA-eth3,up,3008441209505404,netem,734,11,0,0,0,0,0,738,9,0,914,13,0
3,3008441228918635,3008441229509589,20000804,sA-eth3,up,3008441229439228,netem,734,11,0,0,0,0,0,738,9,0,914,13,0
4,3008441248916770,3008441249434883,19998135,sA-eth3,up,3008441249377103,netem,808,12,0,0,0,0,0,878,11,0,988,14,0
5,3008441268915005,3008441269479058,19998235,sA-eth3,up,3008441269420978,netem,1270,19,0,0,0,66,1,86928,20,0,1450,21,0
6,3008441288914059,3008441289448862,19999054,sA-eth3,up,3008441289397582,netem,2194,33,0,0,0,0,0,341384,36,0,2374,35,0
7,3008441308913224,3008441309390917,19999165,sA-eth3,up,3008441309343877,netem,3250,49,0,0,0,0,0,592944,52,0,3430,51,0
8,3008441328912849,3008441329388092,19999625,sA-eth3,up,3008441329341821,netem,4108,62,0,0,0,66,1,839962,65,0,4288,64,0
9,3008441348913534,3008441349395206,20000685,sA-eth3,up,3008441349343596,netem,4900,74,0,0,0,0,0,1100144,80,0,5080,76,0
10,3008441368913858,3008441369388441,20000324,sA-eth3,up,3008441369338651,netem,5956,90,0,0,0,0,0,1347426,97,0,6136,92,0
11,3008441388914143,3008441389384446,20000285,sA-eth3,up,3008441389335465,netem,7078,107,0,0,0,0,0,1603462,115,0,7258,109,0
12,3008441408913968,3008441409443271,19999825,sA-eth3,up,3008441409396480,netem,8134,123,0,0,0,0,0,1853574,131,0,8314,125,0
13,3008441428912792,3008441429441425,19998824,sA-eth3,up,3008441429394665,netem,9058,137,0,0,0,66,1,2090522,145,0,9238,139,0
14,3008441448913677,3008441449573311,20000885,sA-eth3,up,3008441449515751,netem,59790,181,0,0,0,39364,2,2107492,154,0,79974,157,0
15,3008441468914182,3008441469597856,20000505,sA-eth3,up,3008441469542525,netem,306572,344,0,0,0,57532,4,2108350,167,0,295136,170,0
16,3008441488911017,3008441489486960,19996835,sA-eth3,up,3008441489435880,netem,554978,509,0,0,0,71158,4,2109406,183,0,533774,187,0
17,3008441508913961,3008441509603375,20002944,sA-eth3,up,3008441509552265,netem,815386,681,0,0,0,68130,3,2110330,197,0,783754,201,0
18,3008441528916516,3008441529491009,20002555,sA-eth3,up,3008441529437489,netem,1059140,842,0,0,0,69644,4,2111122,209,0,1017674,213,0
19,3008441548917501,3008441549506434,20000985,sA-eth3,up,3008441549442414,netem,1307436,1006,0,0,0,107494,7,2111980,222,0,1256004,226,0
20,3008441568915635,3008441569472829,19998134,sA-eth3,up,3008441569415348,netem,1557246,1171,0,0,0,115064,7,2113102,239,0,1496046,243,0
21,3008441588914590,3008441589958786,19998955,sA-eth3,up,3008441589840275,netem,1805542,1335,0,0,0,133232,8,2114158,255,0,1734574,259,0
22,3008441608918615,3008441609632319,20004025,sA-eth3,up,3008441609545249,netem,2067464,1508,0,0,0,121120,7,2115214,271,0,1986134,275,0
23,3008441628920130,3008441629582863,20001515,sA-eth3,up,3008441629504823,netem,2203074,1603,0,0,0,0,0,2335206,291,0,2116332,288,0
24,3008441648916534,3008441649636348,19996404,sA-eth3,up,3008441649576368,netem,2203800,1614,0,0,0,66,1,2570442,301,0,2117058,299,0
25,3008441668916779,3008441669575873,20000245,sA-eth3,up,3008441669512302,netem,2204658,1627,0,0,0,132,2,2822002,317,0,2117916,312,0
26,3008441688917164,3008441689421007,20000385,sA-eth3,up,3008441689361236,netem,2205758,1643,0,0,0,66,1,3082316,334,0,2119016,328,0
27,3008441708914778,3008441709532652,19997614,sA-eth3,up,3008441709479162,netem,2206814,1659,0,0,0,66,1,3329664,352,0,2120072,344,0
28,3008441728914753,3008441729410776,19999975,sA-eth3,up,3008441729357776,netem,2207870,1675,0,0,0,132,2,3598666,369,0,2121194,361,0
29,3008441748915568,3008441749500081,20000815,sA-eth3,up,3008441749441841,netem,2209036,1692,0,0,0,132,2,3828440,384,0,2122360,378,0
30,3008441768915243,3008441769423386,19999675,sA-eth3,up,3008441769371825,netem,2210092,1708,0,0,0,0,0,4095928,400,0,2123350,393,0
31,3008441788913927,3008441789485281,19998684,sA-eth3,up,3008441789434620,netem,2211016,1722,0,0,0,66,1,4221432,408,0,2124274,407,0
32,3008441808915992,3008441809610876,20002065,sA-eth3,up,3008441809553746,netem,2332754,1811,0,0,0,133232,7,4221828,414,0,2241062,421,0
33,3008441828915077,3008441829447850,19999085,sA-eth3,up,3008441829394249,netem,2568938,1967,0,0,0,171082,9,4222554,425,0,2467676,432,0
34,3008441848914862,3008441849536615,19999785,sA-eth3,up,3008441849483675,netem,2817234,2131,0,0,0,183194,11,4223478,439,0,2706072,446,0
35,3008441868915026,3008441869459439,20000164,sA-eth3,up,3008441869402409,netem,3073100,2300,0,0,0,171082,12,4224402,453,0,2951708,460,0
36,3008441888915421,3008441889543074,20000395,sA-eth3,up,3008441889481974,netem,3330480,2470,0,0,0,183194,13,4225524,470,0,3198990,477,0
37,3008441908915046,3008441909513509,19999625,sA-eth3,up,3008441909457459,netem,3577262,2633,0,0,0,211960,13,4226646,487,0,3436136,494,0
38,3008441928915100,3008441929562514,20000054,sA-eth3,up,3008441929485474,netem,3828586,2799,0,0,0,201362,12,4227702,503,0,3677560,510,0
39,3008441948917505,3008441949445438,20002405,sA-eth3,up,3008441949385278,netem,4061742,2953,0,0,0,245268,14,4228712,518,0,3901476,524,0
40,3008441968915070,3008441969486823,19997565,sA-eth3,up,3008441969432253,netem,4331234,3131,0,0,0,73186,5,4229702,533,0,4160210,539,0
41,3008441988915584,3008441989530988,20000514,sA-eth3,up,3008441989467358,netem,4404816,3186,0,0,0,66,1,4604828,556,0,4230888,550,0
42,3008442008913959,3008442009559563,19998375,sA-eth3,up,3008442009484812,netem,4405694,3199,0,0,0,0,0,4874948,568,0,4231766,563,0
43,3008442028917754,3008442029523017,20003795,sA-eth3,up,3008442029455607,netem,4406354,3209,0,0,0,0,0,5127758,581,0,4232426,573,0
44,3008442048915698,3008442049892834,19997944,sA-eth3,up,3008442049775654,netem,4407080,3220,0,0,0,66,1,5363258,595,0,4233152,584,0
45,3008442068919353,3008442069593067,20003655,sA-eth3,up,3008442069523397,netem,4408004,3234,0,0,0,66,1,5622058,611,0,4234076,598,0
46,3008442088916998,3008442089456281,19997645,sA-eth3,up,3008442089400071,netem,4408994,3249,0,0,0,0,0,5876580,628,0,4235066,613,0
47,3008442108915773,3008442109462256,19998775,sA-eth3,up,3008442109410555,netem,4409918,3263,0,0,0,0,0,6130970,643,0,4235990,627,0
48,3008442128913537,3008442129495761,19997764,sA-eth3,up,3008442129444180,netem,4410842,3277,0,0,0,66,1,6335194,659,0,4236914,641,0
49,3008442148913552,3008442149629196,20000015,sA-eth3,up,3008442149549716,netem,4411964,3294,0,0,0,0,0,6335194,659,0,4238036,658,0
50,3008442168916657,3008442169598411,20003105,sA-eth3,up,3008442169524790,netem,4581952,3412,0,0,0,271006,12,6335722,667,0,4401094,671,0
51,3008442188916812,3008442189563565,20000155,sA-eth3,up,3008442189507325,netem,4827220,3574,0,0,0,281604,12,6336448,678,0,4636396,682,0
52,3008442208914556,3008442209402569,19997744,sA-eth3,up,3008442209352019,netem,5084600,3744,0,0,0,287820,16,6337174,689,0,4883282,693,0
53,3008442228914621,3008442229501184,20000065,sA-eth3,up,3008442229448584,netem,5348196,3920,0,0,0,281604,16,6338032,702,0,5136252,708,0
54,3008442248914106,3008442249484229,19999485,sA-eth3,up,3008442249434749,netem,5593464,4082,0,0,0,296744,18,6338890,715,0,5371752,722,0
55,3008442268913510,3008442269498774,19999404,sA-eth3,up,3008442269449703,netem,5840246,4245,0,0,0,313398,20,6339814,729,0,5608766,737,0
56,3008442288913585,3008442289766860,20000075,sA-eth3,up,3008442289667489,netem,6094598,4413,0,0,0,322482,20,6340804,744,0,5860326,753,0
57,3008442308916540,3008442309555604,20002955,sA-eth3,up,3008442309495493,netem,6345922,4579,0,0,0,259408,18,6341728,758,0,6094378,767,0
58,3008442328914075,3008442329487708,19997535,sA-eth3,up,3008442329437378,netem,6579078,4733,0,0,0,26252,3,6342718,773,0,6318360,782,0
