poll_iteration,poll_start_ns,poll_end_ns,poll_interval_ns,interface,operstate,t_ns,kind,bytes,packets,drops,overlimits,requeues,backlog_bytes,qlen,rx_bytes,rx_packets,rx_dropped,tx_bytes,tx_packets,tx_dropped
0,3008670922219902,3008670923769771,0,sA-eth3,up,3008670923542929,netem,364,6,0,0,0,0,0,480,6,0,544,8,0
1,3008670942296927,3008670943117782,20077025,sA-eth3,up,3008670943011591,netem,364,6,0,0,0,0,0,480,6,0,544,8,0
2,3008670962281422,3008670962981596,19984495,sA-eth3,up,3008670962892185,netem,578,9,0,0,0,0,0,13948,12,0,758,11,0
3,3008670982276316,3008670982812649,19994894,sA-eth3,up,3008670982753189,netem,1568,24,0,0,0,66,1,232138,27,0,1748,26,0
4,3008671002276271,3008671002768194,19999955,sA-eth3,up,3008671002713334,netem,2624,40,0,0,0,0,0,489556,44,0,2804,42,0
5,3008671022275946,3008671022756578,19999675,sA-eth3,up,3008671022704648,netem,3548,54,0,0,0,0,0,738088,58,0,3728,56,0
6,3008671042274980,3008671042855174,19999034,sA-eth3,up,3008671042803594,netem,4426,67,0,0,0,66,1,985106,71,0,4606,69,0
7,3008671062275225,3008671062840868,20000245,sA-eth3,up,3008671062791108,netem,5350,81,0,0,0,0,0,1243972,88,0,5530,83,0
8,3008671082275740,3008671083299166,20000515,sA-eth3,up,3008671083201725,netem,6538,99,0,0,0,66,1,1510144,106,0,6718,101,0
9,3008671102278855,3008671102943938,20003115,sA-eth3,up,3008671102869178,netem,7594,115,0,0,0,0,0,1757426,123,0,7774,117,0
10,3008671122277299,3008671122780662,19998444,sA-eth3,up,3008671122726952,netem,8518,129,0,0,0,132,2,1987134,137,0,8764,132,0
11,3008671142276404,3008671142945548,19999105,sA-eth3,up,3008671142884498,netem,9508,144,0,0,0,13716,3,2106780,144,0,9688,146,0
12,3008671162276629,3008671162847052,20000225,sA-eth3,up,3008671162788122,netem,221668,286,0,0,0,28766,2,2107836,160,0,213598,163,0
13,3008671182275613,3008671182815366,19998984,sA-eth3,up,3008671182760396,netem,453310,439,0,0,0,65102,4,2108826,175,0,436132,178,0
14,3008671202276608,3008671202908462,20000995,sA-eth3,up,3008671202827081,netem,700092,602,0,0,0,77214,4,2109816,190,0,696314,193,0
15,3008671222276803,3008671222915527,20000195,sA-eth3,up,3008671222849206,netem,969694,781,0,0,0,65102,4,2110608,202,0,931792,206,0
16,3008671242275638,3008671242865191,19998835,sA-eth3,up,3008671242808931,netem,1204364,936,0,0,0,102952,5,2111466,215,0,1157090,219,0
17,3008671262275272,3008671262785755,19999634,sA-eth3,up,3008671262734335,netem,1469314,1111,0,0,0,87812,6,2112522,231,0,1411546,235,0
18,3008671282273677,3008671282850390,19998405,sA-eth3,up,3008671282799460,netem,1708526,1269,0,0,0,128690,8,2113578,247,0,1641386,251,0
19,3008671302274752,3008671302739474,20001075,sA-eth3,up,3008671302689824,netem,1971962,1443,0,0,0,105980,6,2114700,264,0,1894460,268,0
20,3008671322274367,3008671323154602,19999615,sA-eth3,up,3008671323048351,netem,2202604,1596,0,0,0,0,0,2260910,285,0,2115862,281,0
21,3008671342277661,3008671342975585,20003294,sA-eth3,up,3008671342911895,netem,2203396,1608,0,0,0,0,0,2483114,295,0,2116654,293,0
22,3008671362275686,3008671362802169,19998025,sA-eth3,up,3008671362751349,netem,2204056,1618,0,0,0,0,0,2740400,310,0,2117314,303,0
23,3008671382275071,3008671382872284,19999385,sA-eth3,up,3008671382821424,netem,2204980,1632,0,0,0,132,2,2975900,324,0,2118238,317,0
24,3008671402273875,3008671402839419,19998804,sA-eth3,up,3008671402789928,netem,2206036,1648,0,0,0,66,1,3250892,344,0,2119360,334,0
25,3008671422275520,3008671422949334,20001645,sA-eth3,up,3008671422886624,netem,2207158,1665,0,0,0,132,2,3482180,360,0,2120416,350,0
26,3008671442274305,3008671442857008,19998785,sA-eth3,up,3008671442808608,netem,2208346,1683,0,0,0,0,0,3755592,378,0,2121604,368,0
27,3008671462273549,3008671462863833,19999244,sA-eth3,up,3008671462816373,netem,2209270,1697,0,0,0,66,1,3983852,392,0,2122528,383,0
28,3008671482272504,3008671482763417,19998955,sA-eth3,up,3008671482701417,netem,2210260,1712,0,0,0,66,1,4221248,406,0,2123518,397,0
29,3008671502276269,3008671502860782,20003765,sA-eth3,up,3008671502813072,netem,2235432,1742,0,0,0,128690,7,4221380,408,0,2147700,412,0
30,3008671522274304,3008671522775257,19998035,sA-eth3,up,3008671522726556,netem,2465646,1895,0,0,0,152914,6,4222106,419,0,2368608,424,0
31,3008671542274288,3008671542735591,19999984,sA-eth3,up,3008671542688401,netem,2712428,2058,0,0,0,174110,10,4222832,430,0,2605358,435,0
32,3008671562274003,3008671562840136,19999715,sA-eth3,up,3008671562792806,netem,2974350,2231,0,0,0,186222,10,4223888,446,0,2856918,451,0
33,3008671582274538,3008671582773341,20000535,sA-eth3,up,3008671582712590,netem,3218190,2393,0,0,0,202876,14,4224964,462,0,3091122,467,0
34,3008671602274812,3008671602823766,20000274,sA-eth3,up,3008671602776565,netem,3475570,2563,0,0,0,211960,13,4226152,480,0,3338470,485,0
35,3008671622272197,3008671622886231,19997385,sA-eth3,up,3008671622823950,netem,3731436,2732,0,0,0,211960,13,4227208,496,0,3584238,501,0
36,3008671642275322,3008671642838525,20003125,sA-eth3,up,3008671642791965,netem,3984274,2899,0,0,0,216502,13,4228198,511,0,3827044,516,0
37,3008671662274677,3008671662724149,19999355,sA-eth3,up,3008671662676259,netem,4225000,3058,0,0,0,179166,11,4229122,525,0,4058200,530,0
38,3008671682274891,3008671682968485,20000214,sA-eth3,up,3008671682919825,netem,4404298,3179,0,0,0,66,1,4530598,551,0,4230436,544,0
39,3008671702277196,3008671702907450,20002305,sA-eth3,up,3008671702839439,netem,4405290,3193,0,0,0,0,0,4770178,561,0,4231362,557,0
40,3008671722275021,3008671722759314,19997825,sA-eth3,up,3008671722711753,netem,4405950,3203,0,0,0,0,0,5022922,573,0,4232022,567,0
