poll_iteration,poll_start_ns,poll_end_ns,poll_interval_ns,interface,operstate,t_ns,kind,bytes,packets,drops,overlimits,requeues,backlog_bytes,qlen,rx_bytes,rx_packets,rx_dropped,tx_bytes,tx_packets,tx_dropped
0,3008701666482104,3008701667972012,0,sA-eth3,up,3008701667735781,netem,364,6,0,0,0,0,0,676,8,0,544,8,0
1,3008701686543749,3008701687361193,20061645,sA-eth3,up,3008701687286223,netem,364,6,0,0,0,0,0,676,8,0,544,8,0
2,3008701706539263,3008701707239887,19995514,sA-eth3,up,3008701707168667,netem,578,9,0,0,0,0,0,14144,14,0,758,11,0
3,3008701726538218,3008701727114321,19998955,sA-eth3,up,3008701727031051,netem,1568,24,0,0,0,66,1,232334,29,0,1748,26,0
4,3008701746539633,3008701747066016,20001415,sA-eth3,up,3008701747003865,netem,2624,40,0,0,0,0,0,489752,46,0,2804,42,0
5,3008701766538977,3008701767040380,19999344,sA-eth3,up,3008701766973330,netem,3548,54,0,0,0,0,0,738284,60,0,3728,56,0
6,3008701786537132,3008701787028235,19998155,sA-eth3,up,3008701786966695,netem,4340,66,0,0,0,66,1,985302,73,0,4520,68,0
7,3008701806538117,3008701807019340,20000985,sA-eth3,up,3008701806961959,netem,5264,80,0,0,0,0,0,1246866,87,0,5444,82,0
8,3008701826537382,3008701827097295,19999265,sA-eth3,up,3008701827007384,netem,6298,95,0,0,0,132,2,1486908,104,0,6478,97,0
9,3008701846532426,3008701847132560,19995044,sA-eth3,up,3008701846986599,netem,7486,113,0,0,0,0,0,1755976,122,0,7666,115,0
10,3008701866541401,3008701867188675,20008975,sA-eth3,up,3008701867126974,netem,8410,127,0,0,0,198,3,2010432,138,0,8722,131,0
11,3008701886538366,3008701887109489,19996965,sA-eth3,up,3008701887056319,netem,9466,143,0,0,0,13716,3,2106844,144,0,9646,145,0
12,3008701906535710,3008701907029963,19997344,sA-eth3,up,3008701906975853,netem,197292,268,0,0,0,52990,3,2107900,160,0,213446,161,0
13,3008701926535075,3008701927006868,19999365,sA-eth3,up,3008701926956627,netem,453158,437,0,0,0,65102,4,2108890,175,0,435980,176,0
14,3008701946535930,3008701947109713,20000855,sA-eth3,up,3008701947060953,netem,699940,600,0,0,0,77214,4,2109814,189,0,672928,190,0
15,3008701966537065,3008701967133038,20001135,sA-eth3,up,3008701967083168,netem,969432,778,0,0,0,65102,4,2110672,202,0,931530,203,0
16,3008701986536259,3008701987129583,19999194,sA-eth3,up,3008701987082543,netem,1204102,933,0,0,0,102952,5,2111530,215,0,1156828,216,0
17,3008702006535804,3008702007015607,19999545,sA-eth3,up,3008702006967226,netem,1469052,1108,0,0,0,87812,6,2112586,231,0,1411284,232,0
18,3008702026541739,3008702027071322,20005935,sA-eth3,up,3008702026990301,netem,1708264,1266,0,0,0,128776,9,2113642,247,0,1641124,248,0
19,3008702046536603,3008702047094707,19994864,sA-eth3,up,3008702047044976,netem,1971786,1441,0,0,0,105980,6,2114764,264,0,1894284,266,0
20,3008702066535658,3008702067397793,19999055,sA-eth3,up,3008702067296123,netem,2202428,1594,0,0,0,0,0,2260974,285,0,2115686,279,0
21,3008702086540373,3008702087302497,20004715,sA-eth3,up,3008702087229017,netem,2203220,1606,0,0,0,0,0,2483178,295,0,2116478,291,0
22,3008702106536778,3008702107059211,19996405,sA-eth3,up,3008702107010010,netem,2203880,1616,0,0,0,0,0,2740464,310,0,2117138,301,0
23,3008702126537732,3008702127245946,20000954,sA-eth3,up,3008702127188836,netem,2204804,1630,0,0,0,132,2,2999198,325,0,2118128,316,0
24,3008702146536487,3008702147112520,19998755,sA-eth3,up,3008702147031010,netem,2205860,1646,0,0,0,66,1,3250956,344,0,2119184,332,0
25,3008702166510502,3008702167125455,19974015,sA-eth3,up,3008702167075575,netem,2207178,1665,0,0,0,132,2,3482244,360,0,2120436,350,0
26,3008702186542466,3008702187250820,20031964,sA-eth3,up,3008702187173640,netem,2208366,1683,0,0,0,0,0,3755656,378,0,2121624,368,0
27,3008702206537521,3008702207149225,19995055,sA-eth3,up,3008702207098854,netem,2209290,1697,0,0,0,66,1,3983916,392,0,2122548,382,0
28,3008702226536016,3008702227123949,19998495,sA-eth3,up,3008702227076469,netem,2210366,1713,0,0,0,66,1,4221312,406,0,2123624,398,0
29,3008702246538151,3008702247166384,20002135,sA-eth3,up,3008702247111384,netem,2211314,1727,0,0,0,152914,8,4221444,408,0,2147806,413,0
30,3008702266536305,3008702267036358,19998154,sA-eth3,up,3008702266982138,netem,2465666,1895,0,0,0,152914,6,4222170,419,0,2368628,424,0
31,3008702286537240,3008702287236034,20000935,sA-eth3,up,3008702287182974,netem,2712448,2058,0,0,0,174110,10,4222962,431,0,2628612,436,0
32,3008702306536795,3008702307093618,19999555,sA-eth3,up,3008702307037038,netem,2974370,2231,0,0,0,186222,10,4223952,446,0,2856938,451,0
33,3008702326536599,3008702327029722,19999804,sA-eth3,up,3008702326976042,netem,3218124,2392,0,0,0,202876,14,4224942,461,0,3091056,466,0
34,3008702346537724,3008702347041777,20001125,sA-eth3,up,3008702346975867,netem,3475504,2562,0,0,0,187736,12,4226130,479,0,3338404,484,0
35,3008702366537619,3008702367038902,19999895,sA-eth3,up,3008702366983042,netem,3731460,2732,0,0,0,211960,13,4227186,495,0,3584262,501,0
36,3008702386574704,3008702387201877,20037085,sA-eth3,up,3008702387125497,netem,3984298,2899,0,0,0,216502,13,4228176,510,0,3827068,516,0
37,3008702406537628,3008702407100921,19962924,sA-eth3,up,3008702407040191,netem,4225024,3058,0,0,0,179166,11,4229100,524,0,4058224,530,0
38,3008702426540753,3008702427253907,20003125,sA-eth3,up,3008702427183317,netem,4404518,3181,0,0,0,66,1,4505894,549,0,4230590,545,0
39,3008702446538568,3008702447122231,19997815,sA-eth3,up,3008702447068341,netem,4405310,3193,0,0,0,0,0,4770156,560,0,4231382,557,0
40,3008702466535703,3008702467040615,19997135,sA-eth3,up,3008702466990185,netem,4405970,3203,0,0,0,0,0,5022900,572,0,4232042,567,0
41,3008702486536557,3008702487091920,20000854,sA-eth3,up,3008702487039440,netem,4406630,3213,0,0,0,66,1,5280186,587,0,4232768,578,0
42,3008702506536182,3008702507028575,19999625,sA-eth3,up,3008702506977504,netem,4407488,3226,0,0,0,132,2,5531746,603,0,4233626,591,0
43,3008702526535957,3008702527000969,19999775,sA-eth3,up,3008702526955399,netem,4408478,3241,0,0,0,66,1,5762968,618,0,4234550,605,0
44,3008702546536321,3008702547001534,20000364,sA-eth3,up,3008702546954714,netem,4409402,3255,0,0,0,0,0,6034800,634,0,4235474,619,0
45,3008702566537516,3008702567107339,20001195,sA-eth3,up,3008702567013849,netem,4410392,3270,0,0,0,0,0,6282082,651,0,4236464,634,0
46,3008702586538261,3008702587203095,20000745,sA-eth3,up,3008702587100574,netem,4411382,3285,0,0,0,0,0,6334988,656,0,4237454,649,0
47,3008702606539866,3008702607159099,20001605,sA-eth3,up,3008702607099359,netem,4484936,3346,0,0,0,240726,11,6335252,660,0,4308038,665,0
48,3008702626537870,3008702627103144,19998004,sA-eth3,up,3008702627047833,netem,4725662,3505,0,0,0,275548,11,6335978,671,0,4538996,676,0
49,3008702646536005,3008702647211169,19998135,sA-eth3,up,3008702647119098,netem,4975472,3670,0,0,0,287660,13,6336638,681,0,4778576,686,0
50,3008702666538370,3008702667081353,20002365,sA-eth3,up,3008702667017122,netem,5219226,3831,0,0,0,302800,17,6337430,693,0,5031320,698,0
51,3008702686538094,3008702687091878,19999724,sA-eth3,up,3008702687038627,netem,5482662,4005,0,0,0,289174,18,6338448,708,0,5265372,712,0
52,3008702706537069,3008702707042872,19998975,sA-eth3,up,3008702706985532,netem,5718846,4161,0,0,0,328538,20,6339372,722,0,5492184,726,0
53,3008702726507324,3008702727127547,19970255,sA-eth3,up,3008702727074857,netem,5982282,4335,0,0,0,310370,18,6340296,736,0,5745192,742,0
54,3008702746536888,3008702747138842,20029564,sA-eth3,up,3008702747086832,netem,6226036,4496,0,0,0,352762,22,6341286,751,0,5979310,757,0
55,3008702766537283,3008702767028776,20000395,sA-eth3,up,3008702766969966,netem,6475846,4661,0,0,0,129204,10,6342276,766,0,6219220,772,0
56,3008702786538468,3008702787157912,20001185,sA-eth3,up,3008702787090501,netem,6605314,4751,0,0,0,66,1,6772954,797,0,6343672,786,0
57,3008702806535933,3008702807147646,19997465,sA-eth3,up,3008702807096896,netem,6605974,4761,0,0,0,66,1,7016878,807,0,6344332,796,0
58,3008702826535817,3008702827115291,19999884,sA-eth3,up,3008702827067090,netem,6606766,4773,0,0,0,0,0,7275348,818,0,6345124,808,0
59,3008702846535972,3008702847100935,20000155,sA-eth3,up,3008702847054895,netem,6607426,4783,0,0,0,0,0,7538426,833,0,6345784,818,0
60,3008702866535877,3008702867101080,19999905,sA-eth3,up,3008702867054970,netem,6608152,4794,0,0,0,0,0,7789986,849,0,6346510,829,0
61,3008702886535331,3008702887078004,19999454,sA-eth3,up,3008702887034014,netem,6609076,4808,0,0,0,66,1,8032858,865,0,6347434,843,0
62,3008702906535126,3008702907095339,19999795,sA-eth3,up,3008702907050939,netem,6609868,4820,0,0,0,0,0,8296068,882,0,6348226,855,0
