poll_iteration,poll_start_ns,poll_end_ns,poll_interval_ns,interface,operstate,t_ns,kind,bytes,packets,drops,overlimits,requeues,backlog_bytes,qlen,rx_bytes,rx_packets,rx_dropped,tx_bytes,tx_packets,tx_dropped
0,3008784471131032,3008784472620820,0,sA-eth3,up,3008784472381319,netem,364,6,0,0,0,0,0,480,6,0,544,8,0
1,3008784491190997,3008784491985281,20059965,sA-eth3,up,3008784491917171,netem,364,6,0,0,0,0,0,480,6,0,544,8,0
2,3008784511188661,3008784511796455,19997664,sA-eth3,up,3008784511739884,netem,512,8,0,0,0,0,0,674,9,0,692,10,0
3,3008784531186516,3008784531874210,19997855,sA-eth3,up,3008784531821930,netem,512,8,0,0,0,0,0,674,9,0,692,10,0
4,3008784551189781,3008784552088756,20003265,sA-eth3,up,3008784551963285,netem,652,10,0,0,0,0,0,748,10,0,832,12,0
5,3008784571190115,3008784571871789,20000334,sA-eth3,up,3008784571788629,netem,1290,19,0,0,0,66,1,115890,21,0,1470,21,0
6,3008784591188090,3008784591754013,19997975,sA-eth3,up,3008784591695773,netem,2148,32,0,0,0,132,2,341254,35,0,2328,34,0
7,3008784611186115,3008784611678608,19998025,sA-eth3,up,3008784611628427,netem,3290,49,0,0,0,132,2,592814,51,0,3470,51,0
8,3008784631186030,3008784631668352,19999915,sA-eth3,up,3008784631617922,netem,4214,63,0,0,0,0,0,854378,65,0,4394,65,0
9,3008784651185274,3008784651652587,19999244,sA-eth3,up,3008784651602657,netem,4940,74,0,0,0,66,1,1100014,79,0,5120,76,0
10,3008784671184179,3008784671703732,19998905,sA-eth3,up,3008784671655782,netem,5996,90,0,0,0,132,2,1347296,96,0,6176,92,0
11,3008784691186294,3008784691680236,20002115,sA-eth3,up,3008784691617696,netem,7204,108,0,0,0,66,1,1603332,114,0,7384,110,0
12,3008784711184968,3008784711743302,19998674,sA-eth3,up,3008784711697331,netem,8260,124,0,0,0,66,1,1853444,130,0,8440,126,0
13,3008784731184873,3008784731657756,19999905,sA-eth3,up,3008784731596775,netem,9250,139,0,0,0,66,1,2106834,145,0,9430,141,0
14,3008784751189978,3008784751931852,20005105,sA-eth3,up,3008784751864522,netem,99194,207,0,0,0,30280,2,2107428,154,0,96008,158,0
15,3008784771186343,3008784771759506,19996365,sA-eth3,up,3008784771709656,netem,332350,361,0,0,0,31794,2,2108352,168,0,319924,172,0
16,3008784791184827,3008784791793531,19998484,sA-eth3,up,3008784791744000,netem,586702,529,0,0,0,39364,2,2109408,184,0,564244,188,0
17,3008784811183712,3008784811702595,19998885,sA-eth3,up,3008784811640135,netem,815316,680,0,0,0,83270,4,2110200,196,0,783684,200,0
18,3008784831185137,3008784831764970,20001425,sA-eth3,up,3008784831714890,netem,1078752,854,0,0,0,75700,5,2110992,208,0,1036494,213,0
19,3008784851184841,3008784851843115,19999704,sA-eth3,up,3008784851794395,netem,1333104,1022,0,0,0,78728,5,2112114,225,0,1280880,230,0
20,3008784871185216,3008784871683659,20000375,sA-eth3,up,3008784871617639,netem,1581400,1186,0,0,0,96896,7,2113170,241,0,1519408,246,0
21,3008784891185271,3008784891771944,20000055,sA-eth3,up,3008784891720444,netem,1829696,1350,0,0,0,109008,7,2114226,257,0,1757936,262,0
22,3008784911179896,3008784911745829,19994625,sA-eth3,up,3008784911697848,netem,2077992,1514,0,0,0,124662,7,2115216,272,0,1996398,277,0
23,3008784931184660,3008784931762534,20004764,sA-eth3,up,3008784931713073,netem,2202918,1601,0,0,0,66,1,2335142,291,0,2116308,288,0
24,3008784951183185,3008784951759248,19998525,sA-eth3,up,3008784951697478,netem,2203710,1613,0,0,0,0,0,2596574,303,0,2117100,300,0
25,3008784971183700,3008784971731953,20000515,sA-eth3,up,3008784971684572,netem,2204634,1627,0,0,0,66,1,2848134,319,0,2118024,314,0
26,3008784991184934,3008784991672637,20001234,sA-eth3,up,3008784991625537,netem,2205644,1642,0,0,0,0,0,3107000,336,0,2119034,329,0
27,3008785011187009,3008785011680142,20002075,sA-eth3,up,3008785011627372,netem,2206700,1658,0,0,0,66,1,3365932,354,0,2120156,346,0
28,3008785031186194,3008785031761267,19999185,sA-eth3,up,3008785031710037,netem,2207822,1675,0,0,0,0,0,3607356,370,0,2121212,362,0
29,3008785051186768,3008785051672381,20000574,sA-eth3,up,3008785051618871,netem,2208878,1691,0,0,0,0,0,3861812,386,0,2122268,378,0
