t_monotonic_ns,event,rank,version,plan_fingerprint,policy,effective_round,changed_slots
3008790634293842,RECOVERY_PROPOSE,,1,8fccf6376740115486bead6298b589adf3977a91f512a526c5592672bb1df553,global_fabric_B,4,"[{""new_route"":""B"",""old_route"":""A"",""sender_rank"":0,""step_id"":0},{""new_route"":""B"",""old_route"":""A"",""sender_rank"":0,""step_id"":2},{""new_route"":""B"",""old_route"":""A"",""sender_rank"":0,""step_id"":4},{""new_route"":""B"",""old_route"":""A"",""sender_rank"":1,""step_id"":1},{""new_route"":""B"",""old_route"":""A"",""sender_rank"":1,""step_id"":3},{""new_route"":""B"",""old_route"":""A"",""sender_rank"":1,""step_id"":5},{""new_route"":""B"",""old_route"":""A"",""sender_rank"":2,""step_id"":0},{""new_route"":""B"",""old_route"":""A"",""sender_rank"":2,""step_id"":2},{""new_route"":""B"",""old_route"":""A"",""sender_rank"":2,""step_id"":4},{""new_route"":""B"",""old_route"":""A"",""sender_rank"":3,""step_id"":1},{""new_route"":""B"",""old_route"":""A"",""sender_rank"":3,""step_id"":3},{""new_route"":""B"",""old_route"":""A"",""sender_rank"":3,""step_id"":5}]"
3008790634441103,READY,0,1,8fccf6376740115486bead6298b589adf3977a91f512a526c5592672bb1df553,,4,
3008790634447533,READY,2,1,8fccf6376740115486bead6298b589adf3977a91f512a526c5592672bb1df553,,4,
3008790634449943,READY,3,1,8fccf6376740115486bead6298b589adf3977a91f512a526c5592672bb1df553,,4,
3008790634453403,READY,1,1,8fccf6376740115486bead6298b589adf3977a91f512a526c5592672bb1df553,,4,
3008790634639524,COMMITTED,0,1,8fccf6376740115486bead6298b589adf3977a91f512a526c5592672bb1df553,,,
3008790634647814,COMMITTED,3,1,8fccf6376740115486bead6298b589adf3977a91f512a526c5592672bb1df553,,,
3008790634642534,COMMITTED,1,1,8fccf6376740115486bead6298b589adf3977a91f512a526c5592672bb1df553,,,
3008790634647194,COMMITTED,2,1,8fccf6376740115486bead6298b589adf3977a91f512a526c5592672bb1df553,,,
3008790634751325,RECOVERY_COMMIT,,1,8fccf6376740115486bead6298b589adf3977a91f512a526c5592672bb1df553,global_fabric_B,4,"[{""new_route"":""B"",""old_route"":""A"",""sender_rank"":0,""step_id"":0},{""new_route"":""B"",""old_route"":""A"",""sender_rank"":0,""step_id"":2},{""new_route"":""B"",""old_route"":""A"",""sender_rank"":0,""step_id"":4},{""new_route"":""B"",""old_route"":""A"",""sender_rank"":1,""step_id"":1},{""new_route"":""B"",""old_route"":""A"",""sender_rank"":1,""step_id"":3},{""new_route"":""B"",""old_route"":""A"",""sender_rank"":1,""step_id"":5},{""new_route"":""B"",""old_route"":""A"",""sender_rank"":2,""step_id"":0},{""new_route"":""B"",""old_route"":""A"",""sender_rank"":2,""step_id"":2},{""new_route"":""B"",""old_route"":""A"",""sender_rank"":2,""step_id"":4},{""new_route"":""B"",""old_route"":""A"",""sender_rank"":3,""step_id"":1},{""new_route"":""B"",""old_route"":""A"",""sender_rank"":3,""step_id"":3},{""new_route"":""B"",""old_route"":""A"",""sender_rank"":3,""step_id"":5}]"
