poll_iteration,poll_start_ns,poll_end_ns,poll_interval_ns,interface,operstate,t_ns,kind,bytes,packets,drops,overlimits,requeues,backlog_bytes,qlen,rx_bytes,rx_packets,rx_dropped,tx_bytes,tx_packets,tx_dropped
0,3008758467539731,3008758468996969,0,sA-eth3,up,3008758468747458,netem,364,6,0,0,0,0,0,480,6,0,720,10,0
1,3008758487610566,3008758488450771,20070835,sA-eth3,up,3008758488355240,netem,364,6,0,0,0,0,0,480,6,0,720,10,0
2,3008758507598691,3008758508276655,19988125,sA-eth3,up,3008758508207864,netem,578,9,0,0,0,0,0,13948,12,0,934,13,0
3,3008758527596415,3008758528149179,19997724,sA-eth3,up,3008758528087708,netem,1678,25,0,0,0,66,1,232138,27,0,2034,29,0
4,3008758547595410,3008758548097463,19998995,sA-eth3,up,3008758548044503,netem,2734,41,0,0,0,0,0,489556,44,0,3090,45,0
5,3008758567594765,3008758568160238,19999355,sA-eth3,up,3008758568109478,netem,3658,55,0,0,0,0,0,738088,58,0,4014,59,0
6,3008758587593979,3008758588107802,19999214,sA-eth3,up,3008758588057512,netem,4450,67,0,0,0,66,1,985106,71,0,4806,71,0
7,3008758607594004,3008758608082107,20000025,sA-eth3,up,3008758608033007,netem,5374,81,0,0,0,0,0,1246756,86,0,5730,85,0
8,3008758627598229,3008758628219053,20004225,sA-eth3,up,3008758628147832,netem,6384,96,0,0,0,132,2,1486798,103,0,6740,100,0
9,3008758647594714,3008758648176747,19996485,sA-eth3,up,3008758648121357,netem,7572,114,0,0,0,0,0,1755866,121,0,7928,118,0
10,3008758667593318,3008758668132852,19998604,sA-eth3,up,3008758668083621,netem,8496,128,0,0,0,198,3,1987088,136,0,8852,132,0
11,3008758687601173,3008758688474628,20007855,sA-eth3,up,3008758688371288,netem,9552,144,0,0,0,13716,3,2106734,143,0,9908,148,0
12,3008758707597468,3008758708364232,19996295,sA-eth3,up,3008758708258222,netem,221602,285,0,0,0,28766,2,2107790,159,0,213708,164,0
13,3008758727596353,3008758728249956,19998885,sA-eth3,up,3008758728192246,netem,453244,438,0,0,0,65102,4,2108780,174,0,436242,179,0
14,3008758747594087,3008758748187311,19997734,sA-eth3,up,3008758748133400,netem,700026,601,0,0,0,77214,4,2109704,188,0,673190,193,0
15,3008758767593592,3008758768189725,19999505,sA-eth3,up,3008758768140025,netem,969518,779,0,0,0,65102,4,2110562,201,0,931792,206,0
