poll_iteration,poll_start_ns,poll_end_ns,poll_interval_ns,interface,operstate,t_ns,kind,bytes,packets,drops,overlimits,requeues,backlog_bytes,qlen,rx_bytes,rx_packets,rx_dropped,tx_bytes,tx_packets,tx_dropped
0,3008492550959036,3008492552455945,0,sA-eth3,up,3008492552238074,netem,474,7,0,0,0,0,0,566,7,0,654,9,0
1,3008492571012791,3008492571897076,20053755,sA-eth3,up,3008492571809756,netem,474,7,0,0,0,0,0,566,7,0,654,9,0
2,3008492591018856,3008492591911111,20006065,sA-eth3,up,3008492591814021,netem,688,10,0,0,0,0,0,14034,13,0,868,12,0
3,3008492611015801,3008492611790285,19996945,sA-eth3,up,3008492611701365,netem,1678,25,0,0,0,0,0,232224,28,0,1858,27,0
4,3008492631016876,3008492631640739,20001075,sA-eth3,up,3008492631575129,netem,2734,41,0,0,0,0,0,489642,45,0,2914,43,0
5,3008492651017120,3008492651536113,20000244,sA-eth3,up,3008492651478653,netem,3658,55,0,0,0,0,0,738174,59,0,3838,57,0
6,3008492671005135,3008492671501208,19988015,sA-eth3,up,3008492671445897,netem,4450,67,0,0,0,0,0,985192,72,0,4630,69,0
7,3008492691014630,3008492691502712,20009495,sA-eth3,up,3008492691450002,netem,5308,80,0,0,0,66,1,1240898,85,0,5554,83,0
8,3008492711006174,3008492711483807,19991544,sA-eth3,up,3008492711429187,netem,6298,95,0,0,0,0,0,1486798,103,0,6478,97,0
9,3008492731016529,3008492731529082,20010355,sA-eth3,up,3008492731468912,netem,7420,112,0,0,0,66,1,1748560,120,0,7600,114,0
10,3008492751019204,3008492751589467,20002675,sA-eth3,up,3008492751538627,netem,8500,128,0,0,0,132,2,1987088,136,0,8680,130,0
11,3008492771014178,3008492771913584,19994974,sA-eth3,up,3008492771810033,netem,9556,144,0,0,0,13716,3,2106734,143,0,9736,146,0
12,3008492791015963,3008492791744417,20001785,sA-eth3,up,3008492791671447,netem,197382,269,0,0,0,52990,3,2107724,158,0,190302,161,0
13,3008492811014588,3008492811594051,19998625,sA-eth3,up,3008492811539451,netem,453248,438,0,0,0,59046,3,2108780,174,0,436070,177,0
14,3008492831014623,3008492831704287,20000035,sA-eth3,up,3008492831651246,netem,700030,601,0,0,0,77214,4,2109704,188,0,673018,191,0
15,3008492851012837,3008492851553680,19998214,sA-eth3,up,3008492851502040,netem,945298,763,0,0,0,89326,5,2110496,200,0,908386,203,0
16,3008492871004462,3008492871514005,19991625,sA-eth3,up,3008492871461605,netem,1204278,935,0,0,0,96896,4,2111420,214,0,1157004,218,0
17,3008492891014617,3008492891501599,20010155,sA-eth3,up,3008492891450659,netem,1441976,1092,0,0,0,115064,8,2112344,228,0,1385264,232,0
18,3008492911004601,3008492911477224,19989984,sA-eth3,up,3008492911425944,netem,1708440,1268,0,0,0,96896,6,2113532,246,0,1641300,250,0
19,3008492931004666,3008492931478079,20000065,sA-eth3,up,3008492931425269,netem,1962792,1436,0,0,0,115064,8,2114522,262,0,1887068,266,0
20,3008492951017251,3008492951960056,20012585,sA-eth3,up,3008492951857406,netem,2202518,1595,0,0,0,0,0,2260864,284,0,2115776,280,0
21,3008492971014316,3008492971704730,19997065,sA-eth3,up,3008492971631119,netem,2203244,1606,0,0,0,66,1,2458386,293,0,2116502,291,0
22,3008492991016720,3008492991572053,20002404,sA-eth3,up,3008492991517513,netem,2203904,1616,0,0,0,66,1,2721464,308,0,2117162,301,0
23,3008493011027655,3008493011574888,20010935,sA-eth3,up,3008493011519358,netem,2204894,1631,0,0,0,66,1,2975854,323,0,2118152,316,0
24,3008493031004320,3008493031544833,19976665,sA-eth3,up,3008493031492553,netem,2205884,1646,0,0,0,132,2,3224650,341,0,2119142,331,0
25,3008493051013504,3008493051620118,20009184,sA-eth3,up,3008493051570148,netem,2207072,1664,0,0,0,66,1,3482134,359,0,2120330,349,0
26,3008493071013729,3008493071606963,20000225,sA-eth3,up,3008493071545812,netem,2208128,1680,0,0,0,132,2,3726454,375,0,2121386,365,0
27,3008493091012764,3008493091555827,19999035,sA-eth3,up,3008493091508037,netem,2209184,1696,0,0,0,66,1,3983806,391,0,2122442,381,0
28,3008493111003809,3008493111483181,19991045,sA-eth3,up,3008493111433181,netem,2210174,1711,0,0,0,0,0,4221202,405,0,2123432,396,0
29,3008493131007723,3008493131631947,20003914,sA-eth3,up,3008493131556587,netem,2211122,1725,0,0,0,152914,8,4221268,406,0,2124380,410,0
30,3008493151014458,3008493151671142,20006735,sA-eth3,up,3008493151619922,netem,2465560,1894,0,0,0,152914,6,4222060,418,0,2368522,423,0
31,3008493171014633,3008493171640056,20000175,sA-eth3,up,3008493171576566,netem,2712342,2057,0,0,0,174110,10,4222786,429,0,2605272,434,0
32,3008493191013327,3008493191585511,19998694,sA-eth3,up,3008493191536241,netem,2974264,2230,0,0,0,161998,9,4223842,445,0,2856832,450,0
