poll_iteration,poll_start_ns,poll_end_ns,poll_interval_ns,interface,operstate,t_ns,kind,bytes,packets,drops,overlimits,requeues,backlog_bytes,qlen,rx_bytes,rx_packets,rx_dropped,tx_bytes,tx_packets,tx_dropped
0,3008831131912909,3008831133523208,0,sA-eth3,up,3008831133255226,netem,450,7,0,0,0,0,0,480,6,0,630,9,0
1,3008831151971213,3008831152741128,20058304,sA-eth3,up,3008831152672637,netem,450,7,0,0,0,0,0,480,6,0,630,9,0
2,3008831171970437,3008831172583801,19999224,sA-eth3,up,3008831172518211,netem,750,11,0,0,0,0,0,13948,12,0,930,13,0
3,3008831191968862,3008831192570755,19998425,sA-eth3,up,3008831192514805,netem,1740,26,0,0,0,66,1,232138,27,0,1920,28,0
4,3008831211968216,3008831212595750,19999354,sA-eth3,up,3008831212518999,netem,2796,42,0,0,0,0,0,489556,44,0,2976,44,0
5,3008831231970680,3008831232548404,20002464,sA-eth3,up,3008831232488203,netem,3830,57,0,0,0,66,1,738088,58,0,4010,59,0
6,3008831251969055,3008831252481138,19998375,sA-eth3,up,3008831252424557,netem,4622,69,0,0,0,66,1,985106,71,0,4802,71,0
7,3008831271968239,3008831272465442,19999184,sA-eth3,up,3008831272413081,netem,5546,83,0,0,0,0,0,1246670,85,0,5726,85,0
8,3008831291968493,3008831292487266,20000254,sA-eth3,up,3008831292434376,netem,6470,97,0,0,0,132,2,1486712,102,0,6650,99,0
9,3008831311967607,3008831312466920,19999114,sA-eth3,up,3008831312412860,netem,7658,115,0,0,0,0,0,1755866,121,0,7838,117,0
10,3008831331967032,3008831332918727,19999425,sA-eth3,up,3008831332811056,netem,8714,131,0,0,0,66,1,2010322,137,0,8894,133,0
11,3008831351973876,3008831352711880,20006844,sA-eth3,up,3008831352637370,netem,9638,145,0,0,0,13716,3,2106800,144,0,9908,148,0
12,3008831371969070,3008831372508333,19995194,sA-eth3,up,3008831372451793,netem,221688,286,0,0,0,28766,2,2107790,159,0,213618,163,0
13,3008831391967124,3008831392468007,19998054,sA-eth3,up,3008831392416327,netem,453330,439,0,0,0,65102,4,2108780,174,0,436152,178,0
14,3008831411966969,3008831412601082,19999845,sA-eth3,up,3008831412550652,netem,724336,618,0,0,0,52990,3,2109770,189,0,696334,193,0
15,3008831431966973,3008831432504166,20000004,sA-eth3,up,3008831432455006,netem,969604,780,0,0,0,65102,4,2110562,201,0,931702,205,0
