poll_iteration,poll_start_ns,poll_end_ns,poll_interval_ns,interface,operstate,t_ns,kind,bytes,packets,drops,overlimits,requeues,backlog_bytes,qlen,rx_bytes,rx_packets,rx_dropped,tx_bytes,tx_packets,tx_dropped
0,3008841239973186,3008841241440734,0,sA-eth3,up,3008841241238603,netem,364,6,0,0,0,0,0,590,7,0,544,8,0
1,3008841260020470,3008841260765394,20047284,sA-eth3,up,3008841260681174,netem,364,6,0,0,0,0,0,590,7,0,544,8,0
2,3008841280016754,3008841280579988,19996284,sA-eth3,up,3008841280510637,netem,578,9,0,0,0,0,0,14058,13,0,758,11,0
3,3008841300014969,3008841300504572,19998215,sA-eth3,up,3008841300451871,netem,1568,24,0,0,0,66,1,232248,28,0,1748,26,0
4,3008841320012493,3008841320477606,19997524,sA-eth3,up,3008841320429025,netem,2624,40,0,0,0,0,0,489666,45,0,2804,42,0
5,3008841340013307,3008841340467580,20000814,sA-eth3,up,3008841340418520,netem,3548,54,0,0,0,0,0,738198,59,0,3728,56,0
6,3008841360012401,3008841360458454,19999094,sA-eth3,up,3008841360411034,netem,4340,66,0,0,0,66,1,985216,72,0,4520,68,0
7,3008841380004456,3008841380475518,19992055,sA-eth3,up,3008841380422768,netem,5354,81,0,0,0,0,0,1246780,86,0,5534,83,0
8,3008841400013780,3008841400480603,20009324,sA-eth3,up,3008841400427402,netem,6278,95,0,0,0,132,2,1486822,103,0,6458,97,0
9,3008841420003314,3008841420549677,19989534,sA-eth3,up,3008841420500767,netem,7466,113,0,0,0,0,0,1755890,121,0,7646,115,0
10,3008841440012679,3008841440561682,20009365,sA-eth3,up,3008841440513221,netem,8390,127,0,0,0,198,3,2010346,137,0,8636,130,0
11,3008841460005843,3008841460617306,19993164,sA-eth3,up,3008841460541226,netem,9446,143,0,0,0,13716,3,2106758,143,0,9626,145,0
12,3008841480016947,3008841480510550,20011104,sA-eth3,up,3008841480454989,netem,221496,284,0,0,0,28766,2,2107814,159,0,213426,161,0
13,3008841500014521,3008841500587325,19997574,sA-eth3,up,3008841500534604,netem,453224,438,0,0,0,65102,4,2108804,174,0,436046,177,0
14,3008841520003195,3008841520703660,19988674,sA-eth3,up,3008841520654449,netem,724230,617,0,0,0,52990,3,2109794,189,0,696228,192,0
