run_id,experiment_family,scenario_id,condition,topology,status,correctness_status,link_operstate,detector_operstate,fault_interface,detector_interface,injector_detector_isolated,selected_retention,fault_period_retention,post_recovery_retention,baseline_median_mbit_s,selected_median_mbit_s,switch_triggered,l_switch_ms,host_action,l_host_ms,recovery_committed,l_coordination_ms,l_fault_to_commit_ms,l_detection_ms,l_commit_to_recovered_round_ms,l_fault_to_recovered_round_complete_ms,recovery_policy,changed_slot_count,changed_sender_ranks,active_active_use_passed,locality_passed,checksum_errors,version_errors,gate_pass,gate_failures,run_directory
aa0_healthy_rep01,active_active_v1,AA0_HEALTHY,C0,dual,complete,pass,up,up,w2-eth0,sA-eth3,True,1.0004505651732012,1.0004505651732012,,377.7528282277851,377.92303049626275,False,,,,False,,,,,,none,0,[],True,,0,0,True,,results_active_active/aa0_healthy_rep01
aa0_healthy_rep02,active_active_v1,AA0_HEALTHY,C0,dual,complete,pass,up,up,w2-eth0,sA-eth3,True,0.9999752102708412,0.9999752102708412,,377.903250651846,377.8938825326141,False,,,,False,,,,,,none,0,[],True,,0,0,True,,results_active_active/aa0_healthy_rep02
aa0_healthy_rep03,active_active_v1,AA0_HEALTHY,C0,dual,complete,pass,up,up,w2-eth0,sA-eth3,True,0.9998956129776638,0.9998956129776638,,377.94957565251445,377.91012262171887,False,,,,False,,,,,,none,0,[],True,,0,0,True,,results_active_active/aa0_healthy_rep03
aa1_fault_rep01,active_active_v1,AA1_FAULT,C1,dual,complete,pass,up,up,w2-eth0,sA-eth3,True,0.370787806134515,0.370787806134515,,377.92224271695113,140.12895926645402,False,,,,False,,,,,,none,0,[],True,,0,0,True,,results_active_active/aa1_fault_rep01
aa1_fault_rep02,active_active_v1,AA1_FAULT,C1,dual,complete,pass,up,up,w2-eth0,sA-eth3,True,0.3707537915100555,0.3707537915100555,,377.9223638396702,140.1161492900004,False,,,,False,,,,,,none,0,[],True,,0,0,True,,results_active_active/aa1_fault_rep02
aa1_fault_rep03,active_active_v1,AA1_FAULT,C1,dual,complete,pass,up,up,w2-eth0,sA-eth3,True,0.3705342036520122,0.3705342036520122,,378.11177280860437,140.10334462908676,False,,,,False,,,,,,none,0,[],True,,0,0,True,,results_active_active/aa1_fault_rep03
aa2_detect_rep01,active_active_v1,AA2_DETECT,C2,dual,complete,pass,up,up,w2-eth0,sA-eth3,True,0.3708641157477233,0.3708641157477233,,377.818172956135,140.1192026267974,True,2775.614601,,,False,,,,,,none,0,[],True,,0,0,True,,results_active_active/aa2_detect_rep01
aa2_detect_rep02,active_active_v1,AA2_DETECT,C2,dual,complete,pass,up,up,w2-eth0,sA-eth3,True,0.3706952661510159,0.3706952661510159,,378.0200847857465,140.1302559400819,True,2776.995179,,,False,,,,,,none,0,[],True,,0,0,True,,results_active_active/aa2_detect_rep02
aa2_detect_rep03,active_active_v1,AA2_DETECT,C2,dual,complete,pass,up,up,w2-eth0,sA-eth3,True,0.37081343330227257,0.37081343330227257,,377.89742886955736,140.1294430352219,True,2784.749392,,,False,,,,,,none,0,[],True,,0,0,True,,results_active_active/aa2_detect_rep03
aa3_global_rep01,active_active_v1,AA3_GLOBAL,C3,dual,complete,pass,up,up,w2-eth0,sA-eth3,True,0.9614933177809691,0.3732994745689148,0.9614933177809691,377.94236594794415,363.389059365278,True,2776.018853,confirm,92.511371,True,0.543103,2869.073327,2868.530224,1191.206372,4060.279699,global_failover,12,"[0, 1, 2, 3]",True,True,0,0,True,,results_active_active/aa3_global_rep01
aa3_global_rep02,active_active_v1,AA3_GLOBAL,C3,dual,complete,pass,up,up,w2-eth0,sA-eth3,True,0.8815192385453687,0.3732697354498787,0.8815192385453687,377.95835589578667,333.1775620911133,True,2785.94001,confirm,82.563864,True,0.535453,2869.039327,2868.503874,1209.182075,4078.221402,global_failover,12,"[0, 1, 2, 3]",True,True,0,0,False,AA3_GLOBAL post-recovery retention must be at least 0.9,results_active_active/aa3_global_rep02
aa3_global_rep03,active_active_v1,AA3_GLOBAL,C3,dual,complete,pass,up,up,w2-eth0,sA-eth3,True,0.9611241929229803,0.3731827821826408,0.9611241929229803,378.04925255833746,363.35228275026805,True,2777.293949,confirm,91.071383,True,0.504593,2868.869925,2868.365332,1245.588344,4114.458269,global_failover,12,"[0, 1, 2, 3]",True,True,0,0,True,,results_active_active/aa3_global_rep03
aa3_local_rep01,active_active_v1,AA3_LOCAL,C3,dual,complete,pass,up,up,w2-eth0,sA-eth3,True,0.9358429698833192,0.37319406220069357,0.9358429698833192,378.08173394375,353.82513275255394,True,2777.168719,confirm,90.964582,True,0.579533,2868.712834,2868.133301,1089.955022,3958.667856,localized,3,[2],True,True,0,0,True,,results_active_active/aa3_local_rep01
aa3_local_rep02,active_active_v1,AA3_LOCAL,C3,dual,complete,pass,up,up,w2-eth0,sA-eth3,True,0.9365648667210935,0.37366608778616106,0.9365648667210935,377.5765249966258,353.6249078104785,True,2775.010637,confirm,93.292275,True,0.545333,2868.848245,2868.302912,1088.662704,3957.510949,localized,3,[2],True,True,0,0,True,,results_active_active/aa3_local_rep02
aa3_local_rep03,active_active_v1,AA3_LOCAL,C3,dual,complete,pass,up,up,w2-eth0,sA-eth3,True,0.9356774450914014,0.3732663085623179,0.9356774450914014,378.00108736225104,353.68709166488264,True,2777.131699,confirm,91.006912,True,0.532873,2868.671484,2868.138611,1089.173228,3957.844712,localized,3,[2],True,True,0,0,True,,results_active_active/aa3_local_rep03
aa4_oracle_rep01,active_active_v1,AA4_ORACLE,C4,dual,complete,pass,up,up,w2-eth0,sA-eth3,True,0.9488038094382512,0.9488038094382512,0.9488038094382512,377.74506018926473,358.4059521040558,False,,,,True,0.547093,3.900332,,1087.448497,1091.348829,localized,3,[2],True,True,0,0,True,,results_active_active/aa4_oracle_rep01
aa4_oracle_rep02,active_active_v1,AA4_ORACLE,C4,dual,complete,pass,up,up,w2-eth0,sA-eth3,True,0.9465430071786072,0.9465430071786072,0.9465430071786072,377.9956726534095,357.7891606938586,False,,,,True,0.504723,3.688671,,1087.1111,1090.799771,localized,3,[2],True,True,0,0,True,,results_active_active/aa4_oracle_rep02
aa4_oracle_rep03,active_active_v1,AA4_ORACLE,C4,dual,complete,pass,up,up,w2-eth0,sA-eth3,True,0.9466935747293674,0.9466935747293674,0.9466935747293674,378.08962713812923,357.9350206834892,False,,,,True,0.504723,3.630761,,1087.112401,1090.743162,localized,3,[2],True,True,0,0,True,,results_active_active/aa4_oracle_rep03
aa5_transient_rep01,active_active_v1,AA5_TRANSIENT,C5,dual,complete,pass,up,up,w2-eth0,sA-eth3,True,0.9925240862108011,0.9925240862108011,,377.95644720611324,375.1308773907284,True,877.04783,suppress,667.616894,False,,,,,,localized,0,[],True,,0,0,True,,results_active_active/aa5_transient_rep01
aa5_transient_rep02,active_active_v1,AA5_TRANSIENT,C5,dual,complete,pass,up,up,w2-eth0,sA-eth3,True,0.9934137362411837,0.9934137362411837,,377.8271364697851,375.33866729375677,True,875.836024,suppress,669.221123,False,,,,,,localized,0,[],True,,0,0,True,,results_active_active/aa5_transient_rep02
aa5_transient_rep03,active_active_v1,AA5_TRANSIENT,C5,dual,complete,pass,up,up,w2-eth0,sA-eth3,True,0.9933904018638565,0.9933904018638565,,377.94578763669944,375.44771786317267,True,877.121781,suppress,667.872595,False,,,,,,localized,0,[],True,,0,0,True,,results_active_active/aa5_transient_rep03
