poll_iteration,poll_start_ns,poll_end_ns,poll_interval_ns,interface,operstate,t_ns,kind,bytes,packets,drops,overlimits,requeues,backlog_bytes,qlen,rx_bytes,rx_packets,rx_dropped,tx_bytes,tx_packets,tx_dropped
0,3012775670240743,3012775671083288,0,sA-eth3,up,3012775670945507,netem,364,6,0,0,0,0,0,480,6,0,544,8,0
1,3012775690309545,3012775691144990,20068802,sA-eth3,up,3012775691047749,netem,364,6,0,0,0,0,0,480,6,0,544,8,0
2,3012775710302006,3012775710985930,19992461,sA-eth3,up,3012775710914849,netem,578,9,0,0,0,66,1,13948,12,0,758,11,0
3,3012775730299407,3012775730840960,19997401,sA-eth3,up,3012775730785540,netem,1678,25,0,0,0,66,1,232138,27,0,1858,27,0
4,3012775750294168,3012775750886722,19994761,sA-eth3,up,3012775750833261,netem,2734,41,0,0,0,66,1,489556,44,0,2914,43,0
5,3012775770294580,3012775770788022,20000412,sA-eth3,up,3012775770737242,netem,3744,56,0,0,0,66,1,738088,58,0,3924,58,0
6,3012775790294541,3012775790762793,19999961,sA-eth3,up,3012775790714103,netem,4622,69,0,0,0,66,1,985106,71,0,4802,71,0
7,3012775810293792,3012775810773695,19999251,sA-eth3,up,3012775810727514,netem,5546,83,0,0,0,66,1,1246670,85,0,5726,85,0
8,3012775830294613,3012775830759656,20000821,sA-eth3,up,3012775830712496,netem,6536,98,0,0,0,66,1,1509946,103,0,6716,100,0
9,3012775850296914,3012775850781647,20002301,sA-eth3,up,3012775850722967,netem,7744,116,0,0,0,0,0,1755780,120,0,7924,118,0
10,3012775870294206,3012775870862909,19997292,sA-eth3,up,3012775870814398,netem,8800,132,0,0,0,66,1,2010236,136,0,8980,134,0
11,3012775890294437,3012775890842100,20000231,sA-eth3,up,3012775890794820,netem,9724,146,0,0,0,13716,3,2106648,143,0,9994,149,0
12,3012775910294668,3012775910794961,20000231,sA-eth3,up,3012775910734270,netem,221774,287,0,0,0,28766,2,2107704,158,0,213704,164,0
13,3012775930294729,3012775930755842,20000061,sA-eth3,up,3012775930709861,netem,453416,440,0,0,0,65102,4,2108694,173,0,459472,180,0
14,3012775950293660,3012775950849654,19998931,sA-eth3,up,3012775950805023,netem,724422,619,0,0,0,52990,3,2109684,188,0,696420,194,0
15,3012775970294132,3012775970856215,20000472,sA-eth3,up,3012775970808934,netem,969690,781,0,0,0,65102,4,2110476,200,0,931788,206,0
16,3012775990298133,3012775990833806,20004001,sA-eth3,up,3012775990759455,netem,1225556,950,0,0,0,78728,6,2111400,215,0,1180452,222,0
17,3012776010296664,3012776010952638,19998531,sA-eth3,up,3012776010895147,netem,1470824,1112,0,0,0,86298,5,2112588,232,0,1413254,239,0
18,3012776030295645,3012776030769568,19998981,sA-eth3,up,3012776030720747,netem,1710036,1270,0,0,0,128690,8,2113578,247,0,1643028,254,0
19,3012776050294496,3012776050764389,19998851,sA-eth3,up,3012776050718619,netem,1973472,1444,0,0,0,128690,7,2114634,263,0,1896036,270,0
20,3012776070293818,3012776070775140,19999322,sA-eth3,up,3012776070728180,netem,2202600,1596,0,0,0,0,0,2260844,284,0,2115990,283,0
21,3012776090294169,3012776090735021,20000351,sA-eth3,up,3012776090690071,netem,2203392,1608,0,0,0,0,0,2483048,294,0,2116782,295,0
22,3012776110294230,3012776110845133,20000061,sA-eth3,up,3012776110799823,netem,2204052,1618,0,0,0,0,0,2740334,309,0,2117442,305,0
23,3012776130295001,3012776130953225,20000771,sA-eth3,up,3012776130900724,netem,2205042,1633,0,0,0,66,1,3003478,325,0,2118498,321,0
24,3012776150294742,3012776150914096,19999741,sA-eth3,up,3012776150852005,netem,2206098,1649,0,0,0,0,0,3250826,343,0,2119488,336,0
25,3012776170295034,3012776170853527,20000292,sA-eth3,up,3012776170805046,netem,2207220,1666,0,0,0,66,1,3505348,360,0,2120610,353,0
26,3012776190294275,3012776190749497,19999241,sA-eth3,up,3012776190704267,netem,2208342,1683,0,0,0,0,0,3755526,377,0,2121732,370,0
27,3012776210295136,3012776210919109,20000861,sA-eth3,up,3012776210868089,netem,2209332,1698,0,0,0,0,0,4007020,392,0,2122722,385,0
28,3012776230293137,3012776230982281,19998001,sA-eth3,up,3012776230932690,netem,2210256,1712,0,0,0,66,1,4221182,405,0,2123646,399,0
29,3012776250291918,3012776250753331,19998781,sA-eth3,up,3012776250705540,netem,2211204,1726,0,0,0,152914,8,4221248,406,0,2124594,413,0
30,3012776270294349,3012776270854753,20002431,sA-eth3,up,3012776270807732,netem,2465556,1894,0,0,0,152914,6,4222040,418,0,2368650,425,0
31,3012776290295371,3012776290950354,20001022,sA-eth3,up,3012776290883614,netem,2712534,2059,0,0,0,174110,10,4222832,430,0,2628830,439,0
32,3012776310293622,3012776310860465,19998251,sA-eth3,up,3012776310814625,netem,2974456,2232,0,0,0,186222,10,4223822,445,0,2857156,454,0
33,3012776330291903,3012776330759096,19998281,sA-eth3,up,3012776330699845,netem,3218210,2393,0,0,0,202876,14,4224812,460,0,3091274,469,0
34,3012776350293204,3012776350860597,20001301,sA-eth3,up,3012776350814447,netem,3475590,2563,0,0,0,187736,12,4226000,478,0,3338622,487,0
35,3012776370295065,3012776370773598,20001861,sA-eth3,up,3012776370715538,netem,3731456,2732,0,0,0,211960,13,4227056,494,0,3584390,503,0
36,3012776390294217,3012776390847200,19999152,sA-eth3,up,3012776390799500,netem,3984294,2899,0,0,0,216502,13,4228046,509,0,3827196,518,0
37,3012776410293348,3012776410747970,19999131,sA-eth3,up,3012776410700720,netem,4225020,3058,0,0,0,179276,12,4229080,524,0,4058352,532,0
38,3012776430294679,3012776430850342,20001331,sA-eth3,up,3012776430804132,netem,4404428,3180,0,0,0,66,1,4505874,549,0,4230632,546,0
39,3012776450295190,3012776450764593,20000511,sA-eth3,up,3012776450718202,netem,4405220,3192,0,0,0,0,0,4770136,560,0,4231424,558,0
40,3012776470295931,3012776470797484,20000741,sA-eth3,up,3012776470741004,netem,4405970,3203,0,0,0,0,0,5022966,573,0,4232174,569,0
41,3012776490293873,3012776490811805,19997942,sA-eth3,up,3012776490764085,netem,4406630,3213,0,0,0,66,1,5257018,587,0,4232834,579,0
42,3012776510294324,3012776510891637,20000451,sA-eth3,up,3012776510844297,netem,4407488,3226,0,0,0,132,2,5531812,604,0,4233758,593,0
43,3012776530293425,3012776530787438,19999101,sA-eth3,up,3012776530729137,netem,4408478,3241,0,0,0,66,1,5763034,619,0,4234682,607,0
44,3012776550294416,3012776550757119,20000991,sA-eth3,up,3012776550711829,netem,4409336,3254,0,0,0,66,1,6034866,635,0,4235606,621,0
45,3012776570294407,3012776570854340,19999991,sA-eth3,up,3012776570804700,netem,4410392,3270,0,0,0,0,0,6282148,652,0,4236596,636,0
46,3012776590294899,3012776590847532,20000492,sA-eth3,up,3012776590801711,netem,4411382,3285,0,0,0,0,0,6335054,657,0,4237586,651,0
47,3012776610294360,3012776610806312,19999461,sA-eth3,up,3012776610761252,netem,4484936,3346,0,0,0,266464,12,6335318,661,0,4308170,667,0
48,3012776630290811,3012776630763293,19996451,sA-eth3,up,3012776630712173,netem,4751400,3522,0,0,0,249810,10,6336110,673,0,4563810,679,0
49,3012776650294152,3012776650855625,20003341,sA-eth3,up,3012776650808795,netem,5001210,3687,0,0,0,261922,12,6336770,683,0,4803390,689,0
50,3012776670293883,3012776670937407,19999731,sA-eth3,up,3012776670877876,netem,5238908,3844,0,0,0,304314,17,6337496,694,0,5031452,700,0
51,3012776690294154,3012776690774877,20000271,sA-eth3,up,3012776690717267,netem,5482662,4005,0,0,0,313398,19,6338354,707,0,5265504,714,0
52,3012776710294736,3012776710746658,20000582,sA-eth3,up,3012776710700718,netem,5744584,4178,0,0,0,302800,18,6339344,722,0,5517064,730,0
53,3012776730293147,3012776730744889,19998411,sA-eth3,up,3012776730699189,netem,5982282,4335,0,0,0,340650,20,6340202,735,0,5745324,744,0
54,3012776750293338,3012776750742691,20000191,sA-eth3,up,3012776750697970,netem,6248746,4511,0,0,0,330052,21,6341258,751,0,6001228,760,0
55,3012776770293219,3012776770867552,19999881,sA-eth3,up,3012776770821902,netem,6503098,4679,0,0,0,101952,8,6342314,767,0,6245548,776,0
56,3012776790298610,3012776790797503,20005391,sA-eth3,up,3012776790738193,netem,6605634,4755,0,0,0,66,1,6772860,796,0,6344124,792,0
57,3012776810294722,3012776810854765,19996112,sA-eth3,up,3012776810806534,netem,6606360,4766,0,0,0,0,0,7041466,807,0,6344850,803,0
58,3012776830291553,3012776830945836,19996831,sA-eth3,up,3012776830886096,netem,6607086,4777,0,0,0,66,1,7275254,817,0,6345576,814,0
59,3012776850296384,3012776850787147,20004831,sA-eth3,up,3012776850731126,netem,6607746,4787,0,0,0,0,0,7538332,832,0,6346236,824,0
60,3012776870294045,3012776870857378,19997661,sA-eth3,up,3012776870810578,netem,6608472,4798,0,0,0,0,0,7789892,848,0,6346962,835,0
61,3012776890294476,3012776890848829,20000431,sA-eth3,up,3012776890803979,netem,6609462,4813,0,0,0,0,0,8053168,866,0,6347952,850,0
62,3012776910295408,3012776910854151,20000932,sA-eth3,up,3012776910792380,netem,6610188,4824,0,0,0,66,1,8294526,881,0,6348678,861,0
63,3012776930295909,3012776930801501,20000501,sA-eth3,up,3012776930749411,netem,6611470,4843,0,0,0,66,1,8447872,894,0,6349960,880,0
64,3012776950295320,3012776950827853,19999411,sA-eth3,up,3012776950780743,netem,6612526,4859,0,0,0,66,1,8447872,894,0,6351016,896,0
65,3012776970294321,3012776970797044,19999001,sA-eth3,up,3012776970750274,netem,6734330,4949,0,0,0,352762,16,8448268,900,0,6467870,911,0
66,3012776990294952,3012776990768465,20000631,sA-eth3,up,3012776990721425,netem,6985654,5115,0,0,0,381528,15,8449060,912,0,6709030,923,0
67,3012777010295643,3012777010810036,20000691,sA-eth3,up,3012777010761426,netem,7240006,5283,0,0,0,369416,15,8449720,922,0,6952954,933,0
68,3012777030294915,3012777030795108,19999272,sA-eth3,up,3012777030745557,netem,7494358,5451,0,0,0,390612,21,8450380,932,0,7196878,943,0
69,3012777050296436,3012777050811469,20001521,sA-eth3,up,3012777050750318,netem,7744168,5616,0,0,0,404238,26,8451106,943,0,7436524,954,0
70,3012777070294387,3012777070865330,19997951,sA-eth3,up,3012777070814760,netem,7980352,5772,0,0,0,440664,29,8452030,957,0,7663402,969,0
71,3012777090294448,3012777090757181,20000061,sA-eth3,up,3012777090710011,netem,8236308,5942,0,0,0,434518,28,8452822,969,0,7909194,985,0
72,3012777110293849,3012777110847502,19999401,sA-eth3,up,3012777110802542,netem,8489146,6109,0,0,0,316940,22,8453878,985,0,8152066,1001,0
73,3012777130293991,3012777130832274,20000142,sA-eth3,up,3012777130785763,netem,8743498,6277,0,0,0,62588,6,8454934,1001,0,8396386,1017,0
74,3012777150293992,3012777150852925,20000001,sA-eth3,up,3012777150805325,netem,8806548,6326,0,0,0,66,1,9055358,1037,0,8457060,1030,0
75,3012777170296493,3012777171471140,20002501,sA-eth3,up,3012777171353729,netem,8807274,6337,0,0,0,66,1,9329822,1049,0,8457852,1042,0
76,3012777190299634,3012777190982428,20003141,sA-eth3,up,3012777190870968,netem,8808066,6349,0,0,0,0,0,9572364,1060,0,8458578,1053,0
77,3012777210301045,3012777210986979,20001411,sA-eth3,up,3012777210925809,netem,8808726,6359,0,0,0,66,1,9804704,1070,0,8459238,1063,0
78,3012777230294367,3012777230775269,19993322,sA-eth3,up,3012777230723839,netem,8809386,6369,0,0,0,132,2,10060740,1088,0,8459898,1073,0
79,3012777250296698,3012777250922631,20002331,sA-eth3,up,3012777250861171,netem,8810112,6380,0,0,0,66,1,10335798,1109,0,8460690,1085,0
80,3012777270295499,3012777270890522,19998801,sA-eth3,up,3012777270838112,netem,8811168,6396,0,0,0,0,0,10560294,1125,0,8461680,1100,0
81,3012777290295470,3012777290764503,19999971,sA-eth3,up,3012777290715503,netem,8811894,6407,0,0,0,66,1,10560294,1125,0,8462406,1111,0
82,3012777310294771,3012777310863714,19999301,sA-eth3,up,3012777310811744,netem,8812978,6423,0,0,0,66,1,10560294,1125,0,8463490,1127,0
83,3012777330294093,3012777330756635,19999322,sA-eth3,up,3012777330708785,netem,8995012,6548,0,0,0,467826,22,10560888,1134,0,8638132,1140,0
84,3012777350294324,3012777350854797,20000231,sA-eth3,up,3012777350805527,netem,9244822,6713,0,0,0,479938,22,10561614,1145,0,8877778,1151,0
85,3012777370295315,3012777370789828,20000991,sA-eth3,up,3012777370727617,netem,9487062,6873,0,0,0,514760,22,10562340,1156,0,9110250,1163,0
86,3012777390294466,3012777390749989,19999151,sA-eth3,up,3012777390701988,netem,9748984,7046,0,0,0,504162,22,10563066,1167,0,9361480,1174,0
87,3012777410294557,3012777411135052,20000091,sA-eth3,up,3012777410991421,netem,10001822,7213,0,0,0,516364,30,10563792,1178,0,9604022,1185,0
88,3012777430299508,3012777430975212,20004951,sA-eth3,up,3012777430909022,netem,10253146,7379,0,0,0,543706,40,10564518,1189,0,9845116,1196,0
89,3012777450295110,3012777450898853,19995602,sA-eth3,up,3012777450848273,netem,10486392,7534,0,0,0,519906,38,10565442,1203,0,10069254,1213,0
90,3012777470295501,3012777470874134,20000391,sA-eth3,up,3012777470825154,netem,10746890,7707,0,0,0,259408,18,10566234,1215,0,10319654,1233,0
91,3012777490296212,3012777491424778,20000711,sA-eth3,up,3012777491289848,netem,11006298,7879,0,0,0,0,0,10567450,1233,0,10568898,1251,0
