poll_iteration,poll_start_ns,poll_end_ns,poll_interval_ns,interface,operstate,t_ns,kind,bytes,packets,drops,overlimits,requeues,backlog_bytes,qlen,rx_bytes,rx_packets,rx_dropped,tx_bytes,tx_packets,tx_dropped
0,3012713063554536,3012713064585632,0,sA-eth3,up,3012713064385701,netem,364,6,0,0,0,0,0,480,6,0,544,8,0
1,3012713083618528,3012713084373092,20063992,sA-eth3,up,3012713084294841,netem,364,6,0,0,0,0,0,480,6,0,544,8,0
2,3012713103612669,3012713104444003,19994141,sA-eth3,up,3012713104344133,netem,578,9,0,0,0,0,0,13948,12,0,758,11,0
3,3012713123613260,3012713124222673,20000591,sA-eth3,up,3012713124156183,netem,1654,25,0,0,0,66,1,232138,27,0,1834,27,0
4,3012713143610181,3012713144150944,19996921,sA-eth3,up,3012713144091124,netem,2710,41,0,0,0,0,0,489556,44,0,2890,43,0
5,3012713163609532,3012713164314946,19999351,sA-eth3,up,3012713164235576,netem,3634,55,0,0,0,0,0,738088,58,0,3814,57,0
6,3012713183611173,3012713184326017,20001641,sA-eth3,up,3012713184259317,netem,4426,67,0,0,0,66,1,985106,71,0,4606,69,0
7,3012713203610085,3012713204280868,19998912,sA-eth3,up,3012713204221828,netem,5350,81,0,0,0,0,0,1246670,85,0,5530,83,0
8,3012713223610016,3012713224240679,19999931,sA-eth3,up,3012713224182389,netem,6274,95,0,0,0,132,2,1486712,102,0,6454,97,0
9,3012713243609877,3012713244129100,19999861,sA-eth3,up,3012713244070560,netem,7462,113,0,0,0,0,0,1755780,120,0,7642,115,0
10,3012713263609288,3012713264099561,19999411,sA-eth3,up,3012713264048491,netem,8386,127,0,0,0,198,3,1987112,136,0,8566,129,0
11,3012713283610429,3012713284216493,20001141,sA-eth3,up,3012713284155672,netem,9442,143,0,0,0,13716,3,2106758,143,0,9622,145,0
12,3012713303610541,3012713304252774,20000112,sA-eth3,up,3012713304192204,netem,221602,285,0,0,0,28766,2,2107814,159,0,213532,162,0
13,3012713323609492,3012713324225405,19998951,sA-eth3,up,3012713324170845,netem,453244,438,0,0,0,65102,4,2108804,174,0,436066,177,0
14,3012713343610043,3012713344206886,20000551,sA-eth3,up,3012713344154556,netem,700026,601,0,0,0,77214,4,2109728,188,0,673014,191,0
15,3012713363609254,3012713364213798,19999211,sA-eth3,up,3012713364165407,netem,969518,779,0,0,0,65102,4,2110586,201,0,931616,204,0
16,3012713383608455,3012713384490350,19999201,sA-eth3,up,3012713384384790,netem,1204188,934,0,0,0,102952,5,2111444,214,0,1156914,217,0
17,3012713403614607,3012713404273160,20006152,sA-eth3,up,3012713404211570,netem,1469138,1109,0,0,0,87812,6,2112500,230,0,1411370,233,0
18,3012713423608668,3012713424252331,19994061,sA-eth3,up,3012713424201981,netem,1708350,1267,0,0,0,128776,9,2113556,246,0,1641210,249,0
19,3012713443609749,3012713444215122,20001081,sA-eth3,up,3012713444164782,netem,1964302,1437,0,0,0,113550,7,2114678,263,0,1894370,267,0
20,3012713463652340,3012713464353694,20042591,sA-eth3,up,3012713464301354,netem,2202514,1595,0,0,0,0,0,2260888,284,0,2115772,280,0
21,3012713483610481,3012713484114974,19958141,sA-eth3,up,3012713484061974,netem,2203240,1606,0,0,0,66,1,2458410,293,0,2116498,291,0
22,3012713503609822,3012713504220116,19999341,sA-eth3,up,3012713504169196,netem,2204056,1618,0,0,0,0,0,2740378,309,0,2117314,303,0
23,3012713523608774,3012713524260077,19998952,sA-eth3,up,3012713524208887,netem,2204980,1632,0,0,0,132,2,2975878,323,0,2118238,317,0
24,3012713543611625,3012713544156248,20002851,sA-eth3,up,3012713544096068,netem,2205970,1647,0,0,0,132,2,3224674,341,0,2119228,332,0
25,3012713563611486,3012713564230230,19999861,sA-eth3,up,3012713564173119,netem,2207268,1666,0,0,0,132,2,3482158,359,0,2120526,351,0
