poll_iteration,poll_start_ns,poll_end_ns,poll_interval_ns,interface,operstate,t_ns,kind,bytes,packets,drops,overlimits,requeues,backlog_bytes,qlen,rx_bytes,rx_packets,rx_dropped,tx_bytes,tx_packets,tx_dropped
0,3012646383009470,3012646384078016,0,sA-eth3,up,3012646383875585,netem,474,7,0,0,0,0,0,480,6,0,654,9,0
1,3012646403081391,3012646403925806,20071921,sA-eth3,up,3012646403827786,netem,474,7,0,0,0,0,0,480,6,0,654,9,0
2,3012646423068273,3012646423708796,19986882,sA-eth3,up,3012646423647766,netem,754,11,0,0,0,0,0,628,8,0,934,13,0
3,3012646443064834,3012646443624057,19996561,sA-eth3,up,3012646443572347,netem,754,11,0,0,0,0,0,628,8,0,934,13,0
4,3012646463063385,3012646463651818,19998551,sA-eth3,up,3012646463600818,netem,828,12,0,0,0,0,0,768,10,0,1008,14,0
5,3012646483065056,3012646483592569,20001671,sA-eth3,up,3012646483538659,netem,1290,19,0,0,0,66,1,86818,19,0,1470,21,0
6,3012646503063747,3012646503600750,19998691,sA-eth3,up,3012646503549420,netem,2214,33,0,0,0,0,0,341274,35,0,2394,35,0
7,3012646523063389,3012646523621432,19999642,sA-eth3,up,3012646523574731,netem,3270,49,0,0,0,0,0,592834,51,0,3450,51,0
8,3012646543063170,3012646543633573,19999781,sA-eth3,up,3012646543585093,netem,4128,62,0,0,0,156,2,839852,64,0,4308,64,0
9,3012646563063591,3012646563625764,20000421,sA-eth3,up,3012646563573454,netem,5010,75,0,0,0,0,0,1100034,79,0,5190,77,0
10,3012646583063232,3012646583623395,19999641,sA-eth3,up,3012646583574785,netem,6066,91,0,0,0,0,0,1347316,96,0,6246,93,0
11,3012646603064283,3012646603684257,20001051,sA-eth3,up,3012646603632266,netem,7188,108,0,0,0,0,0,1603462,115,0,7368,110,0
12,3012646623063384,3012646623522487,19999101,sA-eth3,up,3012646623474977,netem,8244,124,0,0,0,0,0,1853574,131,0,8424,126,0
13,3012646643063656,3012646643509218,20000272,sA-eth3,up,3012646643462628,netem,9168,138,0,0,0,66,1,2090522,145,0,9348,140,0
14,3012646663067037,3012646663658040,20003381,sA-eth3,up,3012646663593780,netem,59814,181,0,0,0,39364,2,2107492,154,0,79998,157,0
15,3012646683065908,3012646683563811,19998871,sA-eth3,up,3012646683508231,netem,306596,344,0,0,0,57532,4,2108350,167,0,295160,170,0
16,3012646703064699,3012646703662332,19998791,sA-eth3,up,3012646703606832,netem,554892,508,0,0,0,71158,4,2109406,183,0,533688,186,0
17,3012646723064690,3012646723648674,19999991,sA-eth3,up,3012646723592423,netem,815300,680,0,0,0,68130,3,2110330,197,0,783668,200,0
18,3012646743064752,3012646743754415,20000062,sA-eth3,up,3012646743700955,netem,1059054,841,0,0,0,69644,4,2111122,209,0,1017588,212,0
19,3012646763062223,3012646763648566,19997471,sA-eth3,up,3012646763593956,netem,1307350,1005,0,0,0,107494,7,2111980,222,0,1255918,225,0
20,3012646783063754,3012646783632937,20001531,sA-eth3,up,3012646783579647,netem,1557160,1170,0,0,0,121120,8,2113102,239,0,1495960,242,0
21,3012646803066205,3012646803562738,20002451,sA-eth3,up,3012646803503008,netem,1805542,1335,0,0,0,133232,8,2114158,255,0,1734574,259,0
22,3012646823065596,3012646823601609,19999391,sA-eth3,up,3012646823544639,netem,2067464,1508,0,0,0,121120,7,2115214,271,0,1986134,275,0
23,3012646843067348,3012646843710341,20001752,sA-eth3,up,3012646843645361,netem,2202988,1602,0,0,0,0,0,2335206,291,0,2116246,287,0
24,3012646863066039,3012646863697042,19998691,sA-eth3,up,3012646863640222,netem,2203714,1613,0,0,0,66,1,2570442,301,0,2116972,298,0
25,3012646883065340,3012646883667983,19999301,sA-eth3,up,3012646883614463,netem,2204572,1626,0,0,0,132,2,2822002,317,0,2117830,311,0
26,3012646903065151,3012646903656204,19999811,sA-eth3,up,3012646903600864,netem,2205562,1641,0,0,0,66,1,3082316,334,0,2118820,326,0
27,3012646923063942,3012646923745516,19998791,sA-eth3,up,3012646923694556,netem,2206618,1657,0,0,0,66,1,3329664,352,0,2119876,342,0
28,3012646943063954,3012646943664917,20000012,sA-eth3,up,3012646943612117,netem,2207674,1673,0,0,0,132,2,3598666,369,0,2120998,359,0
29,3012646963064665,3012646963664398,20000711,sA-eth3,up,3012646963614498,netem,2208730,1689,0,0,0,132,2,3828440,384,0,2121988,374,0
30,3012646983063446,3012646983696399,19998781,sA-eth3,up,3012646983648229,netem,2209786,1705,0,0,0,0,0,4095928,400,0,2123044,390,0
31,3012647003065187,3012647003576100,20001741,sA-eth3,up,3012647003518950,netem,2210882,1721,0,0,0,66,1,4221432,408,0,2124140,406,0
32,3012647023066498,3012647023658782,20001311,sA-eth3,up,3012647023599941,netem,2332620,1810,0,0,0,133232,7,4221828,414,0,2240928,420,0
33,3012647043066189,3012647043746093,19999691,sA-eth3,up,3012647043692673,netem,2568804,1966,0,0,0,171082,9,4222554,425,0,2467542,431,0
34,3012647063065401,3012647063593224,19999212,sA-eth3,up,3012647063538903,netem,2817100,2130,0,0,0,183414,13,4223478,439,0,2705938,445,0
35,3012647083064812,3012647083549755,19999411,sA-eth3,up,3012647083497834,netem,3073186,2301,0,0,0,171082,12,4224402,453,0,2951794,461,0
36,3012647103063583,3012647103593406,19998771,sA-eth3,up,3012647103542976,netem,3330566,2471,0,0,0,183194,13,4225524,470,0,3199076,478,0
37,3012647123064634,3012647123589647,20001051,sA-eth3,up,3012647123537967,netem,3577348,2634,0,0,0,211960,13,4226646,487,0,3436222,495,0
38,3012647143063565,3012647143610828,19998931,sA-eth3,up,3012647143562188,netem,3828672,2800,0,0,0,201362,12,4227702,503,0,3677646,511,0
39,3012647163063147,3012647163606690,19999582,sA-eth3,up,3012647163557129,netem,4061828,2954,0,0,0,245268,14,4228626,517,0,3924796,526,0
40,3012647183063558,3012647183648111,20000411,sA-eth3,up,3012647183599151,netem,4331320,3132,0,0,0,73186,5,4229616,532,0,4160296,540,0
41,3012647203067259,3012647203681742,20003701,sA-eth3,up,3012647203621582,netem,4404902,3187,0,0,0,66,1,4628062,557,0,4231040,552,0
42,3012647223064090,3012647223580513,19996831,sA-eth3,up,3012647223529993,netem,4405694,3199,0,0,0,0,0,4874948,568,0,4231766,563,0
43,3012647243063911,3012647243531504,19999821,sA-eth3,up,3012647243483654,netem,4406354,3209,0,0,0,0,0,5127758,581,0,4232426,573,0
44,3012647263064533,3012647263580506,20000622,sA-eth3,up,3012647263530825,netem,4407080,3220,0,0,0,66,1,5363258,595,0,4233152,584,0
45,3012647283064024,3012647283624787,19999491,sA-eth3,up,3012647283577307,netem,4408004,3234,0,0,0,132,2,5622058,611,0,4234076,598,0
46,3012647303063835,3012647303650688,19999811,sA-eth3,up,3012647303600828,netem,4408994,3249,0,0,0,0,0,5876580,628,0,4235066,613,0
47,3012647323015446,3012647323584629,19951611,sA-eth3,up,3012647323536669,netem,4409918,3263,0,0,0,0,0,6130970,643,0,4235990,627,0
48,3012647343064537,3012647343573410,20049091,sA-eth3,up,3012647343522090,netem,4410842,3277,0,0,0,66,1,6335128,658,0,4236914,641,0
49,3012647363063499,3012647363571181,19998962,sA-eth3,up,3012647363519291,netem,4411898,3293,0,0,0,0,0,6335128,658,0,4237970,657,0
50,3012647383066530,3012647383650913,20003031,sA-eth3,up,3012647383585043,netem,4581886,3411,0,0,0,271006,12,6335656,666,0,4401028,670,0
51,3012647403066001,3012647403557894,19999471,sA-eth3,up,3012647403502863,netem,4827154,3573,0,0,0,281604,12,6336382,677,0,4636330,681,0
52,3012647423064382,3012647423663495,19998381,sA-eth3,up,3012647423613525,netem,5084534,3743,0,0,0,287660,14,6337108,688,0,4883216,692,0
53,3012647443065163,3012647443636996,20000781,sA-eth3,up,3012647443577306,netem,5344942,3915,0,0,0,284792,19,6337900,700,0,5133064,704,0
54,3012647463064394,3012647463596597,19999231,sA-eth3,up,3012647463546747,netem,5593398,4081,0,0,0,296744,18,6338824,714,0,5371686,721,0
55,3012647483064276,3012647483622049,19999882,sA-eth3,up,3012647483572899,netem,5840180,4244,0,0,0,313398,20,6339748,728,0,5608700,736,0
56,3012647503065137,3012647504087483,20000861,sA-eth3,up,3012647503940492,netem,6094532,4412,0,0,0,322482,20,6340738,743,0,5860260,752,0
57,3012647523078698,3012647523724642,20013561,sA-eth3,up,3012647523650011,netem,6345856,4578,0,0,0,259408,19,6341662,757,0,6094312,766,0
58,3012647543065839,3012647543581252,19987141,sA-eth3,up,3012647543528382,netem,6579012,4732,0,0,0,26252,3,6342718,773,0,6318360,782,0
59,3012647563064320,3012647563621263,19998481,sA-eth3,up,3012647563571393,netem,6605792,4758,0,0,0,66,1,6871662,801,0,6344150,793,0
60,3012647583064842,3012647583604805,20000522,sA-eth3,up,3012647583555084,netem,6606584,4770,0,0,0,0,0,7115586,811,0,6344942,805,0
61,3012647603063833,3012647603638156,19998991,sA-eth3,up,3012647603587736,netem,6607244,4780,0,0,0,0,0,7381362,823,0,6345602,815,0
62,3012647623063414,3012647623876459,19999581,sA-eth3,up,3012647623820458,netem,6607904,4790,0,0,0,0,0,7631474,839,0,6346262,825,0
63,3012647643064155,3012647643601528,20000741,sA-eth3,up,3012647643549398,netem,6608630,4801,0,0,0,132,2,7862630,853,0,6346988,836,0
64,3012647663063786,3012647663623349,19999631,sA-eth3,up,3012647663573909,netem,6609554,4815,0,0,0,66,1,8121496,870,0,6347912,850,0
65,3012647683064608,3012647683584340,20000822,sA-eth3,up,3012647683535100,netem,6610478,4829,0,0,0,0,0,8394908,888,0,6348836,864,0
66,3012647703063359,3012647703522611,19998751,sA-eth3,up,3012647703471181,netem,6611468,4844,0,0,0,0,0,8447814,893,0,6349826,879,0
67,3012647723064160,3012647723604633,20000801,sA-eth3,up,3012647723555123,netem,6612524,4860,0,0,0,198,3,8447814,893,0,6350882,895,0
68,3012647743065761,3012647743697785,20001601,sA-eth3,up,3012647743638814,netem,6830828,5008,0,0,0,357304,16,8448474,903,0,6560276,908,0
69,3012647763065972,3012647763584715,20000211,sA-eth3,up,3012647763521835,netem,7086694,5177,0,0,0,357304,14,8449266,915,0,6805780,920,0
70,3012647783064724,3012647783616527,19998752,sA-eth3,up,3012647783562796,netem,7315308,5328,0,0,0,404238,17,8449926,925,0,7049704,930,0
71,3012647803065225,3012647803554768,20000501,sA-eth3,up,3012647803497457,netem,7584800,5506,0,0,0,395154,22,8450586,935,0,7283492,940,0
72,3012647823064696,3012647823614399,19999471,sA-eth3,up,3012647823560719,netem,7831582,5669,0,0,0,404238,25,8451444,948,0,7520374,953,0
73,3012647843065737,3012647843582710,20001041,sA-eth3,up,3012647843527130,netem,8081392,5834,0,0,0,407426,27,8452236,960,0,7760350,969,0
74,3012647863064208,3012647863594781,19998471,sA-eth3,up,3012647863542641,netem,8320764,5994,0,0,0,457228,30,8453226,975,0,7990284,986,0
75,3012647883063399,3012647883625753,19999191,sA-eth3,up,3012647883575472,netem,8569060,6158,0,0,0,236698,18,8454216,990,0,8228746,1001,0
76,3012647903067951,3012647903804875,20004552,sA-eth3,up,3012647903729434,netem,8805758,6315,0,0,0,66,1,8917410,1031,0,8456270,1019,0
77,3012647923065272,3012647923588835,19997321,sA-eth3,up,3012647923535585,netem,8806484,6326,0,0,0,66,1,9146920,1042,0,8456996,1030,0
78,3012647943064523,3012647943557606,19999251,sA-eth3,up,3012647943505786,netem,8807276,6338,0,0,0,66,1,9398150,1053,0,8457788,1042,0
79,3012647963065684,3012647963566747,20001161,sA-eth3,up,3012647963505987,netem,8807936,6348,0,0,0,66,1,9665374,1065,0,8458514,1053,0
80,3012647983064575,3012647983531428,19998891,sA-eth3,up,3012647983479588,netem,8808662,6359,0,0,0,0,0,9907982,1077,0,8459174,1063,0
81,3012648003064517,3012648003531379,19999942,sA-eth3,up,3012648003477869,netem,8809388,6370,0,0,0,0,0,10164150,1097,0,8459900,1074,0
82,3012648023064638,3012648023605771,20000121,sA-eth3,up,3012648023551631,netem,8810434,6385,0,0,0,0,0,10418738,1115,0,8460946,1089,0
