poll_iteration,poll_start_ns,poll_end_ns,poll_interval_ns,interface,operstate,t_ns,kind,bytes,packets,drops,overlimits,requeues,backlog_bytes,qlen,rx_bytes,rx_packets,rx_dropped,tx_bytes,tx_packets,tx_dropped
0,3013042539262565,3013042540345601,0,sA-eth3,up,3013042540145360,netem,364,6,0,0,0,0,0,480,6,0,544,8,0
1,3013042559323896,3013042560095710,20061331,sA-eth3,up,3013042560029959,netem,450,7,0,0,0,0,0,480,6,0,630,9,0
2,3013042579320756,3013042579962340,19996860,sA-eth3,up,3013042579890959,netem,664,10,0,0,0,66,1,13948,12,0,844,12,0
3,3013042599319167,3013042599864730,19998411,sA-eth3,up,3013042599803979,netem,1654,25,0,0,0,66,1,232138,27,0,1834,27,0
4,3013042619319097,3013042619879640,19999930,sA-eth3,up,3013042619820810,netem,2710,41,0,0,0,66,1,489556,44,0,2890,43,0
5,3013042639318958,3013042639830941,19999861,sA-eth3,up,3013042639771460,netem,3634,55,0,0,0,66,1,738088,58,0,3814,57,0
6,3013042659317688,3013042659813981,19998730,sA-eth3,up,3013042659756841,netem,4426,67,0,0,0,66,1,985106,71,0,4606,70,0
7,3013042679318209,3013042679904122,20000521,sA-eth3,up,3013042679847682,netem,5350,81,0,0,0,66,1,1246670,85,0,5530,83,0
8,3013042699317750,3013042699949613,19999541,sA-eth3,up,3013042699891873,netem,6406,97,0,0,0,0,0,1514356,104,0,6586,99,0
9,3013042719317930,3013042719920743,20000180,sA-eth3,up,3013042719862103,netem,7462,113,0,0,0,0,0,1755780,120,0,7642,115,0
10,3013042739317271,3013042739892524,19999341,sA-eth3,up,3013042739840044,netem,8518,129,0,0,0,66,1,2010236,136,0,8698,131,0
11,3013042759318361,3013042759879285,20001090,sA-eth3,up,3013042759820844,netem,9532,144,0,0,0,13626,2,2106714,143,0,9712,146,0
12,3013042779318642,3013042779818715,20000281,sA-eth3,up,3013042779765164,netem,221578,285,0,0,0,28766,2,2107704,158,0,213508,162,0
13,3013042799318002,3013042800033886,19999360,sA-eth3,up,3013042799974646,netem,477444,454,0,0,0,40878,3,2108846,175,0,459276,178,0
14,3013042819316963,3013042819957827,19998961,sA-eth3,up,3013042819890056,netem,724226,617,0,0,0,53076,4,2109770,189,0,696224,192,0
15,3013042839317324,3013042839941837,20000361,sA-eth3,up,3013042839885737,netem,969580,780,0,0,0,65102,4,2110562,201,0,931678,205,0
16,3013042859318014,3013042859943708,20000690,sA-eth3,up,3013042859891697,netem,1228560,952,0,0,0,78728,4,2111486,215,0,1180296,220,0
17,3013042879317485,3013042879919438,19999471,sA-eth3,up,3013042879865698,netem,1469286,1111,0,0,0,112036,7,2112476,230,0,1411518,235,0
18,3013042899317605,3013042899890509,20000120,sA-eth3,up,3013042899838978,netem,1708498,1269,0,0,0,128690,8,2113532,246,0,1641358,251,0
19,3013042919317746,3013042919844639,20000141,sA-eth3,up,3013042919791869,netem,1971934,1443,0,0,0,130204,7,2114654,263,0,1894432,268,0
20,3013042939320357,3013042940084531,20002611,sA-eth3,up,3013042939986020,netem,2202686,1597,0,0,0,0,0,2260864,284,0,2115944,282,0
21,3013042959319347,3013042959922410,19998990,sA-eth3,up,3013042959858380,netem,2203478,1609,0,0,0,0,0,2483068,294,0,2116736,294,0
22,3013042979318838,3013042979956011,19999491,sA-eth3,up,3013042979879111,netem,2204138,1619,0,0,0,66,1,2740354,309,0,2117396,304,0
23,3013042999318118,3013042999910741,19999280,sA-eth3,up,3013042999857291,netem,2205194,1635,0,0,0,0,0,3003498,325,0,2118452,320,0
24,3013043019316959,3013043019987113,19998841,sA-eth3,up,3013043019938152,netem,2206184,1650,0,0,0,0,0,3250846,343,0,2119442,335,0
25,3013043039314069,3013043039976873,19997110,sA-eth3,up,3013043039906013,netem,2207306,1667,0,0,0,66,1,3509888,362,0,2120630,353,0
26,3013043059317140,3013043059975064,20003071,sA-eth3,up,3013043059906583,netem,2208428,1684,0,0,0,0,0,3755656,378,0,2121686,369,0
27,3013043079317511,3013043079819353,20000371,sA-eth3,up,3013043079771163,netem,2209418,1699,0,0,0,0,0,4007150,393,0,2122676,384,0
28,3013043099315871,3013043099924934,19998360,sA-eth3,up,3013043099874784,netem,2210342,1713,0,0,0,66,1,4221312,406,0,2123600,398,0
29,3013043119315012,3013043119836835,19999141,sA-eth3,up,3013043119788914,netem,2235514,1743,0,0,0,128690,7,4221444,408,0,2147782,413,0
