poll_iteration,poll_start_ns,poll_end_ns,poll_interval_ns,interface,operstate,t_ns,kind,bytes,packets,drops,overlimits,requeues,backlog_bytes,qlen,rx_bytes,rx_packets,rx_dropped,tx_bytes,tx_packets,tx_dropped
0,3013021624031578,3013021625090554,0,sA-eth3,up,3013021624785082,netem,364,6,0,0,0,0,0,480,6,0,544,8,0
1,3013021644092249,3013021644847373,20060671,sA-eth3,up,3013021644777313,netem,364,6,0,0,0,0,0,480,6,0,544,8,0
2,3013021664089520,3013021664718053,19997271,sA-eth3,up,3013021664645643,netem,578,9,0,0,0,66,1,13948,12,0,758,11,0
3,3013021684087990,3013021684612893,19998470,sA-eth3,up,3013021684555693,netem,1654,25,0,0,0,66,1,232138,27,0,1834,27,0
4,3013021704087191,3013021704580163,19999201,sA-eth3,up,3013021704524983,netem,2710,41,0,0,0,66,1,489556,44,0,2890,43,0
5,3013021724085991,3013021724659684,19998800,sA-eth3,up,3013021724609354,netem,3634,55,0,0,0,66,1,738088,58,0,3814,57,0
6,3013021744086692,3013021744627735,20000701,sA-eth3,up,3013021744577225,netem,4426,67,0,0,0,66,1,1008340,72,0,4672,70,0
7,3013021764086422,3013021764627365,19999730,sA-eth3,up,3013021764576925,netem,5350,81,0,0,0,66,1,1246670,85,0,5530,83,0
8,3013021784086923,3013021784586836,20000501,sA-eth3,up,3013021784535135,netem,6340,96,0,0,0,66,1,1514356,104,0,6586,99,0
9,3013021804086704,3013021804685387,19999781,sA-eth3,up,3013021804603126,netem,7462,113,0,0,0,0,0,1755890,121,0,7642,115,0
10,3013021824086914,3013021824649967,20000210,sA-eth3,up,3013021824592057,netem,8518,129,0,0,0,66,1,2010346,137,0,8698,131,0
11,3013021844087855,3013021844697988,20000941,sA-eth3,up,3013021844633828,netem,9442,143,0,0,0,13716,3,2106758,143,0,9622,145,0
12,3013021864088405,3013021864651288,20000550,sA-eth3,up,3013021864593848,netem,221578,285,0,0,0,28766,2,2107814,159,0,213508,162,0
13,3013021884087996,3013021884653829,19999591,sA-eth3,up,3013021884598849,netem,453220,438,0,0,0,65102,4,2108804,174,0,436042,177,0
14,3013021904086747,3013021904578249,19998751,sA-eth3,up,3013021904525369,netem,700002,601,0,0,0,77214,4,2109794,189,0,696224,192,0
15,3013021924086567,3013021924738931,19999820,sA-eth3,up,3013021924646210,netem,969494,779,0,0,0,65102,4,2110586,201,0,931592,204,0
16,3013021944088038,3013021944711311,20001471,sA-eth3,up,3013021944654331,netem,1225360,948,0,0,0,78728,6,2111510,215,0,1177294,219,0
17,3013021964085348,3013021964649031,19997310,sA-eth3,up,3013021964599611,netem,1470628,1110,0,0,0,86298,5,2112698,233,0,1413058,237,0
18,3013021984085599,3013021984644402,20000251,sA-eth3,up,3013021984594752,netem,1709926,1269,0,0,0,128690,8,2113688,248,0,1642918,253,0
19,3013022004089899,3013022004814783,20004300,sA-eth3,up,3013022004751443,netem,1973362,1443,0,0,0,128690,7,2114744,264,0,1895926,269,0
20,3013022024087860,3013022025032415,19997961,sA-eth3,up,3013022024916695,netem,2202490,1595,0,0,0,0,0,2260954,285,0,2115880,282,0
21,3013022044095720,3013022044951775,20007860,sA-eth3,up,3013022044872455,netem,2203282,1607,0,0,0,0,0,2483158,295,0,2116672,294,0
22,3013022064088881,3013022064752095,19993161,sA-eth3,up,3013022064697254,netem,2203942,1617,0,0,0,0,0,2740444,310,0,2117332,304,0
23,3013022084087342,3013022084666865,19998461,sA-eth3,up,3013022084612675,netem,2204866,1631,0,0,0,132,2,2999178,325,0,2118322,319,0
24,3013022104086822,3013022104662205,19999480,sA-eth3,up,3013022104611675,netem,2205988,1648,0,0,0,0,0,3250936,344,0,2119378,335,0
25,3013022124087263,3013022124741326,20000441,sA-eth3,up,3013022124689386,netem,2207044,1664,0,0,0,132,2,3505458,361,0,2120500,352,0
26,3013022144085233,3013022144722277,19997970,sA-eth3,up,3013022144675977,netem,2208232,1682,0,0,0,0,0,3755636,378,0,2121622,369,0
27,3013022164087954,3013022164591917,20002721,sA-eth3,up,3013022164542016,netem,2209462,1699,0,0,0,66,1,3983896,392,0,2122918,387,0
28,3013022184084855,3013022184554767,19996901,sA-eth3,up,3013022184509957,netem,2210452,1714,0,0,0,66,1,4221292,406,0,2123842,401,0
29,3013022204088345,3013022204768769,20003490,sA-eth3,up,3013022204683808,netem,2235624,1744,0,0,0,128690,7,4221424,408,0,2148024,416,0
30,3013022224086926,3013022224654089,19998581,sA-eth3,up,3013022224596188,netem,2465752,1896,0,0,0,153024,7,4222150,419,0,2368846,427,0
31,3013022244086986,3013022244656839,20000060,sA-eth3,up,3013022244603129,netem,2736868,2076,0,0,0,149886,9,4223008,432,0,2631902,441,0
32,3013022264085497,3013022264632570,19998511,sA-eth3,up,3013022264582150,netem,2974566,2233,0,0,0,190764,11,4223932,446,0,2857266,455,0
33,3013022284086037,3013022284630930,20000540,sA-eth3,up,3013022284582280,netem,3218320,2394,0,0,0,202876,14,4224922,461,0,3091384,470,0
34,3013022304086038,3013022304632231,20000001,sA-eth3,up,3013022304584111,netem,3475790,2565,0,0,0,216502,14,4226110,479,0,3338822,489,0
35,3013022324085678,3013022324621581,19999640,sA-eth3,up,3013022324572891,netem,3731656,2734,0,0,0,211960,13,4227166,495,0,3584590,505,0
36,3013022344061709,3013022344677402,19976031,sA-eth3,up,3013022344599112,netem,3984494,2901,0,0,0,216502,13,4228156,510,0,3827396,520,0
