poll_iteration,poll_start_ns,poll_end_ns,poll_interval_ns,interface,operstate,t_ns,kind,bytes,packets,drops,overlimits,requeues,backlog_bytes,qlen,rx_bytes,rx_packets,rx_dropped,tx_bytes,tx_packets,tx_dropped
0,3012948683280454,3012948684181909,0,sA-eth3,up,3012948684003768,netem,364,6,0,0,0,0,0,566,7,0,544,8,0
1,3012948703345986,3012948704165830,20065532,sA-eth3,up,3012948704078750,netem,364,6,0,0,0,0,0,566,7,0,544,8,0
2,3012948723339637,3012948723991641,19993651,sA-eth3,up,3012948723917120,netem,578,9,0,0,0,132,2,14034,13,0,758,11,0
3,3012948743337438,3012948743921051,19997801,sA-eth3,up,3012948743857571,netem,1634,25,0,0,0,0,0,256906,29,0,1814,27,0
4,3012948763335599,3012948763849752,19998161,sA-eth3,up,3012948763792302,netem,2624,40,0,0,0,66,1,489642,45,0,2804,42,0
5,3012948783336231,3012948783819623,20000632,sA-eth3,up,3012948783766253,netem,3548,54,0,0,0,66,1,738174,59,0,3728,56,0
6,3012948803335842,3012948803812904,19999611,sA-eth3,up,3012948803758954,netem,4492,68,0,0,0,0,0,1008426,73,0,4672,70,0
7,3012948823335743,3012948823805995,19999901,sA-eth3,up,3012948823755525,netem,5350,81,0,0,0,66,1,1246756,86,0,5530,83,0
8,3012948843335034,3012948843808897,19999291,sA-eth3,up,3012948843757156,netem,6406,97,0,0,0,0,0,1514442,105,0,6586,99,0
9,3012948863335485,3012948863920088,20000451,sA-eth3,up,3012948863855828,netem,7462,113,0,0,0,66,1,1755866,121,0,7642,115,0
10,3012948883334236,3012948883942780,19998751,sA-eth3,up,3012948883893270,netem,8670,131,0,0,0,0,0,2020524,138,0,8850,133,0
11,3012948903335817,3012948903954071,20001581,sA-eth3,up,3012948903893871,netem,9728,146,0,0,0,13626,2,2106800,144,0,17214,149,0
12,3012948923336159,3012948923942122,20000342,sA-eth3,up,3012948923888932,netem,221688,286,0,0,0,54504,3,2107790,159,0,213618,163,0
13,3012948943309990,3012948943890773,19973831,sA-eth3,up,3012948943838963,netem,477554,455,0,0,0,40878,3,2108846,175,0,459386,179,0
14,3012948963335301,3012948963802674,20025311,sA-eth3,up,3012948963753563,netem,724336,618,0,0,0,52990,3,2109770,189,0,696334,193,0
15,3012948983335702,3012948983904996,20000401,sA-eth3,up,3012948983856255,netem,969604,780,0,0,0,89326,5,2110562,201,0,931702,205,0
16,3012949003335514,3012949004231238,19999812,sA-eth3,up,3012949004101448,netem,1228498,951,0,0,0,78728,4,2111486,215,0,1180234,219,0
17,3012949023339015,3012949024035339,20003501,sA-eth3,up,3012949023966098,netem,1469224,1110,0,0,0,116578,8,2112476,230,0,1411456,234,0
18,3012949043336206,3012949043914289,19997191,sA-eth3,up,3012949043863429,netem,1732660,1284,0,0,0,104466,7,2113598,247,0,1664530,251,0
19,3012949063334317,3012949064020421,19998111,sA-eth3,up,3012949063964361,netem,1971872,1442,0,0,0,140802,8,2114654,263,0,1894370,267,0
20,3012949083337378,3012949084041442,20003061,sA-eth3,up,3012949083976202,netem,2202514,1595,0,0,0,66,1,2260864,284,0,2115772,280,0
21,3012949103335150,3012949103892243,19997772,sA-eth3,up,3012949103835922,netem,2203306,1607,0,0,0,0,0,2483068,294,0,2116564,292,0
22,3012949123347791,3012949123954024,20012641,sA-eth3,up,3012949123902134,netem,2203966,1617,0,0,0,132,2,2740354,309,0,2117224,302,0
23,3012949143336372,3012949143830725,19988581,sA-eth3,up,3012949143777764,netem,2205022,1633,0,0,0,0,0,3003498,325,0,2118280,318,0
24,3012949163335983,3012949164210188,19999611,sA-eth3,up,3012949164097327,netem,2206012,1648,0,0,0,66,1,3250846,343,0,2119270,333,0
25,3012949183339344,3012949184010838,20003361,sA-eth3,up,3012949183944978,netem,2207200,1666,0,0,0,0,0,3509778,361,0,2120458,351,0
26,3012949203336356,3012949203892689,19997012,sA-eth3,up,3012949203839338,netem,2208256,1682,0,0,0,0,0,3755546,377,0,2121514,367,0
27,3012949223334977,3012949223928560,19998621,sA-eth3,up,3012949223875550,netem,2209246,1697,0,0,0,66,1,4007040,392,0,2122504,382,0
28,3012949243334378,3012949243890291,19999401,sA-eth3,up,3012949243841671,netem,2210236,1712,0,0,0,0,0,4221202,405,0,2123494,397,0
29,3012949263336959,3012949264100823,20002581,sA-eth3,up,3012949264039973,netem,2235342,1741,0,0,0,128800,8,4221334,407,0,2147610,411,0
30,3012949283335570,3012949283838453,19998611,sA-eth3,up,3012949283790483,netem,2465580,1894,0,0,0,152914,6,4222060,418,0,2368542,423,0
31,3012949303335151,3012949303814294,19999581,sA-eth3,up,3012949303767274,netem,2739614,2075,0,0,0,146858,8,4222918,431,0,2631488,436,0
32,3012949323334153,3012949323898446,19999002,sA-eth3,up,3012949323852565,netem,2974284,2230,0,0,0,190764,11,4223842,445,0,2856852,450,0
33,3012949343334884,3012949343821936,20000731,sA-eth3,up,3012949343761486,netem,3218320,2394,0,0,0,202876,14,4224832,460,0,3091252,468,0
34,3012949363335025,3012949364005919,20000141,sA-eth3,up,3012949363960249,netem,3475700,2564,0,0,0,216502,14,4226020,478,0,3338600,486,0
35,3012949383334156,3012949383803879,19999131,sA-eth3,up,3012949383758039,netem,3731566,2733,0,0,0,211960,13,4227076,494,0,3584368,502,0
36,3012949403334407,3012949403907771,20000251,sA-eth3,up,3012949403863000,netem,3984404,2900,0,0,0,216592,14,4228176,510,0,3827174,517,0
37,3012949423335469,3012949423893082,20001062,sA-eth3,up,3012949423833771,netem,4237332,3068,0,0,0,167054,10,4229166,525,0,4070070,533,0
38,3012949443335670,3012949443946503,20000201,sA-eth3,up,3012949443895093,netem,4404584,3182,0,0,0,0,0,4530576,550,0,4230656,546,0
39,3012949463335961,3012949463974425,20000291,sA-eth3,up,3012949463912204,netem,4405310,3193,0,0,0,0,0,4770156,560,0,4231382,557,0
40,3012949483334832,3012949483899475,19998871,sA-eth3,up,3012949483853635,netem,4405970,3203,0,0,0,0,0,5022900,572,0,4232042,567,0
41,3012949503332963,3012949503814806,19998131,sA-eth3,up,3012949503756716,netem,4406696,3214,0,0,0,66,1,5280186,587,0,4232768,578,0
42,3012949523333305,3012949523806177,20000342,sA-eth3,up,3012949523761907,netem,4407620,3228,0,0,0,0,0,5534708,604,0,4233692,592,0
43,3012949543333966,3012949543897239,20000661,sA-eth3,up,3012949543851889,netem,4408544,3242,0,0,0,66,1,5784754,619,0,4234616,606,0
44,3012949563334237,3012949563817550,20000271,sA-eth3,up,3012949563758539,netem,4409402,3255,0,0,0,0,0,6034800,634,0,4235474,619,0
45,3012949583334578,3012949583882531,20000341,sA-eth3,up,3012949583836401,netem,4410392,3270,0,0,0,66,1,6282082,651,0,4236464,634,0
46,3012949603335539,3012949604068883,20000961,sA-eth3,up,3012949603960953,netem,4411382,3285,0,0,0,66,1,6334988,656,0,4237454,649,0
47,3012949623338751,3012949624039124,20003212,sA-eth3,up,3012949623964724,netem,4509160,3362,0,0,0,242240,11,6335318,661,0,4331272,666,0
48,3012949643337222,3012949643876815,19998471,sA-eth3,up,3012949643810734,netem,4751400,3522,0,0,0,249810,10,6336044,672,0,4563678,677,0
49,3012949663335513,3012949663880336,19998291,sA-eth3,up,3012949663828066,netem,5001210,3687,0,0,0,261922,12,6336864,684,0,4803258,687,0
50,3012949683335014,3012949683825067,19999501,sA-eth3,up,3012949683776877,netem,5238908,3844,0,0,0,304314,17,6337590,695,0,5031320,698,0
51,3012949703338545,3012949703904568,20003531,sA-eth3,up,3012949703836548,netem,5506886,4021,0,0,0,289174,18,6338514,709,0,5288606,713,0
52,3012949723337916,3012949723894670,19999371,sA-eth3,up,3012949723834659,netem,5744584,4178,0,0,0,327024,19,6339438,723,0,5516932,728,0
53,3012949743335978,3012949743830870,19998062,sA-eth3,up,3012949743776320,netem,6004992,4350,0,0,0,317940,19,6340428,738,0,5771388,744,0
54,3012949763335019,3012949763905982,19999041,sA-eth3,up,3012949763855222,netem,6248746,4511,0,0,0,330052,21,6341352,752,0,6001096,758,0
55,3012949783333930,3012949783999604,19998911,sA-eth3,up,3012949783952783,netem,6503098,4679,0,0,0,101952,8,6342408,768,0,6245416,774,0
56,3012949803336721,3012949803977195,20002791,sA-eth3,up,3012949803912085,netem,6605380,4752,0,0,0,0,0,6797636,798,0,6343738,787,0
57,3012949823335182,3012949823901816,19998461,sA-eth3,up,3012949823849015,netem,6606040,4762,0,0,0,0,0,7041560,808,0,6344398,797,0
58,3012949843335674,3012949843935497,20000492,sA-eth3,up,3012949843884497,netem,6606926,4775,0,0,0,66,1,7275348,819,0,6345350,811,0
59,3012949863317845,3012949863949668,19982171,sA-eth3,up,3012949863875118,netem,6607586,4785,0,0,0,66,1,7538426,833,0,6345944,820,0
60,3012949883335706,3012949884014370,20017861,sA-eth3,up,3012949883954529,netem,6608312,4796,0,0,0,66,1,7789986,849,0,6346670,831,0
61,3012949903352997,3012949904208522,20017291,sA-eth3,up,3012949904140012,netem,6609302,4811,0,0,0,160,2,8053262,867,0,6347820,848,0
62,3012949923335558,3012949923927662,19982561,sA-eth3,up,3012949923874481,netem,6610254,4825,0,0,0,0,0,8309166,883,0,6348612,860,0
63,3012949943334840,3012949943901703,19999282,sA-eth3,up,3012949943851732,netem,6611310,4841,0,0,0,66,1,8447966,895,0,6349668,876,0
64,3012949963333571,3012949963900374,19998731,sA-eth3,up,3012949963852154,netem,6612366,4857,0,0,0,132,2,8447966,895,0,6350790,893,0
65,3012949983338272,3012949984067606,20004701,sA-eth3,up,3012949983992566,netem,6734170,4947,0,0,0,378500,17,8448362,901,0,6490812,908,0
