poll_iteration,poll_start_ns,poll_end_ns,poll_interval_ns,interface,operstate,t_ns,kind,bytes,packets,drops,overlimits,requeues,backlog_bytes,qlen,rx_bytes,rx_packets,rx_dropped,tx_bytes,tx_packets,tx_dropped
0,660769777466,660771766027,0,sA-eth3,up,660771551015,netem,450,7,0,0,0,0,0,480,6,0,716,10,0
1,660789866206,660793349577,20088740,sA-eth3,up,660793153505,netem,450,7,0,0,0,0,0,480,6,0,716,10,0
2,660809869358,660811813940,20003152,sA-eth3,up,660811618638,netem,450,7,0,0,0,0,0,480,6,0,716,10,0
3,660829867209,660834279600,19997851,sA-eth3,up,660834038717,netem,614,9,0,0,0,0,0,534,7,0,880,12,0
4,660851046644,660854565204,21179435,sA-eth3,up,660854302811,netem,724,10,0,0,0,0,0,534,7,0,990,13,0
5,660869874770,660873346730,18828126,sA-eth3,up,660873157428,netem,724,10,0,0,0,0,0,534,7,0,990,13,0
6,660889871341,660892069197,19996571,sA-eth3,up,660891802714,netem,872,12,0,0,0,0,0,728,10,0,1138,15,0
7,660909873022,660911831014,20001681,sA-eth3,up,660911617302,netem,872,12,0,0,0,0,0,728,10,0,1138,15,0
8,660929870613,660932033038,19997591,sA-eth3,up,660931796015,netem,1012,14,0,0,0,0,0,802,11,0,1278,17,0
9,660949859284,660952496404,19988671,sA-eth3,up,660952045179,netem,1012,14,0,0,0,0,0,802,11,0,1278,17,0
10,660969870584,660972233432,20011300,sA-eth3,up,660972037490,netem,1276,18,0,0,0,66,1,43280,18,0,1542,21,0
11,660991041869,660993143433,21171285,sA-eth3,up,660992932140,netem,2134,31,0,0,0,66,1,443984,34,0,2466,35,0
12,661009868016,661011930270,18826147,sA-eth3,up,661011675227,netem,2596,38,0,0,0,66,1,683498,43,0,2862,41,0
13,661031036650,661033062283,21168634,sA-eth3,up,661032838781,netem,3190,47,0,0,0,0,0,792692,52,0,3456,50,0
14,661049865168,661052295416,18828518,sA-eth3,up,661052095634,netem,4444,66,0,0,0,66,1,1018188,68,0,4710,69,0
15,661069865479,661071929133,20000311,sA-eth3,up,661071675780,netem,5566,83,0,0,0,66,1,1265536,86,0,5898,87,0
16,661089867810,661091796202,20002331,sA-eth3,up,661091602730,netem,6754,101,0,0,0,66,1,1493994,103,0,7086,105,0
17,661109859750,661111766362,19991940,sA-eth3,up,661111580040,netem,7942,119,0,0,0,132,2,1738512,122,0,8274,123,0
18,661129866432,661131803894,20006682,sA-eth3,up,661131588132,netem,9196,138,0,0,0,66,1,1971380,140,0,9462,141,0
19,661149878344,661152254521,20011912,sA-eth3,up,661152031498,netem,10186,153,0,0,0,13716,3,2107284,152,0,10542,157,0
20,661169881006,661173015982,20002662,sA-eth3,up,661172751489,netem,210124,286,0,0,0,186222,5,2108384,168,0,202668,172,0
21,661189860808,661192108874,19979802,sA-eth3,up,661191841791,netem,472046,459,0,0,0,151400,4,2108846,175,0,453634,179,0
22,661209810699,661212043445,19949891,sA-eth3,up,661211847183,netem,699146,609,0,0,0,90840,5,2109242,181,0,671230,185,0
23,661229858912,661232173049,20048213,sA-eth3,up,661231909646,netem,971666,789,0,0,0,45420,3,2110496,200,0,933124,204,0
24,661249872885,661252397193,20013973,sA-eth3,up,661252169051,netem,1218534,953,0,0,0,56018,4,2111750,219,0,1184968,224,0
25,661269841656,661271770839,19968771,sA-eth3,up,661271573046,netem,1472886,1121,0,0,0,27252,2,2112872,236,0,1414940,242,0
26,661289867809,661291936543,20026153,sA-eth3,up,661291758611,netem,1721182,1285,0,0,0,48448,3,2113994,253,0,1653666,261,0
27,661309817530,661311811393,19949721,sA-eth3,up,661311617012,netem,1971212,1452,0,0,0,40878,3,2115182,271,0,1893994,281,0
28,661332665486,661334741699,22847956,sA-eth3,up,661334545697,netem,2203368,1606,0,0,0,0,0,2116370,289,0,2117174,299,0
29,661349884186,661352655947,17218700,sA-eth3,up,661352385565,netem,2203368,1606,0,0,0,0,0,2116370,289,0,2117174,299,0
30,661369841937,661371906922,19957751,sA-eth3,up,661371711209,netem,2203454,1607,0,0,0,0,0,2116370,289,0,2117260,300,0
31,661389857269,661392119466,20015332,sA-eth3,up,661391884543,netem,2203652,1610,0,0,0,66,1,2189190,295,0,2117458,303,0
32,661409862942,661412041818,20005673,sA-eth3,up,661411847695,netem,2204510,1623,0,0,0,0,0,2436538,313,0,2118316,316,0
33,661429883125,661432426234,20020183,sA-eth3,up,661432206311,netem,2204510,1623,0,0,0,0,0,2459990,317,0,2118316,316,0
34,661449861626,661452027021,19978501,sA-eth3,up,661451820089,netem,2204576,1624,0,0,0,0,0,2503628,320,0,2118382,317,0
35,661469859109,661472263117,19997483,sA-eth3,up,661472000863,netem,2204576,1624,0,0,0,0,0,2655012,332,0,2118382,317,0
36,661489882620,661492464001,20023511,sA-eth3,up,661492259488,netem,2204642,1625,0,0,0,0,0,2710300,336,0,2118448,318,0
37,661510085025,661512498763,20202405,sA-eth3,up,661512204261,netem,2204642,1625,0,0,0,0,0,2764140,340,0,2118448,318,0
38,661529860965,661531991170,19775940,sA-eth3,up,661531759127,netem,2333500,1712,0,0,0,0,0,2765654,341,0,2242290,329,0
39,661549858937,661551953862,19997972,sA-eth3,up,661551772379,netem,2335476,1720,0,0,0,66,1,2905322,351,0,2244332,338,0
40,661569859989,661571927043,20001052,sA-eth3,up,661571743311,netem,2494054,1841,0,0,0,15206,2,3144840,382,0,2396772,366,0
41,661589864662,661591912786,20004673,sA-eth3,up,661591708123,netem,2735836,2016,0,0,0,47132,7,3377184,414,0,2629116,398,0
42,661609858443,661612285321,19993781,sA-eth3,up,661612087389,netem,2991376,2202,0,0,0,36534,6,3640134,449,0,2886472,436,0
43,661629880846,661632022021,20022403,sA-eth3,up,661631773997,netem,3242374,2385,0,0,0,41010,5,3887156,484,0,3120462,471,0
44,661649813887,661652219975,19933041,sA-eth3,up,661651912142,netem,3485736,2562,0,0,0,74384,7,4118250,519,0,3366168,508,0
45,661669887350,661672249758,20073463,sA-eth3,up,661672017785,netem,3742658,2747,0,0,0,68130,5,4231712,542,0,3596932,538,0
