round_id,period,version,route_plan_fingerprint,routing_policy,duration_ns,duration_s,bytes_completed,rank_count,checksum_errors,version_errors,fabric_steps_sent,fabric_steps_received,fabric_bytes_sent,fabric_bytes_received,orchestrator_command_start_ns,orchestrator_command_end_ns,orchestrator_duration_ns
0,warmup,0,6b25bbb30fb02f988d2e6e22ba2dc06d94a582024c487c8e3e27c9bb1843c83e,balanced_active_active,1461819191,1.461819191,50331648,4,0,0,"{""A"":12,""B"":12}","{""A"":12,""B"":12}","{""A"":25165824,""B"":25165824}","{""A"":25165824,""B"":25165824}",686974109644,688438424078,1464314434
1,baseline,0,6b25bbb30fb02f988d2e6e22ba2dc06d94a582024c487c8e3e27c9bb1843c83e,balanced_active_active,1450710275,1.450710275,50331648,4,0,0,"{""A"":12,""B"":12}","{""A"":12,""B"":12}","{""A"":25165824,""B"":25165824}","{""A"":25165824,""B"":25165824}",688438620392,689892616839,1453996447
2,baseline,0,6b25bbb30fb02f988d2e6e22ba2dc06d94a582024c487c8e3e27c9bb1843c83e,balanced_active_active,1439679388,1.439679388,50331648,4,0,0,"{""A"":12,""B"":12}","{""A"":12,""B"":12}","{""A"":25165824,""B"":25165824}","{""A"":25165824,""B"":25165824}",689892819352,691334141503,1441322151
3,post_fault,1,1bfb1dcf1307edd96378fc48925c69ede943200d20aa6b7442cd956c46b3d3f5,localized_reroute,2169535012,2.169535012,50331648,4,0,0,"{""A"":9,""B"":15}","{""A"":9,""B"":15}","{""A"":18874368,""B"":31457280}","{""A"":18874368,""B"":31457280}",691349569029,693520924395,2171355366
4,post_fault,1,1bfb1dcf1307edd96378fc48925c69ede943200d20aa6b7442cd956c46b3d3f5,localized_reroute,2188131753,2.188131753,50331648,4,0,0,"{""A"":9,""B"":15}","{""A"":9,""B"":15}","{""A"":18874368,""B"":31457280}","{""A"":18874368,""B"":31457280}",693521198089,695710573248,2189375159
5,post_fault,1,1bfb1dcf1307edd96378fc48925c69ede943200d20aa6b7442cd956c46b3d3f5,localized_reroute,2305753236,2.305753236,50331648,4,0,0,"{""A"":9,""B"":15}","{""A"":9,""B"":15}","{""A"":18874368,""B"":31457280}","{""A"":18874368,""B"":31457280}",695710735260,698017444959,2306709699
6,post_fault,1,1bfb1dcf1307edd96378fc48925c69ede943200d20aa6b7442cd956c46b3d3f5,localized_reroute,2159293311,2.159293311,50331648,4,0,0,"{""A"":9,""B"":15}","{""A"":9,""B"":15}","{""A"":18874368,""B"":31457280}","{""A"":18874368,""B"":31457280}",698017569081,700177880655,2160311574
7,post_fault,1,1bfb1dcf1307edd96378fc48925c69ede943200d20aa6b7442cd956c46b3d3f5,localized_reroute,2154336351,2.154336351,50331648,4,0,0,"{""A"":9,""B"":15}","{""A"":9,""B"":15}","{""A"":18874368,""B"":31457280}","{""A"":18874368,""B"":31457280}",700178048717,702333494544,2155445827
8,post_fault,1,1bfb1dcf1307edd96378fc48925c69ede943200d20aa6b7442cd956c46b3d3f5,localized_reroute,2135545476,2.135545476,50331648,4,0,0,"{""A"":9,""B"":15}","{""A"":9,""B"":15}","{""A"":18874368,""B"":31457280}","{""A"":18874368,""B"":31457280}",702333672757,704471014859,2137342102
9,post_fault,1,1bfb1dcf1307edd96378fc48925c69ede943200d20aa6b7442cd956c46b3d3f5,localized_reroute,2121037815,2.121037815,50331648,4,0,0,"{""A"":9,""B"":15}","{""A"":9,""B"":15}","{""A"":18874368,""B"":31457280}","{""A"":18874368,""B"":31457280}",704471195382,706593378552,2122183170
10,post_fault,1,1bfb1dcf1307edd96378fc48925c69ede943200d20aa6b7442cd956c46b3d3f5,localized_reroute,2275016703,2.275016703,50331648,4,0,0,"{""A"":9,""B"":15}","{""A"":9,""B"":15}","{""A"":18874368,""B"":31457280}","{""A"":18874368,""B"":31457280}",706593511524,708869617673,2276106149
