poll_iteration,poll_start_ns,poll_end_ns,poll_interval_ns,interface,operstate,t_ns,kind,bytes,packets,drops,overlimits,requeues,backlog_bytes,qlen,rx_bytes,rx_packets,rx_dropped,tx_bytes,tx_packets,tx_dropped
0,638941776228,638947571556,0,sA-eth3,up,638947332713,netem,646,9,0,0,0,0,0,480,6,0,826,11,0
1,638961868758,638963946559,20092530,sA-eth3,up,638963750496,netem,732,10,0,0,0,0,0,480,6,0,912,12,0
2,638981873068,638983926168,20004310,sA-eth3,up,638983731046,netem,732,10,0,0,0,0,0,480,6,0,912,12,0
3,639005050659,639010151209,23177591,sA-eth3,up,639009887997,netem,732,10,0,0,0,0,0,480,6,0,912,12,0
4,639021894676,639027136398,16844017,sA-eth3,up,639026914836,netem,822,11,0,0,0,0,0,480,6,0,1002,13,0
5,639043048166,639045271409,21153490,sA-eth3,up,639045069517,netem,896,12,0,0,0,0,0,534,7,0,1076,14,0
6,639061870675,639065370820,18822509,sA-eth3,up,639065163457,netem,970,13,0,0,0,0,0,674,9,0,1150,15,0
7,639081869553,639084202307,19998878,sA-eth3,up,639083931254,netem,970,13,0,0,0,0,0,674,9,0,1150,15,0
8,639103039085,639105018424,21169532,sA-eth3,up,639104815023,netem,1110,15,0,0,0,0,0,748,10,0,1290,17,0
9,639122254586,639125063834,19215501,sA-eth3,up,639124855112,netem,1110,15,0,0,0,0,0,748,10,0,1290,17,0
10,639143096015,639145686821,20841429,sA-eth3,up,639145441488,netem,1836,26,0,0,0,66,1,227782,27,0,2082,29,0
11,639161867953,639163906614,18771938,sA-eth3,up,639163724582,netem,2430,35,0,0,0,0,0,531008,36,0,2610,37,0
12,639181856454,639183754553,19988501,sA-eth3,up,639183554351,netem,2892,42,0,0,0,66,1,748736,44,0,3138,45,0
13,639201854285,639203825345,19997831,sA-eth3,up,639203607922,netem,3948,58,0,0,0,66,1,858128,56,0,4128,60,0
14,639221855716,639223875436,20001431,sA-eth3,up,639223653204,netem,5070,75,0,0,0,66,1,1105542,75,0,5250,77,0
15,639241855306,639243984537,19999590,sA-eth3,up,639243785686,netem,6258,93,0,0,0,0,0,1360196,94,0,6438,95,0
16,639261852687,639263809757,19997381,sA-eth3,up,639263601475,netem,7380,110,0,0,0,66,1,1590168,112,0,7560,112,0
17,639281858748,639283974619,20006061,sA-eth3,up,639283794157,netem,8720,130,0,0,0,66,1,1837516,130,0,8900,132,0
18,639301887559,639303932220,20028811,sA-eth3,up,639303732577,netem,9908,148,0,0,0,0,0,2071832,148,0,10088,150,0
19,639321812610,639324066193,19925051,sA-eth3,up,639323845170,netem,92150,209,0,0,0,77214,3,2107890,161,0,89360,166,0
20,639341855180,639347495617,20042570,sA-eth3,up,639347241574,netem,331362,367,0,0,0,202876,7,2108660,172,0,382516,176,0
21,639361874502,639364088364,20019322,sA-eth3,up,639363870582,netem,585714,535,0,0,0,171082,6,2109122,179,0,562530,183,0
22,639381877962,639384398747,20003460,sA-eth3,up,639384150246,netem,847636,708,0,0,0,30280,3,2109914,191,0,821066,195,0
23,639401877603,639404249897,19999641,sA-eth3,up,639404032105,netem,1097446,873,0,0,0,30280,2,2111102,209,0,1053934,213,0
24,639421861743,639424321929,19984140,sA-eth3,up,639424133557,netem,1347256,1038,0,0,0,37850,3,2112224,226,0,1293976,230,0
25,639441864665,639444134128,20002922,sA-eth3,up,639443861345,netem,1589496,1198,0,0,0,52990,4,2113478,245,0,1541390,249,0
