poll_iteration,poll_start_ns,poll_end_ns,poll_interval_ns,interface,operstate,t_ns,kind,bytes,packets,drops,overlimits,requeues,backlog_bytes,qlen,rx_bytes,rx_packets,rx_dropped,tx_bytes,tx_packets,tx_dropped
0,807423079295,807425895284,0,sA-eth3,up,807425255583,netem,364,6,0,0,0,0,0,480,6,0,740,10,0
1,807443194723,807445211308,20115428,sA-eth3,up,807444982914,netem,364,6,0,0,0,0,0,480,6,0,740,10,0
2,807463161398,807465027160,19966675,sA-eth3,up,807464832197,netem,450,7,0,0,0,0,0,480,6,0,826,11,0
3,807483158595,807485312611,19997197,sA-eth3,up,807485133629,netem,644,10,0,0,0,0,0,628,8,0,1020,14,0
4,807503173260,807505057973,20014665,sA-eth3,up,807504866749,netem,644,10,0,0,0,0,0,628,8,0,1020,14,0
5,807523166456,807525106429,19993196,sA-eth3,up,807524910936,netem,718,11,0,0,0,0,0,768,10,0,1094,15,0
6,807543162441,807545073024,19995985,sA-eth3,up,807544852650,netem,804,12,0,0,0,0,0,768,10,0,1180,16,0
7,807563175166,807565273603,20012725,sA-eth3,up,807565044059,netem,1814,27,0,0,0,0,0,298996,30,0,2190,31,0
8,807583161602,807584998344,19986436,sA-eth3,up,807584819031,netem,2452,36,0,0,0,0,0,589124,38,0,2828,40,0
9,807603159158,807605301565,19997556,sA-eth3,up,807605120862,netem,2848,42,0,0,0,66,1,741560,45,0,3290,47,0
10,807623158353,807625581995,19999195,sA-eth3,up,807625403682,netem,4146,61,0,0,0,0,0,952642,61,0,4522,65,0
11,807643158240,807645064782,19999887,sA-eth3,up,807644853629,netem,5268,78,0,0,0,66,1,1197160,80,0,5710,83,0
12,807663162545,807665036647,20004305,sA-eth3,up,807664843344,netem,6522,97,0,0,0,66,1,1431410,97,0,6898,101,0
13,807683165851,807685138914,20003306,sA-eth3,up,807684932911,netem,7644,114,0,0,0,66,1,1658486,115,0,8020,118,0
14,807703162146,807705086300,19996295,sA-eth3,up,807704887286,netem,8832,132,0,0,0,0,0,1898528,132,0,9208,136,0
15,807723160562,807725070875,19998416,sA-eth3,up,807724867461,netem,10020,150,0,0,0,132,2,2107162,149,0,10396,154,0
