poll_iteration,poll_start_ns,poll_end_ns,poll_interval_ns,interface,operstate,t_ns,kind,bytes,packets,drops,overlimits,requeues,backlog_bytes,qlen,rx_bytes,rx_packets,rx_dropped,tx_bytes,tx_packets,tx_dropped
0,774391366038,774393970211,0,sA-eth3,up,774393580954,netem,364,6,0,0,0,0,0,480,6,0,544,8,0
1,774411458699,774413677886,20092661,sA-eth3,up,774413488053,netem,364,6,0,0,0,0,0,480,6,0,544,8,0
2,774431459129,774433341080,20000430,sA-eth3,up,774433163887,netem,364,6,0,0,0,0,0,480,6,0,544,8,0
3,774451446130,774453566234,19987001,sA-eth3,up,774453386391,netem,558,9,0,0,0,0,0,628,8,0,738,11,0
4,774471461109,774473412962,20014979,sA-eth3,up,774473236109,netem,558,9,0,0,0,0,0,628,8,0,738,11,0
5,774491447250,774493643735,19986141,sA-eth3,up,774493465623,netem,632,10,0,0,0,0,0,878,11,0,812,12,0
6,774511474859,774513758438,20027609,sA-eth3,up,774513534264,netem,632,10,0,0,0,0,0,14132,14,0,812,12,0
7,774531495440,774533733737,20020581,sA-eth3,up,774533534284,netem,1622,25,0,0,0,0,0,371462,31,0,1802,27,0
8,774551457069,774553350231,19961629,sA-eth3,up,774553171257,netem,2018,31,0,0,0,66,1,512446,39,0,2198,33,0
9,774571449970,774573787378,19992901,sA-eth3,up,774573567855,netem,3404,52,0,0,0,66,1,722232,58,0,3584,54,0
10,774591447309,774593416512,19997339,sA-eth3,up,774593234039,netem,4526,69,0,0,0,66,1,960892,76,0,4706,71,0
11,774611468710,774613474613,20021401,sA-eth3,up,774613289790,netem,5648,86,0,0,0,66,1,1208306,95,0,5894,89,0
12,774631457869,774633383591,19989159,sA-eth3,up,774633203339,netem,6836,104,0,0,0,66,1,1448348,112,0,7016,106,0
13,774651455140,774653392302,19997271,sA-eth3,up,774653213499,netem,8024,122,0,0,0,66,1,1695762,131,0,8204,124,0
14,774671449040,774673354271,19993900,sA-eth3,up,774673167718,netem,9388,142,0,0,0,66,1,1928630,149,0,9634,145,0
15,774691458740,774694469309,20009700,sA-eth3,up,774694202124,netem,10642,161,0,0,0,0,0,2108106,163,0,10822,163,0
16,774711458729,774713615795,19999989,sA-eth3,up,774713409941,netem,174354,271,0,0,0,146858,5,2109030,177,0,168264,178,0
17,774731454680,774733402012,19995951,sA-eth3,up,774733214558,netem,434762,443,0,0,0,143830,5,2109558,185,0,417848,186,0
18,774751448170,774753344481,19993490,sA-eth3,up,774753158937,netem,684572,608,0,0,0,112036,4,2110152,194,0,657362,195,0
19,774771443419,774773319390,19995249,sA-eth3,up,774773141467,netem,925298,767,0,0,0,43906,3,2111274,211,0,906092,212,0
20,774791445620,774793289239,20002201,sA-eth3,up,774793115597,netem,1176622,933,0,0,0,52990,3,2112396,228,0,1130206,229,0
21,774811445469,774813303570,19999849,sA-eth3,up,774813133177,netem,1434002,1103,0,0,0,45420,3,2113584,246,0,1377554,247,0
22,774831440200,774833214979,19994731,sA-eth3,up,774833047506,netem,1683812,1268,0,0,0,52990,4,2114772,264,0,1617662,265,0
23,774851447639,774853251319,20007439,sA-eth3,up,774853077807,netem,1926162,1429,0,0,0,45420,3,2116026,283,0,1865186,285,0
24,774871446990,774873307200,19999351,sA-eth3,up,774873124037,netem,2183542,1599,0,0,0,20196,2,2117214,301,0,2098054,303,0
25,774891445659,774893837229,19998669,sA-eth3,up,774893661786,netem,2204464,1624,0,0,0,66,1,2328386,319,0,2118184,316,0
26,774911440930,774913452513,19995271,sA-eth3,up,774913287300,netem,2205696,1642,0,0,0,66,1,2559740,336,0,2119416,334,0
27,774931445730,774933514634,20004800,sA-eth3,up,774933340671,netem,2206884,1660,0,0,0,0,0,2815842,355,0,2120604,352,0
28,774951444330,774953658476,19998600,sA-eth3,up,774953488873,netem,2208072,1678,0,0,0,66,1,3048710,373,0,2121792,370,0
29,774971443259,774973417242,19998929,sA-eth3,up,774973247869,netem,2209432,1698,0,0,0,66,1,3288818,391,0,2123152,390,0
30,774991442130,774993386581,19998871,sA-eth3,up,774993220589,netem,2210620,1716,0,0,0,66,1,3536232,410,0,2124340,408,0
31,775011444719,775013352171,20002589,sA-eth3,up,775013182668,netem,2211808,1734,0,0,0,66,1,3761794,428,0,2125594,427,0
32,775031446640,775033346390,20001921,sA-eth3,up,775033174548,netem,2213082,1753,0,0,0,132,2,4009208,446,0,2126868,446,0
33,775051457459,775053490973,20010819,sA-eth3,up,775053303890,netem,2214336,1772,0,0,0,66,1,4225082,463,0,2128056,464,0
34,775071442209,775073767387,19984750,sA-eth3,up,775073603036,netem,2402360,1900,0,0,0,30280,2,4225940,476,0,2308688,480,0
35,775091444970,775093300211,20002761,sA-eth3,up,775093130798,netem,2638544,2056,0,0,0,42392,3,4227062,493,0,2535698,497,0
36,775111444650,775113360742,19999680,sA-eth3,up,775113188459,netem,2888354,2221,0,0,0,59046,4,4228250,511,0,2775806,515,0
37,775131448419,775133816888,20003769,sA-eth3,up,775133642826,netem,3145734,2391,0,0,0,56018,4,4229504,530,0,3023220,534,0
38,775151445970,775153650097,19997551,sA-eth3,up,775153484994,netem,3387974,2551,0,0,0,60560,4,4230692,548,0,3270634,553,0
39,775171446521,775173363123,20000551,sA-eth3,up,775173193019,netem,3637784,2716,0,0,0,52990,4,4231814,565,0,3510742,571,0
40,775191447361,775193734249,20000840,sA-eth3,up,775193568377,netem,3895164,2886,0,0,0,37850,3,4233068,584,0,3743610,589,0
41,775211447132,775213394744,19999771,sA-eth3,up,775213219951,netem,4137404,3046,0,0,0,45420,3,4234256,603,0,3991024,608,0
42,775231447792,775233363594,20000660,sA-eth3,up,775233196522,netem,4384186,3209,0,0,0,23224,2,4235444,620,0,4228236,626,0
43,775251446583,775253690340,19998791,sA-eth3,up,775253505877,netem,4408202,3237,0,0,0,66,1,4446550,638,0,4236782,639,0
44,775271449034,775273343575,20002451,sA-eth3,up,775273172592,netem,4409324,3254,0,0,0,132,2,4698308,656,0,4238036,658,0
45,775291443134,775293609350,19994100,sA-eth3,up,775293431087,netem,4410578,3273,0,0,0,66,1,4934072,674,0,4239224,676,0
46,775311443245,775313841474,20000111,sA-eth3,up,775313657161,netem,4411832,3292,0,0,0,66,1,5184382,693,0,4240412,694,0
47,775331443575,775333729823,20000330,sA-eth3,up,775333553120,netem,4413086,3311,0,0,0,0,0,5424490,711,0,4241666,713,0
48,775351448396,775353330817,20004821,sA-eth3,up,775353160814,netem,4414208,3328,0,0,0,66,1,5654462,729,0,4242854,731,0
49,775371453526,775374391685,20005130,sA-eth3,up,775374174791,netem,4415462,3347,0,0,0,0,0,5901876,748,0,4244042,749,0
50,775391452667,775393906587,19999141,sA-eth3,up,775393700224,netem,4416584,3364,0,0,0,66,1,6141984,766,0,4245164,766,0
51,775411443647,775413358209,19990980,sA-eth3,up,775413163915,netem,4417640,3380,0,0,0,66,1,6343312,782,0,4246286,783,0
