poll_iteration,poll_start_ns,poll_end_ns,poll_interval_ns,interface,operstate,t_ns,kind,bytes,packets,drops,overlimits,requeues,backlog_bytes,qlen,rx_bytes,rx_packets,rx_dropped,tx_bytes,tx_packets,tx_dropped
0,875964704234,875967938834,0,sA-eth3,up,875967035338,netem,450,7,0,0,0,0,0,570,7,0,630,9,0
1,875984811414,875986843010,20107180,sA-eth3,up,875986629127,netem,450,7,0,0,0,0,0,680,8,0,630,9,0
2,876004788210,876006558243,19976796,sA-eth3,up,876006388840,netem,450,7,0,0,0,0,0,680,8,0,630,9,0
3,876024812398,876026942738,20024188,sA-eth3,up,876026758874,netem,664,10,0,0,0,0,0,894,11,0,844,12,0
4,876044787766,876046661770,19975368,sA-eth3,up,876046484917,netem,664,10,0,0,0,0,0,894,11,0,844,12,0
5,876064798143,876067149467,20010377,sA-eth3,up,876066504446,netem,664,10,0,0,0,0,0,894,11,0,844,12,0
6,876084789321,876086851380,19991178,sA-eth3,up,876086647995,netem,664,10,0,0,0,0,0,14148,14,0,844,12,0
7,876104784428,876106873847,19995107,sA-eth3,up,876106695354,netem,1720,26,0,0,0,0,0,371544,32,0,1900,28,0
8,876124784456,876126754013,20000028,sA-eth3,up,876126560018,netem,2116,32,0,0,0,66,1,596512,40,0,2296,34,0
9,876144786464,876146792700,20002008,sA-eth3,up,876146600087,netem,2710,41,0,0,0,66,1,766456,48,0,2890,43,0
10,876164784302,876167190896,19997838,sA-eth3,up,876166985733,netem,3898,59,0,0,0,0,0,964440,64,0,4078,61,0
11,876184780869,876186763755,19996567,sA-eth3,up,876186563832,netem,5020,76,0,0,0,66,1,1205996,82,0,5266,79,0
12,876204786197,876207068949,20005328,sA-eth3,up,876206876375,netem,6274,95,0,0,0,66,1,1450514,101,0,6520,98,0
13,876224795015,876226813082,20008818,sA-eth3,up,876226623368,netem,7638,115,0,0,0,0,0,1690622,119,0,7818,117,0
14,876244785123,876246650877,19990108,sA-eth3,up,876246482124,netem,8760,132,0,0,0,66,1,1920594,137,0,9006,135,0
15,876264782371,876266581513,19997248,sA-eth3,up,876266414890,netem,10080,152,0,0,0,0,0,2107376,152,0,10260,154,0
16,876284780158,876286596232,19997787,sA-eth3,up,876286428669,netem,173682,261,0,0,0,146858,5,2108300,166,0,167592,168,0
17,876304779406,876307133939,19999248,sA-eth3,up,876306939276,netem,434090,433,0,0,0,181680,6,2108828,174,0,417176,176,0
18,876324784334,876326971933,20004928,sA-eth3,up,876326790070,netem,683900,598,0,0,0,116578,5,2109422,183,0,656690,185,0
19,876344786511,876346884870,20002177,sA-eth3,up,876346716838,netem,933710,763,0,0,0,40878,3,2110544,200,0,896732,202,0
20,876364782799,876366990560,19996288,sA-eth3,up,876366812906,netem,1191090,933,0,0,0,30280,2,2111732,218,0,1144080,220,0
21,876384789918,876386909357,20007119,sA-eth3,up,876386720712,netem,1433330,1093,0,0,0,45420,3,2112920,236,0,1376948,238,0
22,876404787415,876407090068,19997497,sA-eth3,up,876406896774,netem,1692224,1264,0,0,0,28766,2,2114108,254,0,1625744,256,0
23,876424794033,876427187507,20006618,sA-eth3,up,876426980443,netem,1934464,1424,0,0,0,43906,3,2115296,272,0,1873092,274,0
24,876444788510,876446756217,19994477,sA-eth3,up,876446564433,netem,2182760,1588,0,0,0,20196,2,2116352,288,0,2097140,290,0
25,876464787599,876467707892,19999089,sA-eth3,up,876467514358,netem,2203772,1614,0,0,0,66,1,2342004,306,0,2117360,304,0
26,876484787046,876486862924,19999447,sA-eth3,up,876486678041,netem,2204894,1631,0,0,0,132,2,2564670,323,0,2118548,322,0
27,876504785034,876506892453,19997988,sA-eth3,up,876506717639,netem,2206148,1650,0,0,0,66,1,2820772,342,0,2119736,340,0
28,876524779992,876526983282,19994958,sA-eth3,up,876526766018,netem,2207336,1668,0,0,0,66,1,3047848,360,0,2120990,359,0
29,876544792100,876546930969,20012108,sA-eth3,up,876546755366,netem,2208610,1687,0,0,0,132,2,3287956,378,0,2122264,378,0
30,876564794987,876566892207,20002887,sA-eth3,up,876566720293,netem,2209864,1706,0,0,0,66,1,3520824,396,0,2123452,396,0
31,876584783955,876586890064,19988968,sA-eth3,up,876586720311,netem,2211052,1724,0,0,0,66,1,3768238,415,0,2124706,415,0
32,876604784092,876607173227,20000137,sA-eth3,up,876606984263,netem,2212416,1744,0,0,0,66,1,4022978,435,0,2126070,435,0
33,876624803231,876626954471,20019139,sA-eth3,up,876626701996,netem,2213604,1762,0,0,0,66,1,4224306,451,0,2127192,452,0
34,876644791849,876647058251,19988618,sA-eth3,up,876646857866,netem,2348638,1855,0,0,0,51476,4,4224966,461,0,2274454,467,0
35,876664790266,876666593130,19998417,sA-eth3,up,876666423437,netem,2604504,2024,0,0,0,68130,5,4225956,476,0,2502846,483,0
