poll_iteration,poll_start_ns,poll_end_ns,poll_interval_ns,interface,operstate,t_ns,kind,bytes,packets,drops,overlimits,requeues,backlog_bytes,qlen,rx_bytes,rx_packets,rx_dropped,tx_bytes,tx_packets,tx_dropped
0,1097812548659,1097815759740,0,sA-eth3,up,1097814784726,netem,364,6,0,0,0,0,0,566,7,0,544,8,0
1,1097832641008,1097834701875,20092349,sA-eth3,up,1097834492784,netem,364,6,0,0,0,0,0,676,8,0,544,8,0
2,1097852629467,1097854484642,19988459,sA-eth3,up,1097854297002,netem,364,6,0,0,0,0,0,676,8,0,544,8,0
3,1097872624735,1097874887023,19995268,sA-eth3,up,1097874707993,netem,622,9,0,0,0,0,0,870,11,0,802,11,0
4,1097892633845,1097894845201,20009110,sA-eth3,up,1097894676141,netem,708,10,0,0,0,0,0,870,11,0,888,12,0
5,1097912622643,1097914888511,19988798,sA-eth3,up,1097914718840,netem,848,12,0,0,0,0,0,944,12,0,1028,14,0
6,1097932632072,1097934686349,20009429,sA-eth3,up,1097934501008,netem,848,12,0,0,0,66,1,14198,15,0,1028,14,0
7,1097952630410,1097954662547,19998338,sA-eth3,up,1097954485957,netem,1924,28,0,0,0,0,0,371528,32,0,2104,30,0
8,1097972624139,1097974601287,19993729,sA-eth3,up,1097974434985,netem,2386,35,0,0,0,0,0,512512,40,0,2566,37,0
9,1097992624768,1097994547695,20000629,sA-eth3,up,1097994378945,netem,3858,57,0,0,0,66,1,733862,59,0,4038,59,0
10,1098012625396,1098014596834,20000628,sA-eth3,up,1098014421843,netem,4980,74,0,0,0,66,1,975484,78,0,5226,77,0
11,1098032624976,1098034544703,19999580,sA-eth3,up,1098034364741,netem,6102,91,0,0,0,66,1,1208286,95,0,6348,94,0
12,1098052624255,1098054482131,19999279,sA-eth3,up,1098054316091,netem,7290,109,0,0,0,66,1,1455700,114,0,7470,111,0
13,1098072624423,1098074551160,20000168,sA-eth3,up,1098074388830,netem,8412,126,0,0,0,66,1,1710354,133,0,8658,129,0
14,1098092625493,1098094930260,20001070,sA-eth3,up,1098094766810,netem,9600,144,0,0,0,66,1,1943222,151,0,9846,147,0
15,1098112624571,1098115050650,19999078,sA-eth3,up,1098114761898,netem,10788,162,0,0,0,0,0,2108152,164,0,10968,164,0
16,1098132642040,1098134685428,20017469,sA-eth3,up,1098134503266,netem,174390,271,0,0,0,146858,4,2109142,179,0,203118,179,0
17,1098152627421,1098154561617,19985381,sA-eth3,up,1098154368366,netem,434798,443,0,0,0,94068,7,2109538,185,0,417818,185,0
18,1098172635800,1098174566356,20008379,sA-eth3,up,1098174391226,netem,690864,614,0,0,0,34822,3,2110924,206,0,680110,209,0
