poll_iteration,poll_start_ns,poll_end_ns,poll_interval_ns,interface,operstate,t_ns,kind,bytes,packets,drops,overlimits,requeues,backlog_bytes,qlen,rx_bytes,rx_packets,rx_dropped,tx_bytes,tx_packets,tx_dropped
0,545842562119,545845702686,0,sA-eth3,up,545845019188,netem,536,8,0,0,0,0,0,676,8,0,716,10,0
1,545862669634,545865606512,20107515,sA-eth3,up,545865397882,netem,536,8,0,0,0,0,0,676,8,0,716,10,0
2,545882646420,545884876008,19976786,sA-eth3,up,545884689458,netem,536,8,0,0,0,0,0,762,9,0,716,10,0
3,545902643145,545904822173,19996725,sA-eth3,up,545904629653,netem,730,11,0,0,0,0,0,910,11,0,910,13,0
4,545922649580,545924710659,20006435,sA-eth3,up,545924516988,netem,730,11,0,0,0,0,0,910,11,0,910,13,0
5,545942649825,545944767444,20000245,sA-eth3,up,545944572824,netem,730,11,0,0,0,74,1,1050,13,0,984,14,0
6,545962643490,545965184688,19993665,sA-eth3,up,545964907369,netem,890,13,0,0,0,0,0,1050,13,0,1070,15,0
7,545982654626,545985184663,20011136,sA-eth3,up,545984960494,netem,1924,28,0,0,0,0,0,299168,32,0,2104,30,0
8,546002643711,546004867589,19989085,sA-eth3,up,546004683059,netem,2386,35,0,0,0,66,1,545856,40,0,2566,37,0
9,546022646826,546024967664,20003115,sA-eth3,up,546024783145,netem,2980,44,0,0,0,66,1,754896,48,0,3160,46,0
10,546042653431,546045336879,20006605,sA-eth3,up,546045127569,netem,4102,61,0,0,0,66,1,926816,64,0,4282,63,0
11,546062642797,546065076365,19989366,sA-eth3,up,546064852674,netem,5224,78,0,0,0,66,1,1163962,81,0,5470,81,0
12,546082641331,546084948479,19998534,sA-eth3,up,546084773211,netem,6412,96,0,0,0,132,2,1411376,100,0,6658,99,0
13,546102638907,546104889144,19997576,sA-eth3,up,546104712956,netem,7776,116,0,0,0,66,1,1658790,119,0,7956,118,0
14,546122647951,546124921221,20009044,sA-eth3,up,546124736070,netem,8964,134,0,0,0,66,1,1884418,137,0,9210,137,0
15,546142649219,546144980787,20001268,sA-eth3,up,546144803897,netem,10086,151,0,0,0,132,2,2107598,155,0,10332,154,0
16,546162649747,546164764786,20000528,sA-eth3,up,546164579536,netem,137616,240,0,0,0,109008,5,2108390,167,0,132978,169,0
17,546182649486,546185166505,19999739,sA-eth3,up,546184926924,netem,396510,411,0,0,0,181680,6,2108984,176,0,381180,178,0
18,546202656154,546204981553,20006668,sA-eth3,up,546204792073,netem,631180,566,0,0,0,158970,5,2109512,184,0,606148,186,0
19,546222647333,546224795851,19991179,sA-eth3,up,546224614492,netem,906728,748,0,0,0,36336,2,2110634,201,0,870806,203,0
20,546242644940,546245502680,19997607,sA-eth3,up,546245316649,netem,1161080,916,0,0,0,33308,2,2111888,220,0,1115324,222,0
21,546262643829,546265176478,19998889,sA-eth3,up,546264973459,netem,1410890,1081,0,0,0,37850,3,2113010,237,0,1355366,239,0
22,546282660178,546285027786,20016349,sA-eth3,up,546284829416,netem,1653130,1241,0,0,0,45420,3,2114132,254,0,1588234,257,0
23,546302645946,546305202125,19985768,sA-eth3,up,546305019445,netem,1910510,1411,0,0,0,30280,2,2115320,272,0,1835582,275,0
24,546322644614,546325141253,19998668,sA-eth3,up,546324920574,netem,2151236,1570,0,0,0,43906,4,2116442,289,0,2066936,292,0
25,546342645253,546344716242,20000639,sA-eth3,up,546344503142,netem,2203886,1615,0,0,0,0,0,2279830,307,0,2117606,307,0
26,546362639932,546364475721,19994679,sA-eth3,up,546364298630,netem,2205094,1633,0,0,0,66,1,2524282,325,0,2118814,325,0
27,546382638490,546384507269,19998558,sA-eth3,up,546384321569,netem,2206216,1650,0,0,0,66,1,2764390,343,0,2120002,343,0
28,546402640699,546404435458,20002209,sA-eth3,up,546404251287,netem,2207404,1668,0,0,0,66,1,3011804,362,0,2121190,361,0
29,546422635576,546424410966,19994877,sA-eth3,up,546424231835,netem,2208658,1687,0,0,0,66,1,3259218,381,0,2122378,379,0
30,546442654785,546444514254,20019209,sA-eth3,up,546444316934,netem,2209846,1705,0,0,0,66,1,3499326,399,0,2123632,398,0
31,546462652594,546464515732,19997809,sA-eth3,up,546464336972,netem,2211034,1723,0,0,0,66,1,3732194,417,0,2124754,415,0
32,546482644662,546484449061,19992068,sA-eth3,up,546484264662,netem,2212222,1741,0,0,0,0,0,3979608,436,0,2125942,433,0
33,546502654691,546505041850,20010029,sA-eth3,up,546504847609,netem,2213476,1760,0,0,0,66,1,4216820,454,0,2127196,452,0
34,546522639139,546524650618,19984448,sA-eth3,up,546524420318,netem,2327446,1841,0,0,0,30280,2,4225168,464,0,2251290,467,0
35,546542652527,546544745686,20013388,sA-eth3,up,546544539706,netem,2584826,2011,0,0,0,30280,2,4226290,481,0,2484092,484,0
36,546562643686,546564967925,19991159,sA-eth3,up,546564791685,netem,2842406,2183,0,0,0,30280,2,4227478,499,0,2731640,504,0
37,546582640795,546584615613,19997109,sA-eth3,up,546584402273,netem,3083132,2342,0,0,0,46934,4,4228600,516,0,2962994,521,0
38,546602643302,546604879141,20002507,sA-eth3,up,546604707352,netem,3337484,2510,0,0,0,39364,3,4229854,535,0,3207512,540,0
39,546622647521,546624831489,20004219,sA-eth3,up,546624646300,netem,3587294,2675,0,0,0,46934,4,4231108,554,0,3452030,559,0
40,546642606359,546644776348,19958838,sA-eth3,up,546644596658,netem,3826506,2833,0,0,0,56018,4,4232296,572,0,3692138,577,0
41,546662643958,546664760967,20037599,sA-eth3,up,546664589587,netem,4083886,3003,0,0,0,48448,3,4233484,590,0,3925006,595,0
42,546682648617,546684724435,20004659,sA-eth3,up,546684554805,netem,4333696,3168,0,0,0,37850,3,4234738,609,0,4172420,614,0
43,546702649015,546704825964,20000398,sA-eth3,up,546704643594,netem,4407410,3225,0,0,0,66,1,4376274,625,0,4235990,627,0
44,546722652493,546724764952,20003478,sA-eth3,up,546724505141,netem,4408532,3242,0,0,0,66,1,4620726,643,0,4237178,645,0
45,546742648582,546744617520,19996089,sA-eth3,up,546744408071,netem,4409654,3259,0,0,0,66,1,4868140,662,0,4238234,662,0
46,546762642709,546764572929,19994127,sA-eth3,up,546764391079,netem,4410908,3278,0,0,0,0,0,5101008,680,0,4239488,680,0
47,546782677688,546784801857,20034979,sA-eth3,up,546784578898,netem,4412096,3296,0,0,0,66,1,5341116,698,0,4240742,699,0
48,546802641726,546806574934,19964038,sA-eth3,up,546806388435,netem,4413736,3320,0,0,0,66,1,5603076,718,0,4242382,723,0
49,546822642215,546824834674,20000489,sA-eth3,up,546824658844,netem,4414858,3337,0,0,0,0,0,5835944,736,0,4243438,739,0
50,546842638494,546845202972,19996279,sA-eth3,up,546844975332,netem,4416112,3356,0,0,0,0,0,6070260,754,0,4244692,758,0
