poll_iteration,poll_start_ns,poll_end_ns,poll_interval_ns,interface,operstate,t_ns,kind,bytes,packets,drops,overlimits,requeues,backlog_bytes,qlen,rx_bytes,rx_packets,rx_dropped,tx_bytes,tx_packets,tx_dropped
0,32612994273733,32612997481988,0,sA-eth3,up,32612996658750,netem,564,8,0,0,0,0,0,480,6,0,744,10,0
1,32613014360754,32613016354136,20087021,sA-eth3,up,32613016168113,netem,650,9,0,0,0,0,0,480,6,0,830,11,0
2,32613034372804,32613036334656,20012050,sA-eth3,up,32613036142624,netem,650,9,0,0,0,0,0,480,6,0,830,11,0
3,32613054356794,32613056500198,19983990,sA-eth3,up,32613056321846,netem,864,12,0,0,0,0,0,694,9,0,1044,14,0
4,32613074363374,32613076199594,20006580,sA-eth3,up,32613076026112,netem,864,12,0,0,0,0,0,694,9,0,1044,14,0
5,32613094363265,32613096233685,19999891,sA-eth3,up,32613096053223,netem,864,12,0,0,0,0,0,694,9,0,1044,14,0
6,32613114371925,32613116475007,20008660,sA-eth3,up,32613116241516,netem,864,12,0,0,0,66,1,13948,12,0,1044,14,0
7,32613134354795,32613136576730,19982870,sA-eth3,up,32613136382637,netem,1920,28,0,0,0,0,0,371344,30,0,2100,30,0
8,32613154348834,32613156382827,19994039,sA-eth3,up,32613156211316,netem,2382,35,0,0,0,0,0,647124,40,0,2562,37,0
9,32613174350685,32613176227325,20001851,sA-eth3,up,32613176060514,netem,2976,44,0,0,0,0,0,773562,47,0,3156,46,0
10,32613194372336,32613196403178,20021651,sA-eth3,up,32613196204565,netem,4164,62,0,0,0,66,1,974442,63,0,4410,65,0
11,32613214353795,32613216336797,19981459,sA-eth3,up,32613216146965,netem,5352,80,0,0,0,132,2,1202966,81,0,5598,83,0
12,32613234351046,32613236209036,19997251,sA-eth3,up,32613236029253,netem,6540,98,0,0,0,66,1,1447418,99,0,6720,100,0
13,32613254355595,32613256232096,20004549,sA-eth3,up,32613256046224,netem,7662,115,0,0,0,66,1,1687526,117,0,7908,118,0
14,32613274366086,32613276300807,20010491,sA-eth3,up,32613276119705,netem,8850,133,0,0,0,66,1,1934940,136,0,9030,135,0
15,32613294353666,32613296770672,19987580,sA-eth3,up,32613296585760,netem,9972,150,0,0,0,0,0,2107220,150,0,10152,152,0
16,32613314348206,32613316473560,19994540,sA-eth3,up,32613316305028,netem,173574,259,0,0,0,146858,5,2108210,166,0,202368,168,0
