poll_iteration,poll_start_ns,poll_end_ns,poll_interval_ns,interface,operstate,t_ns,kind,bytes,packets,drops,overlimits,requeues,backlog_bytes,qlen,rx_bytes,rx_packets,rx_dropped,tx_bytes,tx_packets,tx_dropped
0,32786241622983,32786244852169,0,sA-eth3,up,32786244193211,netem,474,7,0,0,0,0,0,590,7,0,654,9,0
1,32786261739017,32786263873740,20116034,sA-eth3,up,32786263597947,netem,474,7,0,0,0,0,0,590,7,0,654,9,0
2,32786281728029,32786283839753,19989012,sA-eth3,up,32786283573600,netem,474,7,0,0,0,0,0,590,7,0,654,9,0
3,32786301701822,32786303607213,19973793,sA-eth3,up,32786303414021,netem,622,9,0,0,0,0,0,784,10,0,802,11,0
4,32786321734235,32786323805207,20032413,sA-eth3,up,32786323576695,netem,622,9,0,0,0,0,0,784,10,0,802,11,0
5,32786341712257,32786343740949,19978022,sA-eth3,up,32786343515297,netem,696,10,0,0,0,0,0,858,11,0,876,12,0
6,32786361715130,32786363737632,20002873,sA-eth3,up,32786363534960,netem,762,11,0,0,0,0,0,858,11,0,942,13,0
7,32786381703702,32786383668794,19988572,sA-eth3,up,32786383481842,netem,1686,25,0,0,0,66,1,298910,29,0,1866,27,0
8,32786401702204,32786403586636,19998502,sA-eth3,up,32786403399364,netem,2148,32,0,0,0,0,0,505120,38,0,2328,34,0
9,32786421699597,32786423655699,19997393,sA-eth3,up,32786423484228,netem,3468,52,0,0,0,66,1,698892,56,0,3648,54,0
10,32786441700310,32786444054536,20000713,sA-eth3,up,32786443852084,netem,4590,69,0,0,0,66,1,946306,75,0,4836,72,0
11,32786461696413,32786463795196,19996103,sA-eth3,up,32786463374171,netem,5712,86,0,0,0,66,1,1186348,92,0,5958,89,0
12,32786481717686,32786483682238,20021273,sA-eth3,up,32786483490145,netem,6900,104,0,0,0,66,1,1430866,111,0,7080,106,0
13,32786501714219,32786504061134,19996533,sA-eth3,up,32786503861402,netem,8088,122,0,0,0,66,1,1681176,130,0,8268,124,0
14,32786521721821,32786526627726,20007602,sA-eth3,up,32786526417663,netem,9342,141,0,0,0,132,2,1957682,151,0,9588,144,0
15,32786541710344,32786543625225,19988523,sA-eth3,up,32786543432673,netem,10398,157,0,0,0,132,2,2108066,163,0,10644,160,0
16,32786561710526,32786563935561,20000182,sA-eth3,up,32786563753299,netem,174132,268,0,0,0,72672,2,2108990,177,0,168042,175,0
17,32786581712359,32786583884193,20001833,sA-eth3,up,32786583706121,netem,396690,415,0,0,0,124148,5,2109452,184,0,417560,182,0
18,32786601714111,32786603743944,20001752,sA-eth3,up,32786603555642,netem,675266,599,0,0,0,30280,2,2110706,203,0,649046,201,0
19,32786621718133,32786624117691,20004022,sA-eth3,up,32786623853728,netem,926590,765,0,0,0,30280,2,2111828,220,0,890602,219,0
20,32786641715897,32786643643238,19997764,sA-eth3,up,32786643446886,netem,1173372,928,0,0,0,40878,3,2112950,237,0,1127748,236,0
