poll_iteration,poll_start_ns,poll_end_ns,poll_interval_ns,interface,operstate,t_ns,kind,bytes,packets,drops,overlimits,requeues,backlog_bytes,qlen,rx_bytes,rx_packets,rx_dropped,tx_bytes,tx_packets,tx_dropped
0,33268771231700,33268774485337,0,sA-eth3,up,33268773495535,netem,454,7,0,0,0,0,0,480,6,0,634,9,0
0,33268771231700,33268776632760,0,sB-eth3,up,33268776436237,netem,540,8,0,0,0,0,0,370,5,0,630,9,0
1,33268791322213,33268793324735,20090513,sA-eth3,up,33268793140723,netem,454,7,0,0,0,0,0,480,6,0,634,9,0
1,33268791322213,33268795111835,20090513,sB-eth3,up,33268794927502,netem,540,8,0,0,0,0,0,370,5,0,630,9,0
2,33268811313334,33268813209406,19991121,sA-eth3,up,33268813029464,netem,454,7,0,0,0,0,0,480,6,0,634,9,0
2,33268811313334,33268814894983,19991121,sB-eth3,up,33268814727232,netem,540,8,0,0,0,0,0,370,5,0,630,9,0
3,33268831314536,33268833480360,20001202,sA-eth3,up,33268833284077,netem,602,9,0,0,0,0,0,674,9,0,782,11,0
3,33268831314536,33268835361700,20001202,sB-eth3,up,33268835200088,netem,614,9,0,0,0,0,0,510,7,0,704,10,0
4,33268851316328,33268853362200,20001792,sA-eth3,up,33268853188897,netem,602,9,0,0,0,0,0,674,9,0,782,11,0
4,33268851316328,33268855221411,20001792,sB-eth3,up,33268855064429,netem,614,9,0,0,0,0,0,510,7,0,704,10,0
5,33268871316079,33268873848697,19999751,sA-eth3,up,33268873601924,netem,742,11,0,0,0,0,0,748,10,0,922,13,0
5,33268871316079,33268875858979,19999751,sB-eth3,up,33268875613886,netem,754,11,0,0,0,0,0,584,8,0,844,12,0
6,33268891365661,33268893390623,20049582,sA-eth3,up,33268893181011,netem,742,11,0,0,0,0,0,748,10,0,922,13,0
6,33268891365661,33268895248024,20049582,sB-eth3,up,33268895070082,netem,1040,14,0,0,0,0,0,780,10,0,1130,15,0
7,33268911319572,33268913535897,19953911,sA-eth3,up,33268913323804,netem,1204,18,0,0,0,0,0,101410,21,0,1384,20,0
7,33268911319572,33268915652020,19953911,sB-eth3,up,33268915478599,netem,51092,48,0,0,0,31794,3,1394,19,0,58220,24,0
8,33268931317464,33268933347786,19997892,sA-eth3,up,33268933146503,netem,1930,29,0,0,0,0,0,443930,33,0,2110,31,0
8,33268931317464,33268935314698,19997892,sB-eth3,up,33268935147696,netem,273650,195,0,0,0,189250,5,2120,30,0,263048,34,0
9,33268951315195,33268953444299,19997731,sA-eth3,up,33268953246617,netem,2326,35,0,0,0,66,1,697792,40,0,2572,38,0
9,33268951315195,33268955487722,19997731,sB-eth3,up,33268955311359,netem,547684,376,0,0,0,149886,7,2582,37,0,534418,43,0
10,33268971324937,33268973303388,20009742,sA-eth3,up,33268973084276,netem,2986,45,0,0,0,132,2,785200,48,0,3232,48,0
10,33268971324937,33268975309201,20009742,sB-eth3,up,33268975118949,netem,765700,520,0,0,0,75700,6,3242,47,0,771036,52,0
11,33268991571511,33268993678054,20246574,sA-eth3,up,33268993421151,netem,4240,64,0,0,0,66,1,1041302,67,0,4420,66,0
11,33268991571511,33268996189432,20246574,sB-eth3,up,33268995997130,netem,1053360,710,0,0,0,30280,2,4628,68,0,1011342,73,0
12,33269011329449,33269013341722,19757938,sA-eth3,up,33269013164480,netem,5428,82,0,0,0,66,1,1285754,85,0,5608,84,0
12,33269011329449,33269015353744,19757938,sB-eth3,up,33269015191473,netem,1285002,863,0,0,0,40878,3,5816,86,0,1248554,91,0
13,33269031321761,33269033261743,19992312,sA-eth3,up,33269033085410,netem,6616,100,0,0,0,66,1,1512830,103,0,6862,103,0
13,33269031321761,33269035315865,19992312,sB-eth3,up,33269035129353,netem,1545410,1035,0,0,0,27252,2,7004,104,0,1484318,109,0
14,33269051307153,33269053212354,19985392,sA-eth3,up,33269053039002,netem,7804,118,0,0,0,66,1,1767418,121,0,7984,120,0
14,33269051307153,33269055222236,19985392,sB-eth3,up,33269055061814,netem,1787650,1195,0,0,0,30280,2,8126,122,0,1717186,127,0
15,33269071307654,33269073120984,20000501,sA-eth3,up,33269072934243,netem,8992,136,0,0,0,66,1,2000286,139,0,9172,138,0
15,33269071307654,33269075020895,20000501,sB-eth3,up,33269074845873,netem,2037460,1360,0,0,0,22710,2,9380,140,0,1957294,145,0
