poll_iteration,poll_start_ns,poll_end_ns,poll_interval_ns,interface,operstate,t_ns,kind,bytes,packets,drops,overlimits,requeues,backlog_bytes,qlen,rx_bytes,rx_packets,rx_dropped,tx_bytes,tx_packets,tx_dropped
0,33172009736697,33172012534419,0,sA-eth3,up,33172012043563,netem,364,6,0,0,0,0,0,570,7,0,630,9,0
0,33172009736697,33172014577561,0,sB-eth3,up,33172014382889,netem,364,6,0,0,0,0,0,456,6,0,454,7,0
1,33172029829550,33172031644431,20092853,sA-eth3,up,33172031472728,netem,450,7,0,0,0,0,0,570,7,0,716,10,0
1,33172029829550,33172033617152,20092853,sB-eth3,up,33172033457571,netem,364,6,0,0,0,0,0,456,6,0,454,7,0
2,33172049826851,33172051687733,19997301,sA-eth3,up,33172051519120,netem,536,8,0,0,0,0,0,570,7,0,802,11,0
2,33172049826851,33172053589123,19997301,sB-eth3,up,33172053428492,netem,364,6,0,0,0,0,0,456,6,0,454,7,0
3,33172069847414,33172072280580,20020563,sA-eth3,up,33172071998027,netem,750,11,0,0,0,0,0,894,11,0,1016,14,0
3,33172069847414,33172074309074,20020563,sB-eth3,up,33172074091571,netem,578,9,0,0,0,0,0,670,9,0,668,10,0
4,33172089839436,33172091814748,19992022,sA-eth3,up,33172091588335,netem,750,11,0,0,0,0,0,894,11,0,1016,14,0
4,33172089839436,33172093756198,19992022,sB-eth3,up,33172093568437,netem,578,9,0,0,0,0,0,670,9,0,668,10,0
5,33172109830557,33172112331845,19991121,sA-eth3,up,33172111962880,netem,750,11,0,0,0,0,0,894,11,0,1016,14,0
5,33172109830557,33172114380807,19991121,sB-eth3,up,33172114119994,netem,578,9,0,0,0,0,0,670,9,0,668,10,0
6,33172129846799,33172132118204,20016242,sA-eth3,up,33172131856351,netem,750,11,0,0,0,0,0,14148,14,0,1016,14,0
6,33172129846799,33172134021805,20016242,sB-eth3,up,33172133834773,netem,14490,21,0,0,0,15140,2,1064,14,0,14118,15,0
7,33172149822610,33172151773022,19975811,sA-eth3,up,33172151584299,netem,1740,26,0,0,0,0,0,371478,31,0,2006,29,0
7,33172149822610,33172153870694,19975811,sB-eth3,up,33172153704993,netem,237048,168,0,0,0,187736,5,1922,27,0,227832,28,0
8,33172169815642,33172171761903,19993032,sA-eth3,up,33172171588561,netem,2136,32,0,0,0,66,1,512462,39,0,2402,35,0
8,33172169815642,33172173830146,19993032,sB-eth3,up,33172173554333,netem,462634,317,0,0,0,78728,7,2384,34,0,480246,35,0
9,33172189826914,33172191827976,20011272,sA-eth3,up,33172191643864,netem,3456,52,0,0,0,66,1,730784,56,0,3722,55,0
9,33172189826914,33172193574105,20011272,sB-eth3,up,33172193369103,netem,733640,496,0,0,0,62074,4,3704,54,0,704558,55,0
10,33172209821235,33172211802687,19994321,sA-eth3,up,33172211585025,netem,4644,70,0,0,0,0,0,972406,75,0,4910,73,0
10,33172209821235,33172213586437,19994321,sB-eth3,up,33172213416215,netem,984964,662,0,0,0,48448,3,4892,72,0,960660,74,0
11,33172229823157,33172231734157,20001922,sA-eth3,up,33172231558376,netem,5832,88,0,0,0,66,1,1211066,93,0,6164,92,0
11,33172229823157,33172233986292,20001922,sB-eth3,up,33172233825081,netem,1242344,832,0,0,0,48448,3,6146,91,0,1193528,92,0
12,33172249816819,33172251811801,19993662,sA-eth3,up,33172251630008,netem,7086,107,0,0,0,66,1,1451174,111,0,7352,110,0
12,33172249816819,33172253718772,19993662,sB-eth3,up,33172253561440,netem,1492154,997,0,0,0,37850,3,7334,109,0,1433636,110,0
13,33172269818370,33172271729641,20001551,sA-eth3,up,33172271562460,netem,8274,125,0,0,0,66,1,1681146,129,0,8540,128,0
13,33172269818370,33172273931296,20001551,sB-eth3,up,33172273771824,netem,1734394,1157,0,0,0,30280,3,8588,128,0,1681050,129,0
14,33172289816192,33172291807244,19997822,sA-eth3,up,33172291636692,netem,9548,144,0,0,0,66,1,1928560,148,0,9880,148,0
14,33172289816192,33172293661185,19997822,sB-eth3,up,33172293504053,netem,1991864,1328,0,0,0,30366,3,9710,145,0,1913942,147,0
15,33172309823373,33172311842506,20007181,sA-eth3,up,33172311588773,netem,10802,163,0,0,0,0,0,2108036,162,0,11068,166,0
15,33172309823373,33172313588755,20007181,sB-eth3,up,33172313414284,netem,2193826,1463,0,0,0,0,0,23888,162,0,2107984,162,0
16,33172329841666,33172332150931,20018293,sA-eth3,up,33172331951699,netem,210740,296,0,0,0,110522,3,2109026,177,0,203218,181,0
16,33172329841666,33172333960151,20018293,sB-eth3,up,33172333787119,netem,2194816,1478,0,0,0,0,0,381218,179,0,2108974,177,0
17,33172349820718,33172351753978,19979052,sA-eth3,up,33172351574307,netem,434812,444,0,0,0,93868,5,2109422,183,0,417918,187,0
17,33172349820718,33172354083455,19979052,sB-eth3,up,33172353879912,netem,2195278,1485,0,0,0,0,0,522202,187,0,2109436,184,0
18,33172369845279,33172372384787,20024561,sA-eth3,up,33172372146814,netem,707332,624,0,0,0,36336,2,2110808,204,0,679944,208,0
18,33172369845279,33172374453350,20024561,sB-eth3,up,33172374280218,netem,2196598,1505,0,0,0,0,0,759480,206,0,2110756,204,0
19,33172389832030,33172391810642,19986751,sA-eth3,up,33172391617380,netem,942002,779,0,0,0,52990,4,2111930,221,0,919986,225,0
19,33172389832030,33172393587902,19986751,sB-eth3,up,33172393417100,netem,2197720,1522,0,0,0,132,2,982146,223,0,2111878,221,0
20,33172409817082,33172411711933,19985052,sA-eth3,up,33172411486061,netem,1199382,949,0,0,0,45420,3,2113118,239,0,1152854,243,0
20,33172409817082,33172413619284,19985052,sB-eth3,up,33172413444343,netem,2199060,1542,0,0,0,0,0,1232456,242,0,2113218,241,0
21,33172429815103,33172431685065,19998021,sA-eth3,up,33172431501343,netem,1449192,1114,0,0,0,37850,3,2114306,258,0,1400268,262,0
21,33172429815103,33172434027700,19998021,sB-eth3,up,33172433800317,netem,2200314,1561,0,0,0,0,0,1482766,261,0,2114472,260,0
22,33172449821455,33172451827598,20006352,sA-eth3,up,33172451592835,netem,1691432,1274,0,0,0,52990,4,2115560,276,0,1640376,280,0
22,33172449821455,33172453725249,20006352,sB-eth3,up,33172453513786,netem,2201436,1578,0,0,0,132,2,1705432,278,0,2115660,278,0
23,33172469831368,33172471878480,20009913,sA-eth3,up,33172471643377,netem,1949032,1446,0,0,0,45420,3,2116748,294,0,1873464,300,0
23,33172469831368,33172473666980,20009913,sB-eth3,up,33172473457007,netem,2202956,1600,0,0,0,66,1,1952846,297,0,2117114,299,0
24,33172489831009,33172491820871,19999641,sA-eth3,up,33172491592638,netem,2203898,1615,0,0,0,0,0,2118002,313,0,2118430,319,0
24,33172489831009,33172493547760,19999641,sB-eth3,up,33172493353358,netem,2204144,1618,0,0,0,0,0,2117776,310,0,2118302,317,0
25,33172509817990,33172512103876,19986981,sA-eth3,up,33172511906363,netem,2204756,1628,0,0,0,66,1,2343588,330,0,2119288,332,0
25,33172509817990,33172513952636,19986981,sB-eth3,up,33172513757914,netem,2407110,1753,0,0,0,52990,3,2118832,326,0,2329342,333,0
26,33172529818682,33172531775634,20000692,sA-eth3,up,33172531592792,netem,2205944,1646,0,0,0,66,1,2586592,348,0,2120476,350,0
26,33172529818682,33172533868527,20000692,sB-eth3,up,33172533699495,netem,2658434,1919,0,0,0,56018,4,2120110,345,0,2569450,351,0
27,33172549819114,33172552225381,20000432,sA-eth3,up,33172552016478,netem,2207132,1664,0,0,0,132,2,2828214,367,0,2121664,369,0
27,33172549819114,33172554099061,20000432,sB-eth3,up,33172553895300,netem,2915814,2089,0,0,0,48448,3,2121298,363,0,2802318,369,0
28,33172569825715,33172571783377,20006601,sA-eth3,up,33172571609036,netem,2208386,1683,0,0,0,0,0,3066874,385,0,2122918,387,0
28,33172569825715,33172573888161,20006601,sB-eth3,up,33172573728359,netem,3165624,2254,0,0,0,56018,4,2122552,382,0,3049732,388,0
29,33172589817806,33172591779228,19992091,sA-eth3,up,33172591608847,netem,2209574,1701,0,0,0,66,1,3306982,403,0,2124106,405,0
29,33172589817806,33172593717470,19992091,sB-eth3,up,33172593561748,netem,3407864,2414,0,0,0,52990,4,2123674,399,0,3289840,406,0
30,33172609820799,33172611710190,20002993,sA-eth3,up,33172611541508,netem,2210762,1719,0,0,0,66,1,3551500,422,0,2125294,423,0
30,33172609820799,33172613958824,20002993,sB-eth3,up,33172613800804,netem,3665330,2585,0,0,0,45420,3,2124796,416,0,3522794,425,0
31,33172629829321,33172631808963,20008522,sA-eth3,up,33172631636131,netem,2212016,1738,0,0,0,0,0,3784368,440,0,2126548,442,0
31,33172629829321,33172633758614,20008522,sB-eth3,up,33172633600532,netem,3915140,2750,0,0,0,52990,4,2126050,435,0,3770208,444,0
32,33172649820782,33172652080847,19991461,sA-eth3,up,33172651878935,netem,2213204,1756,0,0,0,66,1,4024476,458,0,2127802,461,0
32,33172649820782,33172653887877,19991461,sB-eth3,up,33172653723066,netem,4172520,2920,0,0,0,52990,4,2127238,453,0,4010316,462,0
33,33172669818394,33172671743646,19997612,sA-eth3,up,33172671574173,netem,2214392,1774,0,0,0,132,2,4225804,474,0,2128990,479,0
33,33172669818394,33172673526165,19997612,sB-eth3,up,33172673336503,netem,4397106,3069,0,0,0,0,0,2128360,470,0,4226190,479,0
34,33172689820535,33172691845817,20002141,sA-eth3,up,33172691660056,netem,2384182,1889,0,0,0,49962,3,4226662,488,0,2309556,494,0
34,33172689820535,33172694230425,20002141,sB-eth3,up,33172693975312,netem,4398030,3083,0,0,0,66,1,2368492,488,0,4227114,493,0
35,33172709828577,33172712186563,20008042,sA-eth3,up,33172711988711,netem,2638534,2057,0,0,0,45420,3,4227916,506,0,2551112,512,0
35,33172709828577,33172714071634,20008042,sB-eth3,up,33172713894273,netem,4399152,3100,0,0,0,0,0,2601360,506,0,4228236,510,0
36,33172729820660,33172731786480,19992083,sA-eth3,up,33172731616489,netem,2888344,2222,0,0,0,52990,4,4229038,523,0,2776674,529,0
