poll_iteration,poll_start_ns,poll_end_ns,poll_interval_ns,interface,operstate,t_ns,kind,bytes,packets,drops,overlimits,requeues,backlog_bytes,qlen,rx_bytes,rx_packets,rx_dropped,tx_bytes,tx_packets,tx_dropped
0,33730893515538,33730896110407,0,sA-eth3,up,33730895799993,netem,454,7,0,0,0,0,0,480,6,0,634,9,0
0,33730893515538,33730898074998,0,sB-eth3,up,33730897871876,netem,450,7,0,0,0,0,0,460,6,0,630,9,0
1,33730913610470,33730915504042,20094932,sA-eth3,up,33730915321729,netem,454,7,0,0,0,110,1,480,6,0,744,10,0
1,33730913610470,33730917188680,20094932,sB-eth3,up,33730917030768,netem,450,7,0,0,0,0,0,460,6,0,630,9,0
2,33730933601092,33730935402691,19990622,sA-eth3,up,33730935226679,netem,564,8,0,0,0,0,0,480,6,0,744,10,0
2,33730933601092,33730937141501,19990622,sB-eth3,up,33730936932108,netem,450,7,0,0,0,0,0,460,6,0,630,9,0
3,33730953600952,33730955495164,19999860,sA-eth3,up,33730955312171,netem,778,11,0,0,0,0,0,694,9,0,958,13,0
3,33730953600952,33730957293073,19999860,sB-eth3,up,33730957084911,netem,860,12,0,0,0,0,0,870,11,0,1040,14,0
4,33730973599374,33730975473624,19998422,sA-eth3,up,33730975245262,netem,1438,21,0,0,0,66,1,158026,23,0,1618,23,0
4,33730973599374,33730977177383,19998422,sB-eth3,up,33730976995502,netem,128126,97,0,0,0,72672,3,1662,23,0,123488,26,0
5,33730993608375,33730996035101,20009001,sA-eth3,up,33730995826030,netem,2184,32,0,0,0,0,0,530954,35,0,2364,34,0
5,33730993608375,33730997895182,20009001,sB-eth3,up,33730997716680,netem,387020,268,0,0,0,122634,4,2190,31,0,371624,34,0
6,33731013602035,33731015585257,19993660,sA-eth3,up,33731015400715,netem,2646,39,0,0,0,66,1,748682,43,0,2826,41,0
6,33731013602035,33731017804592,19993660,sB-eth3,up,33731017637240,netem,633802,431,0,0,0,31794,3,3312,48,0,608770,51,0
7,33731033593737,33731035760600,19991702,sA-eth3,up,33731035460857,netem,3636,54,0,0,0,66,1,843528,54,0,3882,57,0
7,33731033593737,33731037981435,19991702,sB-eth3,up,33731037808694,netem,879070,593,0,0,0,52990,4,4500,66,0,859014,69,0
8,33731053601258,33731055902784,20007521,sA-eth3,up,33731055724572,netem,4758,71,0,0,0,66,1,1098116,72,0,4938,73,0
8,33731053601258,33731057738164,20007521,sB-eth3,up,33731057576002,netem,1136450,763,0,0,0,37850,3,5688,84,0,1091882,87,0
9,33731073599889,33731075498741,19998631,sA-eth3,up,33731075323219,netem,5946,89,0,0,0,66,1,1336776,90,0,6126,91,0
9,33731073599889,33731077562083,19998631,sB-eth3,up,33731077392961,netem,1378690,923,0,0,0,45420,3,6876,102,0,1324750,105,0
10,33731093598131,33731095483731,19998242,sA-eth3,up,33731095314709,netem,7200,108,0,0,0,0,0,1578398,109,0,7380,110,0
10,33731093598131,33731097493454,19998242,sB-eth3,up,33731097328111,netem,1625562,1087,0,0,0,40878,3,8064,120,0,1573702,125,0
11,33731113602721,33731115464773,20004590,sA-eth3,up,33731115292611,netem,8322,125,0,0,0,66,1,1818440,126,0,8502,127,0
11,33731113602721,33731117301433,20004590,sB-eth3,up,33731117137540,netem,1873858,1251,0,0,0,45420,3,9186,137,0,1800712,142,0
12,33731133594863,33731135499013,19992142,sA-eth3,up,33731135330572,netem,9510,143,0,0,0,66,1,2065854,145,0,9690,145,0
12,33731133594863,33731137312424,19992142,sB-eth3,up,33731137147142,netem,2128210,1419,0,0,0,42392,3,10440,156,0,2045230,161,0
13,33731153600533,33731155694887,20005670,sA-eth3,up,33731155458145,netem,84490,203,0,0,0,30280,2,2107704,158,0,81964,164,0
13,33731153600533,33731157407326,20005670,sB-eth3,up,33731157244304,netem,2194486,1473,0,0,0,66,1,168102,175,0,2108932,176,0
14,33731173599675,33731175464705,19999142,sA-eth3,up,33731175291404,netem,320674,359,0,0,0,189250,5,2108364,168,0,308512,174,0
14,33731173599675,33731177611399,19999142,sB-eth3,up,33731177347966,netem,2195166,1483,0,0,0,66,1,541030,187,0,2109678,187,0
15,33731193610896,33731195562967,20011221,sA-eth3,up,33731195343405,netem,547774,509,0,0,0,189250,5,2108826,175,0,562374,181,0
15,33731193610896,33731197901784,20011221,sB-eth3,up,33731197708301,netem,2195694,1491,0,0,0,66,1,758758,195,0,2110140,194,0
16,33731213595647,33731215473458,19984751,sA-eth3,up,33731215301396,netem,830892,696,0,0,0,40878,3,2109684,188,0,802152,194,0
16,33731213595647,33731217427779,19984751,sB-eth3,up,33731217261258,netem,2196684,1506,0,0,0,66,1,853604,206,0,2111130,209,0
17,33731233602378,33731235556101,20006731,sA-eth3,up,33731235360028,netem,1070104,854,0,0,0,37850,3,2110872,206,0,1042260,212,0
17,33731233602378,33731237449351,20006731,sB-eth3,up,33731237260199,netem,2197806,1523,0,0,0,66,1,1108192,224,0,2112252,226,0
18,33731253594159,33731255597621,19991781,sA-eth3,up,33731255366979,netem,1327484,1024,0,0,0,45420,3,2111994,223,0,1275062,229,0
18,33731253594159,33731257694715,19991781,sB-eth3,up,33731257533173,netem,2198994,1541,0,0,0,132,2,1355692,244,0,2113440,245,0
19,33731273593861,33731275492731,19999702,sA-eth3,up,33731275290870,netem,1571238,1185,0,0,0,43906,3,2113182,241,0,1522476,248,0
19,33731273593861,33731277437243,19999702,sB-eth3,up,33731277205530,netem,2200182,1559,0,0,0,66,1,1588560,262,0,2114694,263,0
20,33731293600771,33731295505632,20006910,sA-eth3,up,33731295303160,netem,1825590,1353,0,0,0,46934,4,2114304,258,0,1753830,265,0
20,33731293600771,33731297414664,20006910,sB-eth3,up,33731297225752,netem,2201436,1578,0,0,0,66,1,1828668,280,0,2115882,281,0
21,33731313596863,33731315451683,19996092,sA-eth3,up,33731315252422,netem,2079942,1521,0,0,0,36422,4,2115602,277,0,1998282,283,0
21,33731313596863,33731317333244,19996092,sB-eth3,up,33731317168292,netem,2202710,1597,0,0,0,66,1,2076082,299,0,2117156,300,0
22,33731333598974,33731335632387,20002111,sA-eth3,up,33731335403594,netem,2203506,1609,0,0,0,66,1,2248582,295,0,2117094,299,0
22,33731333598974,33731337547897,20002111,sB-eth3,up,33731337370816,netem,2316944,1682,0,0,0,33308,2,2117932,312,0,2241514,319,0
23,33731353591855,33731355435266,19992881,sA-eth3,up,33731355263024,netem,2204694,1627,0,0,0,66,1,2472762,313,0,2118282,317,0
23,33731353591855,33731357307466,19992881,sB-eth3,up,33731357092054,netem,2559184,1842,0,0,0,45420,3,2119120,330,0,2474316,336,0
24,33731373593896,33731375459876,20002041,sA-eth3,up,33731375283895,netem,2205816,1644,0,0,0,66,1,2712804,330,0,2119470,335,0
24,33731373593896,33731377303868,20002041,sB-eth3,up,33731377144826,netem,2824134,2017,0,0,0,37850,3,2120308,348,0,2714424,354,0
25,33731393595567,33731395519808,20001671,sA-eth3,up,33731395344836,netem,2207070,1663,0,0,0,66,1,2960304,350,0,2120658,353,0
25,33731393595567,33731397337238,20001671,sB-eth3,up,33731397160987,netem,3066464,2178,0,0,0,52990,4,2121496,366,0,2947382,373,0
26,33731413598538,33731415483890,20002971,sA-eth3,up,33731415308437,netem,2208258,1681,0,0,0,66,1,3207718,369,0,2121846,371,0
26,33731413598538,33731417225138,20002971,sB-eth3,up,33731417061657,netem,3308704,2338,0,0,0,45420,3,2122750,385,0,3194796,392,0
27,33731433596120,33731435369449,19997582,sA-eth3,up,33731435201067,netem,2209446,1699,0,0,0,66,1,3440586,387,0,2123100,390,0
27,33731433596120,33731437639305,19997582,sB-eth3,up,33731437471733,netem,3570626,2511,0,0,0,40878,3,2124004,404,0,3442210,411,0
28,33731453594151,33731455960887,19998031,sA-eth3,up,33731455742435,netem,2210700,1718,0,0,0,66,1,3680694,405,0,2124354,409,0
28,33731453594151,33731457790207,19998031,sB-eth3,up,33731457630935,netem,3828006,2681,0,0,0,40878,3,2125126,421,0,3679422,429,0
29,33731473592982,33731475465122,19998831,sA-eth3,up,33731475286921,netem,2211888,1736,0,0,0,66,1,3913562,424,0,2125476,426,0
29,33731473592982,33731477714677,19998831,sB-eth3,up,33731477551716,netem,4076302,2845,0,0,0,45420,3,2126314,439,0,3918082,447,0
30,33731493599052,33731495799147,20006070,sA-eth3,up,33731495622565,netem,2213142,1755,0,0,0,0,0,4172626,443,0,2126730,445,0
30,33731493599052,33731497843690,20006070,sB-eth3,up,33731497628537,netem,4326112,3010,0,0,0,46934,4,2127568,458,0,4162600,466,0
31,33731513627904,33731515691907,20028852,sA-eth3,up,33731515494396,netem,2297030,1819,0,0,0,36336,2,4224480,454,0,2207384,460,0
31,33731513627904,33731517634259,20028852,sB-eth3,up,33731517436066,netem,4396732,3064,0,0,0,0,0,2290824,474,0,4226104,478,0
32,33731533601886,33731535969462,19973982,sA-eth3,up,33731535750869,netem,2546840,1984,0,0,0,37850,3,4225602,471,0,2447426,477,0
32,33731533601886,33731538094555,19973982,sB-eth3,up,33731537858613,netem,4397788,3080,0,0,0,0,0,2535210,491,0,4227160,494,0
33,33731553603226,33731555928883,20001340,sA-eth3,up,33731555679769,netem,2789080,2144,0,0,0,45420,3,4226790,489,0,2694840,496,0
33,33731553603226,33731558045346,20001340,sB-eth3,up,33731557827843,netem,4398844,3096,0,0,0,0,0,2784072,510,0,4228216,510,0
34,33731573599398,33731575847572,19996172,sA-eth3,up,33731575660320,netem,3046570,2315,0,0,0,45420,3,4227912,506,0,2927752,514,0
34,33731573599398,33731578388171,19996172,sB-eth3,up,33731578075467,netem,4399900,3112,0,0,0,66,1,3030038,529,0,4229338,527,0
35,33731593618699,33731595691292,20019301,sA-eth3,up,33731595483379,netem,3299408,2482,0,0,0,34822,3,4229100,524,0,3170756,532,0
35,33731593618699,33731597972427,20019301,sB-eth3,up,33731597781175,netem,4401154,3131,0,0,0,66,1,3257114,547,0,4230526,545,0
36,33731613599520,33731615565832,19980821,sA-eth3,up,33731615346629,netem,3541648,2642,0,0,0,49962,4,4230288,542,0,3403624,550,0
36,33731613599520,33731617495412,19980821,sB-eth3,up,33731617311891,netem,4402276,3148,0,0,0,66,1,3497222,565,0,4231714,563,0
37,33731633603201,33731635443162,20003681,sA-eth3,up,33731635266049,netem,3796000,2810,0,0,0,42392,3,4231542,561,0,3648142,569,0
37,33731633603201,33731637300592,20003681,sB-eth3,up,33731637134500,netem,4403616,3168,0,0,0,66,1,3730090,583,0,4232988,582,0
38,33731653563071,33731655409042,19959870,sA-eth3,up,33731655230410,netem,4045810,2975,0,0,0,40878,3,4232730,579,0,3888250,587,0
38,33731653563071,33731657411864,19959870,sB-eth3,up,33731657250712,netem,4404804,3186,0,0,0,66,1,3970198,601,0,4234242,601,0
39,33731673601144,33731675548145,20038073,sA-eth3,up,33731675364463,netem,4288050,3135,0,0,0,48448,3,4233918,597,0,4121118,606,0
39,33731673601144,33731677745279,20038073,sB-eth3,up,33731677581798,netem,4406058,3205,0,0,0,66,1,4217612,620,0,4235430,619,0
40,33731693599704,33731695644206,19998560,sA-eth3,up,33731695453635,netem,4406986,3219,0,0,0,66,1,4346626,615,0,4235434,619,0
40,33731693599704,33731697637929,19998560,sB-eth3,up,33731697465727,netem,4505020,3278,0,0,0,30280,2,4236096,630,0,4345110,635,0
41,33731713591986,33731715414725,19992282,sA-eth3,up,33731715242774,netem,4408214,3237,0,0,0,66,1,4591012,632,0,4236728,638,0
41,33731713591986,33731717362287,19992282,sB-eth3,up,33731717201555,netem,4754920,3444,0,0,0,37850,3,4237284,648,0,4578002,653,0
42,33731733599597,33731735500497,20007611,sA-eth3,up,33731735314565,netem,4409468,3256,0,0,0,66,1,4831120,650,0,4237916,656,0
42,33731733599597,33731737504429,20007611,sB-eth3,up,33731737342537,netem,5012300,3614,0,0,0,37850,3,4238406,665,0,4818110,671,0
43,33731753601838,33731755533399,20002241,sA-eth3,up,33731755351517,netem,4410656,3274,0,0,0,66,1,5063988,668,0,4239104,674,0
43,33731753601838,33731757457330,20002241,sB-eth3,up,33731757298649,netem,5254540,3774,0,0,0,45420,3,4239528,682,0,5050978,689,0
44,33731773595019,33731775476819,19993181,sA-eth3,up,33731775306848,netem,4411844,3292,0,0,0,66,1,5311402,687,0,4240292,692,0
44,33731773595019,33731777739364,19993181,sB-eth3,up,33731777583893,netem,5511920,3944,0,0,0,45420,3,4240716,700,0,5298392,708,0
45,33731793609240,33731795496691,20014221,sA-eth3,up,33731795319909,netem,4413098,3311,0,0,0,66,1,5548614,705,0,4241546,711,0
45,33731793609240,33731797589684,20014221,sB-eth3,up,33731797405731,netem,5752646,4103,0,0,0,46934,4,4241904,718,0,5544292,726,0
46,33731813599201,33731815549743,19989961,sA-eth3,up,33731815341800,netem,4414286,3329,0,0,0,66,1,5796028,724,0,4242734,729,0
46,33731813599201,33731817636666,19989961,sB-eth3,up,33731817460363,netem,6006998,4271,0,0,0,42392,3,4243026,735,0,5774264,744,0
47,33731833615662,33731835539463,20016461,sA-eth3,up,33731835352231,netem,4415474,3347,0,0,0,66,1,6046338,743,0,4243988,748,0
47,33731833615662,33731837295423,20016461,sB-eth3,up,33731837138242,netem,6261350,4439,0,0,0,54504,3,4244280,754,0,6018782,763,0
