poll_iteration,poll_start_ns,poll_end_ns,poll_interval_ns,interface,operstate,t_ns,kind,bytes,packets,drops,overlimits,requeues,backlog_bytes,qlen,rx_bytes,rx_packets,rx_dropped,tx_bytes,tx_packets,tx_dropped
0,34977290686624,34977293754369,0,sA-eth3,up,34977292825998,netem,564,8,0,0,0,0,0,480,6,0,744,10,0
0,34977290686624,34977295702931,0,sB-eth3,up,34977295513329,netem,364,6,0,0,0,0,0,456,6,0,454,7,0
1,34977310779514,34977312792917,20092890,sA-eth3,up,34977312611765,netem,564,8,0,0,0,0,0,480,6,0,744,10,0
1,34977310779514,34977314486617,20092890,sB-eth3,up,34977314325975,netem,450,7,0,0,0,0,0,456,6,0,540,8,0
2,34977330770755,34977332720536,19991241,sA-eth3,up,34977332543194,netem,564,8,0,0,0,0,0,480,6,0,744,10,0
2,34977330770755,34977334598918,19991241,sB-eth3,up,34977334434067,netem,536,8,0,0,0,0,0,456,6,0,626,9,0
3,34977350766154,34977352800467,19995399,sA-eth3,up,34977352620075,netem,758,11,0,0,0,0,0,628,8,0,938,13,0
3,34977350766154,34977354523846,19995399,sB-eth3,up,34977354292834,netem,676,10,0,0,0,0,0,530,7,0,766,11,0
4,34977370769223,34977372554754,20003069,sA-eth3,up,34977372381312,netem,758,11,0,0,0,0,0,628,8,0,938,13,0
4,34977370769223,34977374543477,20003069,sB-eth3,up,34977374382825,netem,676,10,0,0,0,0,0,530,7,0,766,11,0
5,34977390776843,34977392677216,20007620,sA-eth3,up,34977392506473,netem,832,12,0,0,0,0,0,768,10,0,1012,14,0
5,34977390776843,34977395147953,20007620,sB-eth3,up,34977394967592,netem,750,11,0,0,0,0,0,670,9,0,840,12,0
6,34977410769652,34977412717086,19992809,sA-eth3,up,34977412530523,netem,832,12,0,0,0,0,0,768,10,0,1012,14,0
6,34977410769652,34977414513806,19992809,sB-eth3,up,34977414345014,netem,1036,14,0,0,0,0,0,866,11,0,1126,15,0
7,34977430766413,34977432811557,19996761,sA-eth3,up,34977432611754,netem,1228,18,0,0,0,66,1,79644,21,0,1474,21,0
7,34977430766413,34977434676868,19996761,sB-eth3,up,34977434469315,netem,51088,48,0,0,0,24224,2,1394,19,0,49462,23,0
