poll_iteration,poll_start_ns,poll_end_ns,poll_interval_ns,interface,operstate,t_ns,kind,bytes,packets,drops,overlimits,requeues,backlog_bytes,qlen,rx_bytes,rx_packets,rx_dropped,tx_bytes,tx_packets,tx_dropped
0,41842786496506,41842789603080,0,sA-eth3,up,41842788650120,netem,474,7,0,0,0,0,0,480,6,0,826,11,0
1,41842806597760,41842808739363,20101254,sA-eth3,up,41842808533341,netem,474,7,0,0,0,0,0,480,6,0,826,11,0
2,41842826574652,41842828412562,19976892,sA-eth3,up,41842828241110,netem,474,7,0,0,0,0,0,480,6,0,826,11,0
3,41842846571225,41842848661767,19996573,sA-eth3,up,41842848488985,netem,668,10,0,0,0,0,0,628,8,0,1020,14,0
4,41842866596668,41842868524939,20025443,sA-eth3,up,41842868342487,netem,668,10,0,0,0,0,0,628,8,0,1020,14,0
5,41842886584700,41842889160868,19988032,sA-eth3,up,41842888742264,netem,742,11,0,0,0,0,0,768,10,0,1094,15,0
6,41842906584602,41842908530684,19999902,sA-eth3,up,41842908335312,netem,742,11,0,0,0,0,0,14022,13,0,1094,15,0
7,41842926576675,41842928490776,19992073,sA-eth3,up,41842928310364,netem,1732,26,0,0,0,0,0,335086,29,0,2084,30,0
8,41842946577177,41842948722622,20000502,sA-eth3,up,41842948552519,netem,2128,32,0,0,0,66,1,512336,38,0,2480,36,0
9,41842966578190,41842968556052,20001013,sA-eth3,up,41842968385690,netem,3514,53,0,0,0,66,1,716244,56,0,3866,57,0
10,41842986572982,41842988422093,19994792,sA-eth3,up,41842988247061,netem,4726,71,0,0,0,0,0,960762,75,0,5078,75,0
11,41843006580285,41843008766029,20007303,sA-eth3,up,41843008586067,netem,5848,88,0,0,0,66,1,1208110,93,0,6266,93,0
12,41843026577818,41843028516769,19997533,sA-eth3,up,41843028324767,netem,7232,108,0,0,0,0,0,1448218,111,0,7584,112,0
13,41843046574730,41843048888556,19996912,sA-eth3,up,41843048685314,netem,8420,126,0,0,0,66,1,1710178,131,0,8772,130,0
14,41843066574112,41843068613166,19999382,sA-eth3,up,41843068432783,netem,9608,144,0,0,0,66,1,1943046,149,0,9960,148,0
15,41843086573795,41843088537937,19999683,sA-eth3,up,41843088334106,netem,10862,163,0,0,0,0,0,2107976,162,0,11214,167,0
16,41843106585509,41843108503129,20011714,sA-eth3,up,41843108315798,netem,169922,269,0,0,0,77214,4,2108900,176,0,168546,181,0
17,41843126586341,41843128535542,20000832,sA-eth3,up,41843128340801,netem,397022,419,0,0,0,189250,5,2109362,183,0,381864,188,0
18,41843146579444,41843148437504,19993103,sA-eth3,up,41843148262191,netem,661972,594,0,0,0,105980,3,2109824,190,0,635726,195,0
19,41843166576126,41843168398966,19996682,sA-eth3,up,41843168223484,netem,919352,764,0,0,0,30280,2,2110946,207,0,883008,212,0
20,41843186576629,41843188530291,20000503,sA-eth3,up,41843188349748,netem,1169162,929,0,0,0,37936,4,2112134,225,0,1130356,230,0
21,41843206580732,41843208464852,20004103,sA-eth3,up,41843208290921,netem,1408460,1088,0,0,0,56018,4,2113322,243,0,1367654,249,0
22,41843226591024,41843228516756,20010292,sA-eth3,up,41843228296853,netem,1665840,1258,0,0,0,39364,3,2114444,260,0,1612106,267,0
23,41843246575516,41843248445327,19984492,sA-eth3,up,41843248258225,netem,1906566,1417,0,0,0,49962,4,2115698,279,0,1850832,286,0
24,41843266581599,41843268526041,20006083,sA-eth3,up,41843268263968,netem,2161028,1586,0,0,0,42906,4,2116886,297,0,2091050,305,0
25,41843286588841,41843288581713,20007242,sA-eth3,up,41843288396402,netem,2204528,1624,0,0,0,66,1,2312064,314,0,2118420,318,0
26,41843306575394,41843308482495,19986553,sA-eth3,up,41843308279233,netem,2205716,1642,0,0,0,66,1,2553620,332,0,2119542,335,0
27,41843326578046,41843328466148,20002652,sA-eth3,up,41843328288056,netem,2206904,1660,0,0,0,66,1,2786574,351,0,2120730,353,0
28,41843346581789,41843348865476,20003743,sA-eth3,up,41843348668103,netem,2208158,1679,0,0,0,0,0,3044124,370,0,2121984,372,0
29,41843366542361,41843368427503,19960572,sA-eth3,up,41843368252531,netem,2209280,1696,0,0,0,66,1,3274096,388,0,2123172,390,0
30,41843386585994,41843388799949,20043633,sA-eth3,up,41843388620938,netem,2210534,1715,0,0,0,66,1,3521510,407,0,2124360,408,0
31,41843406575517,41843408468608,19989523,sA-eth3,up,41843408229955,netem,2211722,1733,0,0,0,66,1,3747072,424,0,2125614,427,0
32,41843426584830,41843428476721,20009313,sA-eth3,up,41843428297498,netem,2212910,1751,0,0,0,66,1,3994486,443,0,2126802,445,0
33,41843446591593,41843448858058,20006763,sA-eth3,up,41843448649226,netem,2214164,1770,0,0,0,66,1,4224906,461,0,2128056,464,0
34,41843466587315,41843468643858,19995722,sA-eth3,up,41843468462946,netem,2384086,1887,0,0,0,49962,4,4225698,473,0,2302830,479,0
35,41843486560218,41843488509369,19972903,sA-eth3,up,41843488326317,netem,2638438,2055,0,0,0,42392,3,4226886,491,0,2535698,497,0
36,41843506591450,41843508915696,20031232,sA-eth3,up,41843508667673,netem,2888248,2220,0,0,0,52990,4,4228184,510,0,2775806,515,0
37,41843526585483,41843528538255,19994033,sA-eth3,up,41843528358452,netem,3130488,2380,0,0,0,48448,3,4229438,529,0,3023220,534,0
38,41843546584575,41843548536837,19999092,sA-eth3,up,41843548309505,netem,3387868,2550,0,0,0,45420,3,4230626,547,0,3256088,552,0
39,41843566574698,41843568404088,19990123,sA-eth3,up,41843568239346,netem,3637678,2715,0,0,0,37850,3,4231814,565,0,3496196,570,0
40,41843586581910,41843588425561,20007212,sA-eth3,up,41843588246679,netem,3879918,2875,0,0,0,45420,3,4233002,583,0,3743610,589,0
41,41843606580523,41843608820208,19998613,sA-eth3,up,41843608636726,netem,4137298,3045,0,0,0,45420,3,4234256,602,0,3976478,607,0
42,41843626587206,41843628506787,20006683,sA-eth3,up,41843628328775,netem,4387108,3210,0,0,0,20196,2,4235444,620,0,4216586,625,0
43,41843646580388,41843648643721,19993182,sA-eth3,up,41843648460439,netem,4408030,3235,0,0,0,66,1,4436414,637,0,4236716,638,0
44,41843666574920,41843668531812,19994532,sA-eth3,up,41843668356420,netem,4409218,3253,0,0,0,66,1,4689620,656,0,4237904,656,0
45,41843686577523,41843688574576,20002603,sA-eth3,up,41843688395514,netem,4410406,3271,0,0,0,66,1,4922488,674,0,4239092,674,0
46,41843706577245,41843708858732,19999722,sA-eth3,up,41843708665429,netem,4411688,3290,0,0,0,66,1,5159700,692,0,4240440,694,0
47,41843726581559,41843729046446,20004314,sA-eth3,up,41843728805843,netem,4412942,3309,0,0,0,66,1,5407114,711,0,4241628,712,0
48,41843746547000,41843748516163,19965441,sA-eth3,up,41843748335761,netem,4414064,3326,0,0,0,66,1,5639982,729,0,4242750,729,0
49,41843766583814,41843768423724,20036814,sA-eth3,up,41843768223832,netem,4415412,3346,0,0,0,66,1,5880090,747,0,4244098,749,0
50,41843786582317,41843788629589,19998503,sA-eth3,up,41843788390907,netem,4416600,3364,0,0,0,66,1,6127438,765,0,4245286,767,0
51,41843806583180,41843809024277,20000863,sA-eth3,up,41843808785054,netem,4417722,3381,0,0,0,66,1,6343312,782,0,4246408,784,0
52,41843826580542,41843828956068,19997362,sA-eth3,up,41843828738775,netem,4569410,3485,0,0,0,42392,3,6344038,793,0,4409598,799,0
53,41843846582074,41843848841459,20001532,sA-eth3,up,41843848663747,netem,4819220,3650,0,0,0,59046,4,6345226,811,0,4632264,816,0
54,41843866596737,41843868630169,20014663,sA-eth3,up,41843868444067,netem,5076600,3820,0,0,0,56018,4,6346480,830,0,4879678,835,0
55,41843886584409,41843888706404,19987672,sA-eth3,up,41843888518551,netem,5318930,3981,0,0,0,45420,3,6347668,848,0,5127182,855,0
56,41843906589942,41843908659455,20005533,sA-eth3,up,41843908465853,netem,5568740,4146,0,0,0,52990,4,6348856,866,0,5367290,873,0
57,41843926578825,41843928591897,19988883,sA-eth3,up,41843928413335,netem,5826120,4316,0,0,0,37850,3,6350110,885,0,5600158,891,0
58,41843946584607,41843948427718,20005782,sA-eth3,up,41843948260746,netem,6068360,4476,0,0,0,45420,3,6351298,903,0,5833026,909,0
59,41843966590360,41843968466771,20005753,sA-eth3,up,41843968298169,netem,6318170,4641,0,0,0,52990,4,6352486,921,0,6073134,927,0
60,41843986583652,41843988448253,19993292,sA-eth3,up,41843988278571,netem,6575550,4811,0,0,0,35336,3,6353740,940,0,6320548,946,0
61,41844006575565,41844008927591,19991913,sA-eth3,up,41844008727539,netem,6611480,4844,0,0,0,66,1,6514100,956,0,6355158,959,0
62,41844026576927,41844028630351,20001362,sA-eth3,up,41844028453738,netem,6612602,4861,0,0,0,0,0,6754142,973,0,6356214,975,0
63,41844046578361,41844048518851,20001434,sA-eth3,up,41844048349490,netem,6613724,4878,0,0,0,66,1,7001490,991,0,6357336,992,0
64,41844066579003,41844068547435,20000642,sA-eth3,up,41844068382383,netem,6614912,4896,0,0,0,66,1,7248904,1010,0,6358524,1010,0
65,41844086582426,41844088826211,20003423,sA-eth3,up,41844088645858,netem,6616326,4917,0,0,0,66,1,7496318,1029,0,6359938,1031,0
66,41844106585258,41844108654031,20002832,sA-eth3,up,41844108472470,netem,6617448,4934,0,0,0,132,2,7718984,1047,0,6361126,1049,0
67,41844126580451,41844128852736,19995193,sA-eth3,up,41844128663223,netem,6618702,4953,0,0,0,66,1,7969294,1065,0,6362380,1068,0
68,41844146575653,41844148890730,19995202,sA-eth3,up,41844148700997,netem,6619956,4972,0,0,0,66,1,8219604,1084,0,6363568,1086,0
69,41844166580056,41844168482777,20004403,sA-eth3,up,41844168296645,netem,6621144,4990,0,0,0,66,1,8442270,1101,0,6364756,1104,0
70,41844186583779,41844189604113,20003723,sA-eth3,up,41844189397740,netem,6741236,5076,0,0,0,49962,3,8462334,1113,0,6497604,1120,0
71,41844206586592,41844209216471,20002813,sA-eth3,up,41844208988758,netem,6992560,5242,0,0,0,48448,3,8463456,1130,0,6721718,1137,0
72,41844226583265,41844228862360,19996673,sA-eth3,up,41844228670358,netem,7242530,5409,0,0,0,37850,3,8464644,1148,0,6969292,1158,0
73,41844246576017,41844248933023,19992752,sA-eth3,up,41844248717230,netem,7484770,5569,0,0,0,52990,4,8465766,1165,0,7209334,1175,0
74,41844266584020,41844269203249,20008003,sA-eth3,up,41844269026717,netem,7742150,5739,0,0,0,45420,3,8466954,1183,0,7442202,1193,0
75,41844286583502,41844288964779,19999482,sA-eth3,up,41844288776647,netem,7988932,5902,0,0,0,40878,3,8468208,1202,0,7689616,1212,0
76,41844306578005,41844309030342,19994503,sA-eth3,up,41844308817250,netem,8246312,6072,0,0,0,40878,3,8469396,1220,0,7926828,1230,0
77,41844326581638,41844329482680,20003633,sA-eth3,up,41844329309628,netem,8494608,6236,0,0,0,43906,3,8470584,1238,0,8165488,1248,0
78,41844346574430,41844349166959,19992792,sA-eth3,up,41844348965377,netem,8747536,6404,0,0,0,54504,4,8471800,1256,0,8410096,1268,0
79,41844366577244,41844368847218,20002814,sA-eth3,up,41844368661106,netem,8815128,6456,0,0,0,66,1,8635080,1272,0,8473534,1279,0
80,41844386580756,41844388507137,20003512,sA-eth3,up,41844388313105,netem,8816250,6473,0,0,0,66,1,8875188,1290,0,8474722,1297,0
81,41844406593619,41844409441600,20012863,sA-eth3,up,41844409229718,netem,8817504,6492,0,0,0,66,1,9119706,1309,0,8475910,1315,0
82,41844426580071,41844428992838,19986452,sA-eth3,up,41844428782256,netem,8818692,6510,0,0,0,66,1,9352574,1327,0,8477164,1334,0
83,41844446579294,41844449269924,19999223,sA-eth3,up,41844449080261,netem,8819946,6529,0,0,0,66,1,9592682,1345,0,8478352,1352,0
84,41844466583786,41844468993863,20004492,sA-eth3,up,41844468793610,netem,8821134,6547,0,0,0,66,1,9825550,1363,0,8479540,1370,0
85,41844486580408,41844488930075,19996622,sA-eth3,up,41844488734313,netem,8822322,6565,0,0,0,66,1,10072964,1382,0,8480794,1389,0
86,41844506581652,41844509234541,20001244,sA-eth3,up,41844509049859,netem,8823576,6584,0,0,0,66,1,10313072,1400,0,8481982,1407,0
87,41844526586185,41844529178693,20004533,sA-eth3,up,41844528977120,netem,8824698,6601,0,0,0,66,1,10557590,1419,0,8483170,1425,0
88,41844546586517,41844548681460,20000332,sA-eth3,up,41844548463278,netem,8943342,6687,0,0,0,34822,2,10580418,1429,0,8597128,1440,0
89,41844566583820,41844568959226,19997303,sA-eth3,up,41844568735554,netem,9182554,6845,0,0,0,66616,4,10581474,1445,0,8842962,1457,0
90,41844586579242,41844588921388,19995422,sA-eth3,up,41844588693576,netem,9432364,7010,0,0,0,68130,5,10582596,1462,0,9081622,1475,0
91,41844606575845,41844608692819,19996603,sA-eth3,up,41844608511806,netem,9689744,7180,0,0,0,52990,4,10583784,1480,0,9314490,1493,0
92,41844626582687,41844628945984,20006842,sA-eth3,up,41844628697431,netem,9947124,7350,0,0,0,45420,3,10585038,1499,0,9561904,1512,0
