poll_iteration,poll_start_ns,poll_end_ns,poll_interval_ns,interface,operstate,t_ns,kind,bytes,packets,drops,overlimits,requeues,backlog_bytes,qlen,rx_bytes,rx_packets,rx_dropped,tx_bytes,tx_packets,tx_dropped
0,41963137391574,41963140206654,0,sA-eth3,up,41963139696079,netem,364,6,0,0,0,0,0,656,8,0,544,8,0
1,41963157493307,41963159516940,20101733,sA-eth3,up,41963159328158,netem,364,6,0,0,0,0,0,766,9,0,544,8,0
2,41963177475640,41963179389261,19982333,sA-eth3,up,41963179210128,netem,364,6,0,0,0,0,0,766,9,0,544,8,0
3,41963197465212,41963199723647,19989572,sA-eth3,up,41963199544266,netem,512,8,0,0,0,0,0,960,12,0,692,10,0
4,41963217480055,41963219464347,20014843,sA-eth3,up,41963219274194,netem,622,9,0,0,0,0,0,960,12,0,802,11,0
5,41963237497737,41963239472959,20017682,sA-eth3,up,41963239269807,netem,762,11,0,0,0,0,0,1034,13,0,942,13,0
6,41963257486150,41963259896277,19988413,sA-eth3,up,41963259638114,netem,762,11,0,0,0,132,2,17250,17,0,1008,14,0
7,41963277469312,41963279517124,19983162,sA-eth3,up,41963279316922,netem,1818,27,0,0,0,0,0,371684,34,0,1998,29,0
8,41963297473195,41963299518447,20003883,sA-eth3,up,41963299343316,netem,2390,35,0,0,0,0,0,647464,44,0,2570,37,0
9,41963317471837,41963319394029,19998642,sA-eth3,up,41963319208956,netem,2984,44,0,0,0,0,0,773902,51,0,3164,46,0
10,41963337429989,41963339383871,19958152,sA-eth3,up,41963339164199,netem,4106,61,0,0,0,66,1,967476,66,0,4352,64,0
11,41963357476152,41963359375853,20046163,sA-eth3,up,41963359159731,netem,5294,79,0,0,0,132,2,1223578,85,0,5540,82,0
12,41963377468795,41963379271674,19992643,sA-eth3,up,41963379099342,netem,6482,97,0,0,0,66,1,1462238,103,0,6662,99,0
13,41963397469907,41963399334398,20001112,sA-eth3,up,41963399130606,netem,7780,116,0,0,0,66,1,1687800,121,0,8026,119,0
14,41963417475430,41963419677754,20005523,sA-eth3,up,41963419467662,netem,9124,136,0,0,0,66,1,1935214,139,0,9370,139,0
15,41963437475672,41963439433804,20000242,sA-eth3,up,41963439168561,netem,10312,154,0,0,0,0,0,2107450,153,0,10492,156,0
16,41963457481335,41963459802990,20005663,sA-eth3,up,41963459557578,netem,210250,287,0,0,0,110522,3,2108440,168,0,202642,171,0
17,41963477479628,41963479476520,19998293,sA-eth3,up,41963479300187,netem,434322,435,0,0,0,101438,6,2108836,174,0,417342,177,0
18,41963497524350,41963499651493,20044722,sA-eth3,up,41963499464302,netem,706842,615,0,0,0,30280,2,2110222,195,0,679434,199,0
19,41963517483123,41963519724707,19958773,sA-eth3,up,41963519522605,netem,956652,780,0,0,0,37850,3,2111344,212,0,919542,217,0
20,41963537470725,41963539433216,19987602,sA-eth3,up,41963539259705,netem,1198892,940,0,0,0,45420,3,2112532,230,0,1166890,235,0
21,41963557459976,41963559252607,19989251,sA-eth3,up,41963559081225,netem,1456272,1110,0,0,0,45420,3,2113654,247,0,1399758,253,0
22,41963577481090,41963579342071,20021114,sA-eth3,up,41963579156388,netem,1709110,1277,0,0,0,34822,3,2114842,265,0,1642762,271,0
23,41963597471981,41963599328123,19990891,sA-eth3,up,41963599146211,netem,1951350,1437,0,0,0,49962,4,2116096,284,0,1887280,290,0
24,41963617477844,41963619277725,20005863,sA-eth3,up,41963619101013,netem,2203188,1604,0,0,0,0,0,2117218,301,0,2117634,307,0
25,41963637471106,41963639668041,19993262,sA-eth3,up,41963639493860,netem,2204046,1617,0,0,0,66,1,2357350,319,0,2118558,321,0
26,41963657470109,41963659327721,19999003,sA-eth3,up,41963659152008,netem,2205234,1635,0,0,0,66,1,2585808,336,0,2119680,338,0
27,41963677467552,41963679819909,19997443,sA-eth3,up,41963679647026,netem,2206422,1653,0,0,0,132,2,2830326,355,0,2120934,357,0
28,41963697472964,41963699807401,20005412,sA-eth3,up,41963699642809,netem,2207762,1673,0,0,0,66,1,3077740,374,0,2122208,376,0
29,41963717485227,41963719761073,20012263,sA-eth3,up,41963719589251,netem,2208950,1691,0,0,0,66,1,3310608,392,0,2123462,395,0
30,41963737477169,41963739410771,19991942,sA-eth3,up,41963739238799,netem,2210138,1709,0,0,0,66,1,3550716,410,0,2124584,412,0
31,41963757467642,41963759408134,19990473,sA-eth3,up,41963759236331,netem,2211392,1728,0,0,0,0,0,3783584,428,0,2125838,431,0
32,41963777475864,41963779322555,20008222,sA-eth3,up,41963779153503,netem,2212580,1746,0,0,0,66,1,4023692,446,0,2127026,449,0
33,41963797474107,41963799318377,19998243,sA-eth3,up,41963799153026,netem,2213768,1764,0,0,0,132,2,4225020,462,0,2128280,468,0
34,41963817478260,41963819369211,20004153,sA-eth3,up,41963819182629,netem,2398698,1889,0,0,0,34822,2,4225944,476,0,2305950,483,0
