poll_iteration,poll_start_ns,poll_end_ns,poll_interval_ns,interface,operstate,t_ns,kind,bytes,packets,drops,overlimits,requeues,backlog_bytes,qlen,rx_bytes,rx_packets,rx_dropped,tx_bytes,tx_packets,tx_dropped
0,3864598100311919,3864598101303405,0,sA-eth3,up,3864598101067134,netem,364,6,0,0,0,0,0,480,6,0,630,9,0
1,3864598120370168,3864598121190323,20058249,sA-eth3,up,3864598121096842,netem,364,6,0,0,0,0,0,480,6,0,630,9,0
2,3864598140370766,3864598141189631,20000598,sA-eth3,up,3864598141070390,netem,558,9,0,0,0,0,0,628,8,0,824,12,0
3,3864598160369875,3864598161180399,19999109,sA-eth3,up,3864598161095589,netem,558,9,0,0,0,0,0,628,8,0,824,12,0
4,3864598180367123,3864598181115587,19997248,sA-eth3,up,3864598181056157,netem,742,11,0,0,0,0,0,768,10,0,1008,14,0
5,3864598200367571,3864598201053095,20000448,sA-eth3,up,3864598200969835,netem,1204,18,0,0,0,0,0,86818,19,0,1470,21,0
6,3864598220368640,3864598220996063,20001069,sA-eth3,up,3864598220926983,netem,2128,32,0,0,0,0,0,341274,35,0,2394,35,0
7,3864598240366968,3864598240963421,19998328,sA-eth3,up,3864598240895121,netem,3184,48,0,0,0,0,0,592834,51,0,3450,51,0
8,3864598260367396,3864598261009940,20000428,sA-eth3,up,3864598260905319,netem,4042,61,0,0,0,66,1,839852,64,0,4308,64,0
9,3864598280367515,3864598281075509,20000119,sA-eth3,up,3864598280954298,netem,4924,74,0,0,0,66,1,1098520,78,0,5256,78,0
10,3864598300369003,3864598300999836,20001488,sA-eth3,up,3864598300933366,netem,5848,88,0,0,0,0,0,1350014,93,0,6114,91,0
11,3864598320370641,3864598320972044,20001638,sA-eth3,up,3864598320900024,netem,6970,105,0,0,0,0,0,1603154,111,0,7236,108,0
12,3864598340366670,3864598340951003,19996029,sA-eth3,up,3864598340886462,netem,8026,121,0,0,0,0,0,1853266,127,0,8292,124,0
13,3864598360366008,3864598361098082,19999338,sA-eth3,up,3864598360960531,netem,9016,136,0,0,0,66,1,2093176,142,0,9282,139,0
14,3864598380369316,3864598381094160,20003308,sA-eth3,up,3864598380992060,netem,59662,179,0,0,0,39364,2,2107184,150,0,58146,155,0
15,3864598400367665,3864598401060358,19998349,sA-eth3,up,3864598400960468,netem,306444,342,0,0,0,49962,3,2108194,165,0,295094,169,0
16,3864598420367383,3864598421004576,19999718,sA-eth3,up,3864598420924246,netem,554826,507,0,0,0,56018,3,2109250,181,0,533708,186,0
