poll_iteration,poll_start_ns,poll_end_ns,poll_interval_ns,interface,operstate,t_ns,kind,bytes,packets,drops,overlimits,requeues,backlog_bytes,qlen,rx_bytes,rx_packets,rx_dropped,tx_bytes,tx_packets,tx_dropped
0,3864446508005295,3864446508934340,0,sA-eth3,up,3864446508703529,netem,364,6,0,0,0,0,0,480,6,0,630,9,0
1,3864446528060203,3864446528823047,20054908,sA-eth3,up,3864446528728917,netem,364,6,0,0,0,0,0,480,6,0,630,9,0
2,3864446548019622,3864446548734705,19959419,sA-eth3,up,3864446548653725,netem,578,9,0,0,0,0,0,694,9,0,844,12,0
3,3864446568061120,3864446568847054,20041498,sA-eth3,up,3864446568756884,netem,1568,24,0,0,0,0,0,232138,27,0,1834,27,0
4,3864446588015018,3864446588671242,19953898,sA-eth3,up,3864446588585391,netem,2558,39,0,0,0,66,1,483698,43,0,2824,42,0
5,3864446608060217,3864446608686110,20045199,sA-eth3,up,3864446608612700,netem,3548,54,0,0,0,0,0,738088,58,0,3814,57,0
6,3864446628014065,3864446628579588,19953848,sA-eth3,up,3864446628518988,netem,4340,66,0,0,0,0,0,985106,71,0,4606,69,0
7,3864446648012753,3864446648588536,19998688,sA-eth3,up,3864446648523606,netem,5198,79,0,0,0,66,1,1240812,84,0,5464,82,0
8,3864446668013821,3864446668613755,20001068,sA-eth3,up,3864446668556464,netem,6188,94,0,0,0,0,0,1486712,102,0,6454,97,0
9,3864446688012860,3864446688595603,19999039,sA-eth3,up,3864446688527933,netem,7354,111,0,0,0,132,2,1725240,118,0,7620,114,0
10,3864446708014338,3864446708621181,20001478,sA-eth3,up,3864446708562371,netem,8410,127,0,0,0,66,1,1987002,135,0,8676,130,0
11,3864446728012136,3864446728742840,19997798,sA-eth3,up,3864446728647390,netem,9400,142,0,0,0,66,1,2106648,142,0,9732,146,0
12,3864446748016195,3864446748594528,20004059,sA-eth3,up,3864446748535748,netem,197292,268,0,0,0,24224,1,2107638,157,0,190298,161,0
13,3864446768013473,3864446768602376,19997278,sA-eth3,up,3864446768531876,netem,453158,437,0,0,0,34822,2,2108694,173,0,436066,177,0
14,3864446788015241,3864446788626835,20001768,sA-eth3,up,3864446788553804,netem,699940,600,0,0,0,59046,3,2109618,187,0,673014,191,0
15,3864446808012900,3864446808631863,19997659,sA-eth3,up,3864446808546782,netem,945208,762,0,0,0,66616,4,2110410,199,0,908382,203,0
16,3864446828063378,3864446828664632,20050478,sA-eth3,up,3864446828592811,netem,1204102,933,0,0,0,72672,3,2111334,213,0,1156914,217,0
17,3864446848013026,3864446848641820,19949648,sA-eth3,up,3864446848566719,netem,1441800,1090,0,0,0,115150,9,2112258,227,0,1385174,231,0
18,3864446868015065,3864446868618808,20002039,sA-eth3,up,3864446868548638,netem,1702294,1263,0,0,0,102952,7,2113380,244,0,1635438,250,0
19,3864446888012143,3864446888635656,19997078,sA-eth3,up,3864446888549826,netem,1938478,1419,0,0,0,139288,9,2114370,259,0,1862316,264,0
20,3864446908063941,3864446908775585,20051798,sA-eth3,up,3864446908652485,netem,2202514,1595,0,0,0,0,0,2115426,275,0,2115858,281,0
21,3864446928014130,3864446928753744,19950189,sA-eth3,up,3864446928671533,netem,2203240,1606,0,0,0,0,0,2458300,292,0,2116584,292,0
22,3864446948015678,3864446948697862,20001548,sA-eth3,up,3864446948619801,netem,2203900,1616,0,0,0,66,1,2721378,307,0,2117244,302,0
23,3864446968013256,3864446968662120,19997578,sA-eth3,up,3864446968592149,netem,2204890,1631,0,0,0,0,0,2975768,322,0,2118234,317,0
24,3864446988014725,3864446988648978,20001469,sA-eth3,up,3864446988573418,netem,2205880,1646,0,0,0,0,0,3224564,340,0,2119224,332,0
25,3864447008013763,3864447008586976,19999038,sA-eth3,up,3864447008523145,netem,2207158,1665,0,0,0,0,0,3482048,358,0,2120502,351,0
