round_id,period,version,route_plan_fingerprint,routing_policy,duration_ns,duration_s,bytes_completed,rank_count,checksum_errors,version_errors,fabric_steps_sent,fabric_steps_received,fabric_bytes_sent,fabric_bytes_received,orchestrator_command_start_ns,orchestrator_command_end_ns,orchestrator_duration_ns
0,warmup,0,6b25bbb30fb02f988d2e6e22ba2dc06d94a582024c487c8e3e27c9bb1843c83e,balanced_active_active,1071377092,1.071377092,50331648,4,0,0,"{""A"":12,""B"":12}","{""A"":12,""B"":12}","{""A"":25165824,""B"":25165824}","{""A"":25165824,""B"":25165824}",3864476556229864,3864477628317730,1072087866
1,baseline,0,6b25bbb30fb02f988d2e6e22ba2dc06d94a582024c487c8e3e27c9bb1843c83e,balanced_active_active,1066834218,1.066834218,50331648,4,0,0,"{""A"":12,""B"":12}","{""A"":12,""B"":12}","{""A"":25165824,""B"":25165824}","{""A"":25165824,""B"":25165824}",3864477628400541,3864478695864252,1067463711
2,baseline,0,6b25bbb30fb02f988d2e6e22ba2dc06d94a582024c487c8e3e27c9bb1843c83e,balanced_active_active,1067326400,1.0673264,50331648,4,0,0,"{""A"":12,""B"":12}","{""A"":12,""B"":12}","{""A"":25165824,""B"":25165824}","{""A"":25165824,""B"":25165824}",3864478695939983,3864479763690336,1067750353
3,post_fault,1,23fed2f53d9332b0bdd2e5dde1a51f2f43c111551a4e9c6b2b81419db7af8692,localized_link_reroute,1509950468,1.509950468,50331648,4,0,0,"{""A"":8,""B"":16}","{""A"":6,""B"":18}","{""A"":16777216,""B"":33554432}","{""A"":12582912,""B"":37748736}",3864479765179804,3864481275517233,1510337429
4,post_fault,1,23fed2f53d9332b0bdd2e5dde1a51f2f43c111551a4e9c6b2b81419db7af8692,localized_link_reroute,1184653826,1.184653826,50331648,4,0,0,"{""A"":6,""B"":18}","{""A"":6,""B"":18}","{""A"":12582912,""B"":37748736}","{""A"":12582912,""B"":37748736}",3864481275604724,3864482460700052,1185095328
5,post_fault,1,23fed2f53d9332b0bdd2e5dde1a51f2f43c111551a4e9c6b2b81419db7af8692,localized_link_reroute,1194512999,1.194512999,50331648,4,0,0,"{""A"":6,""B"":18}","{""A"":6,""B"":18}","{""A"":12582912,""B"":37748736}","{""A"":12582912,""B"":37748736}",3864482460788813,3864483655892576,1195103763
6,post_fault,1,23fed2f53d9332b0bdd2e5dde1a51f2f43c111551a4e9c6b2b81419db7af8692,localized_link_reroute,1161274099,1.161274099,50331648,4,0,0,"{""A"":6,""B"":18}","{""A"":6,""B"":18}","{""A"":12582912,""B"":37748736}","{""A"":12582912,""B"":37748736}",3864483655971016,3864484817666207,1161695191
7,post_fault,1,23fed2f53d9332b0bdd2e5dde1a51f2f43c111551a4e9c6b2b81419db7af8692,localized_link_reroute,1108226452,1.108226452,50331648,4,0,0,"{""A"":6,""B"":18}","{""A"":6,""B"":18}","{""A"":12582912,""B"":37748736}","{""A"":12582912,""B"":37748736}",3864484817749218,3864485926382622,1108633404
8,post_fault,1,23fed2f53d9332b0bdd2e5dde1a51f2f43c111551a4e9c6b2b81419db7af8692,localized_link_reroute,1070674309,1.070674309,50331648,4,0,0,"{""A"":6,""B"":18}","{""A"":6,""B"":18}","{""A"":12582912,""B"":37748736}","{""A"":12582912,""B"":37748736}",3864485926472743,3864486997538644,1071065901
9,post_fault,1,23fed2f53d9332b0bdd2e5dde1a51f2f43c111551a4e9c6b2b81419db7af8692,localized_link_reroute,1066639886,1.066639886,50331648,4,0,0,"{""A"":6,""B"":18}","{""A"":6,""B"":18}","{""A"":12582912,""B"":37748736}","{""A"":12582912,""B"":37748736}",3864486997608004,3864488064625153,1067017149
