poll_iteration,poll_start_ns,poll_end_ns,poll_interval_ns,interface,operstate,t_ns,kind,bytes,packets,drops,overlimits,requeues,backlog_bytes,qlen,rx_bytes,rx_packets,rx_dropped,tx_bytes,tx_packets,tx_dropped
0,3864567836591083,3864567837635039,0,sA-eth3,up,3864567837468558,netem,474,7,0,0,0,0,0,480,6,0,740,10,0
1,3864567856658952,3864567857501596,20067869,sA-eth3,up,3864567857401916,netem,474,7,0,0,0,0,0,480,6,0,740,10,0
2,3864567876652540,3864567877483464,19993588,sA-eth3,up,3864567877398094,netem,688,10,0,0,0,0,0,13948,12,0,954,13,0
3,3864567896647728,3864567897335282,19995188,sA-eth3,up,3864567897250681,netem,1678,25,0,0,0,0,0,232138,27,0,1944,28,0
4,3864567916648287,3864567917366550,20000559,sA-eth3,up,3864567917291010,netem,2758,41,0,0,0,66,1,489556,44,0,3090,45,0
5,3864567936648255,3864567937373249,19999968,sA-eth3,up,3864567937297928,netem,3748,56,0,0,0,0,0,738088,58,0,4014,59,0
6,3864567956648203,3864567957326217,19999948,sA-eth3,up,3864567957244286,netem,4540,68,0,0,0,0,0,985192,72,0,4806,71,0
7,3864567976649312,3864567977348525,20001109,sA-eth3,up,3864567977240965,netem,5398,81,0,0,0,66,1,1240898,85,0,5664,84,0
8,3864567996647950,3864567997306773,19998638,sA-eth3,up,3864567997227963,netem,6388,96,0,0,0,0,0,1486798,103,0,6654,99,0
9,3864568016649638,3864568017338262,20001688,sA-eth3,up,3864568017233781,netem,7444,112,0,0,0,132,2,1748560,120,0,7776,116,0
10,3864568036646796,3864568037296370,19997158,sA-eth3,up,3864568037211799,netem,8500,128,0,0,0,66,1,1987088,136,0,8766,131,0
11,3864568056657145,3864568057480629,20010349,sA-eth3,up,3864568057374779,netem,9490,143,0,0,0,66,1,2106734,143,0,9822,147,0
12,3864568076647823,3864568077372577,19990678,sA-eth3,up,3864568077258546,netem,197382,269,0,0,0,52990,3,2107724,158,0,190388,162,0
13,3864568096647861,3864568097298755,20000038,sA-eth3,up,3864568097227784,netem,453248,438,0,0,0,34822,2,2108780,174,0,436156,178,0
14,3864568116645850,3864568117289583,19997989,sA-eth3,up,3864568117201523,netem,700116,602,0,0,0,59046,3,2109704,188,0,673190,193,0
15,3864568136646158,3864568137411512,20000308,sA-eth3,up,3864568137330662,netem,945384,764,0,0,0,89326,5,2110496,200,0,908558,205,0
16,3864568156646096,3864568157245070,19999938,sA-eth3,up,3864568157163879,netem,1204278,935,0,0,0,72672,3,2111420,214,0,1157090,219,0
17,3864568176646895,3864568177301348,20000799,sA-eth3,up,3864568177247218,netem,1441976,1092,0,0,0,115064,8,2112344,228,0,1385350,233,0
18,3864568196645553,3864568197250226,19998658,sA-eth3,up,3864568197172676,netem,1708440,1268,0,0,0,96896,6,2113532,246,0,1641386,251,0
19,3864568216645861,3864568217293975,20000308,sA-eth3,up,3864568217226614,netem,1938568,1420,0,0,0,139288,9,2114456,260,0,1862406,265,0
20,3864568236645240,3864568237275283,19999379,sA-eth3,up,3864568237198833,netem,2202518,1595,0,0,0,0,0,2115512,276,0,2115862,281,0
21,3864568256646288,3864568257240441,20001048,sA-eth3,up,3864568257180971,netem,2203244,1606,0,0,0,66,1,2458386,293,0,2116588,292,0
22,3864568276645076,3864568277335630,19998788,sA-eth3,up,3864568277275140,netem,2203904,1616,0,0,0,66,1,2721464,308,0,2117248,302,0
23,3864568296644955,3864568297237458,19999879,sA-eth3,up,3864568297177818,netem,2204894,1631,0,0,0,0,0,2975854,323,0,2118238,317,0
24,3864568316645283,3864568317319167,20000328,sA-eth3,up,3864568317262526,netem,2205884,1646,0,0,0,66,1,3224650,341,0,2119228,332,0
25,3864568336645401,3864568337305445,20000118,sA-eth3,up,3864568337221184,netem,2207072,1664,0,0,0,0,0,3482134,359,0,2120416,350,0
26,3864568356648010,3864568357241703,20002609,sA-eth3,up,3864568357179082,netem,2208128,1680,0,0,0,66,1,3726454,375,0,2121472,366,0
27,3864568376645488,3864568377242091,19997478,sA-eth3,up,3864568377170171,netem,2209184,1696,0,0,0,0,0,3983806,391,0,2122528,382,0
28,3864568396645166,3864568397365640,19999678,sA-eth3,up,3864568397292320,netem,2210108,1710,0,0,0,66,1,4221202,405,0,2123452,396,0
29,3864568416648694,3864568417290408,20003528,sA-eth3,up,3864568417232138,netem,2211122,1725,0,0,0,151400,7,4221268,406,0,2124466,411,0
30,3864568436644803,3864568437321276,19996109,sA-eth3,up,3864568437227866,netem,2465474,1893,0,0,0,128690,5,4222060,418,0,2368522,423,0
31,3864568456647011,3864568457340835,20002208,sA-eth3,up,3864568457285165,netem,2712256,2056,0,0,0,149886,9,4222786,429,0,2605272,434,0
32,3864568476646289,3864568477304923,19999278,sA-eth3,up,3864568477243203,netem,2946926,2211,0,0,0,189250,11,4223820,444,0,2830636,448,0
33,3864568496645668,3864568497285991,19999379,sA-eth3,up,3864568497238641,netem,3217932,2390,0,0,0,175624,12,4224942,461,0,3090950,465,0
34,3864568516644206,3864568517256059,19998538,sA-eth3,up,3864568517198549,netem,3448060,2542,0,0,0,214988,14,4225998,477,0,3312102,481,0
35,3864568536645194,3864568537285468,20000988,sA-eth3,up,3864568537206668,netem,3716038,2719,0,0,0,202876,13,4227120,494,0,3569520,498,0
36,3864568556645273,3864568557237666,20000079,sA-eth3,up,3864568557167036,netem,3959792,2880,0,0,0,221044,13,4228110,509,0,3803638,513,0
37,3864568576645641,3864568577250154,20000368,sA-eth3,up,3864568577176774,netem,4200518,3039,0,0,0,203390,12,4229034,523,0,4034794,527,0
38,3864568596646559,3864568597268263,20000918,sA-eth3,up,3864568597198442,netem,4404060,3176,0,0,0,66,1,4505894,549,0,4230284,542,0
39,3864568616645368,3864568617339301,19998809,sA-eth3,up,3864568617282721,netem,4404852,3188,0,0,0,0,0,4745474,559,0,4231010,553,0
40,3864568636646116,3864568637216669,20000748,sA-eth3,up,3864568637162069,netem,4405512,3198,0,0,0,0,0,5004010,571,0,4231670,563,0
41,3864568656644464,3864568657336358,19998348,sA-eth3,up,3864568657259428,netem,4406348,3210,0,0,0,0,0,5256952,586,0,4232506,575,0
42,3864568676645153,3864568677315526,20000689,sA-eth3,up,3864568677269016,netem,4407206,3223,0,0,0,0,0,5508512,602,0,4233364,588,0
43,3864568696643371,3864568697239544,19998218,sA-eth3,up,3864568697169154,netem,4408196,3238,0,0,0,0,0,5762968,618,0,4234354,603,0
44,3864568716645659,3864568717271903,20002288,sA-eth3,up,3864568717201272,netem,4408988,3250,0,0,0,66,1,5992676,632,0,4235146,615,0
45,3864568736644558,3864568737263121,19998899,sA-eth3,up,3864568737194711,netem,4410130,3267,0,0,0,0,0,6258782,649,0,4236288,632,0
46,3864568756645196,3864568757277009,20000638,sA-eth3,up,3864568757204969,netem,4411054,3281,0,0,0,66,1,6334988,656,0,4237212,646,0
47,3864568776646524,3864568777252908,20001328,sA-eth3,up,3864568777182187,netem,4460516,3328,0,0,0,264950,12,6335186,659,0,4284694,663,0
48,3864568796645803,3864568797236056,19999279,sA-eth3,up,3864568797179625,netem,4725466,3503,0,0,0,250080,13,6335978,671,0,4538886,675,0
49,3864568816645261,3864568817262784,19999458,sA-eth3,up,3864568817217044,netem,4975546,3671,0,0,0,263436,12,6336638,681,0,4778736,688,0
50,3864568836643429,3864568837238512,19998168,sA-eth3,up,3864568837166342,netem,5219300,3832,0,0,0,287660,16,6337364,692,0,5012590,699,0
51,3864568856645437,3864568857237251,20002008,sA-eth3,up,3864568857182780,netem,5456998,3989,0,0,0,314912,20,6338222,705,0,5240784,712,0
52,3864568876645046,3864568877229819,19999609,sA-eth3,up,3864568877158749,netem,5718920,4162,0,0,0,313398,19,6339212,720,0,5492344,728,0
53,3864568896646084,3864568897210417,20001038,sA-eth3,up,3864568897155557,netem,5953590,4317,0,0,0,339136,20,6340070,733,0,5740942,743,0
54,3864568916644322,3864568917222996,19998238,sA-eth3,up,3864568917163285,netem,6226110,4497,0,0,0,323996,20,6341126,749,0,5979470,759,0
55,3864568936645161,3864568937264174,20000839,sA-eth3,up,3864568937186164,netem,6475920,4662,0,0,0,129204,10,6342116,764,0,6219380,774,0
