poll_iteration,poll_start_ns,poll_end_ns,poll_interval_ns,interface,operstate,t_ns,kind,bytes,packets,drops,overlimits,requeues,backlog_bytes,qlen,rx_bytes,rx_packets,rx_dropped,tx_bytes,tx_packets,tx_dropped
0,3864176907347095,3864176908135080,0,sA-eth3,up,3864176907987979,netem,364,6,0,0,0,0,0,480,6,0,544,8,0
1,3864176927406384,3864176927977647,20059289,sA-eth3,up,3864176927917007,netem,560,8,0,0,0,0,0,480,6,0,740,10,0
2,3864176947403462,3864176948262827,19997078,sA-eth3,up,3864176948166816,netem,708,10,0,0,0,0,0,674,9,0,888,12,0
3,3864176967408180,3864176968248215,20004718,sA-eth3,up,3864176968163854,netem,708,10,0,0,0,86,1,674,9,0,974,13,0
4,3864176987406478,3864176988161612,19998298,sA-eth3,up,3864176988092942,netem,934,13,0,0,0,0,0,748,10,0,1114,15,0
5,3864177007402416,3864177008154590,19995938,sA-eth3,up,3864177008068180,netem,1506,21,0,0,0,0,0,86798,19,0,1686,23,0
6,3864177027404964,3864177028017018,20002548,sA-eth3,up,3864177027946447,netem,2454,35,0,0,0,66,1,333948,34,0,2634,37,0
7,3864177047406323,3864177048087756,20001359,sA-eth3,up,3864177047969876,netem,3510,51,0,0,0,66,1,592814,51,0,3756,54,0
8,3864177067398691,3864177068096044,19992368,sA-eth3,up,3864177067972234,netem,4434,65,0,0,0,66,1,839832,64,0,4614,67,0
9,3864177087400799,3864177088077092,20002108,sA-eth3,up,3864177087971032,netem,5160,76,0,0,0,66,1,1075266,77,0,5340,78,0
10,3864177107403877,3864177108033710,20003078,sA-eth3,up,3864177107930740,netem,6216,92,0,0,0,66,1,1347296,96,0,6462,95,0
11,3864177127404685,3864177127987768,20000808,sA-eth3,up,3864177127924428,netem,7338,109,0,0,0,66,1,1594578,113,0,7518,111,0
12,3864177147402863,3864177147968206,19998178,sA-eth3,up,3864177147899836,netem,8394,125,0,0,0,66,1,1841794,129,0,8574,127,0
13,3864177167402721,3864177168046095,19999858,sA-eth3,up,3864177167975814,netem,9384,140,0,0,0,66,1,2090392,144,0,9564,142,0
14,3864177187403969,3864177188072963,20001248,sA-eth3,up,3864177187987592,netem,60030,183,0,0,0,39364,2,2107296,152,0,58428,158,0
15,3864177207402078,3864177208081031,19998109,sA-eth3,up,3864177207991661,netem,306812,346,0,0,0,49962,3,2108220,166,0,295376,172,0
16,3864177227408346,3864177228044369,20006268,sA-eth3,up,3864177227955809,netem,555218,511,0,0,0,56018,3,2109276,182,0,534014,189,0
17,3864177247407314,3864177248146488,19998968,sA-eth3,up,3864177248060747,netem,802000,674,0,0,0,81756,4,2110200,196,0,783994,203,0
18,3864177267404962,3864177268074556,19997648,sA-eth3,up,3864177267934475,netem,1059380,844,0,0,0,69644,4,2110992,208,0,1017914,215,0
19,3864177287403930,3864177288111484,19998968,sA-eth3,up,3864177288041574,netem,1307676,1008,0,0,0,99924,6,2111850,221,0,1256244,228,0
20,3864177307403958,3864177308053412,20000028,sA-eth3,up,3864177307933621,netem,1557572,1174,0,0,0,90840,6,2112972,238,0,1496372,246,0
21,3864177327401696,3864177328081440,19997738,sA-eth3,up,3864177327973299,netem,1805868,1338,0,0,0,124148,7,2114028,254,0,1734900,262,0
22,3864177347402874,3864177348046358,20001178,sA-eth3,up,3864177347955287,netem,2043566,1495,0,0,0,145344,8,2115018,269,0,1963226,277,0
23,3864177367403392,3864177368153067,20000518,sA-eth3,up,3864177368076856,netem,2203248,1604,0,0,0,66,1,2335076,290,0,2116572,290,0
24,3864177387407571,3864177388060394,20004179,sA-eth3,up,3864177387993094,netem,2204040,1616,0,0,0,66,1,2570312,300,0,2117298,301,0
25,3864177407402989,3864177408125503,19995418,sA-eth3,up,3864177407984012,netem,2204898,1629,0,0,0,132,2,2821872,316,0,2118156,314,0
26,3864177427405987,3864177428036260,20002998,sA-eth3,up,3864177427954570,netem,2205974,1645,0,0,0,0,0,3082186,333,0,2119232,330,0
27,3864177447402565,3864177448033158,19996578,sA-eth3,up,3864177447960468,netem,2207030,1661,0,0,0,66,1,3329534,351,0,2120288,346,0
28,3864177467403133,3864177468034606,20000568,sA-eth3,up,3864177467956946,netem,2208086,1677,0,0,0,66,1,3575302,367,0,2121344,362,0
29,3864177487402681,3864177487942444,19999548,sA-eth3,up,3864177487891884,netem,2209142,1693,0,0,0,66,1,3828310,383,0,2122400,378,0
30,3864177507402169,3864177508067473,19999488,sA-eth3,up,3864177507986633,netem,2210198,1709,0,0,0,0,0,4095798,399,0,2123456,394,0
31,3864177527403897,3864177527999161,20001728,sA-eth3,up,3864177527925290,netem,2211122,1723,0,0,0,0,0,4221302,407,0,2124380,408,0
32,3864177547402656,3864177548061889,19998759,sA-eth3,up,3864177547985229,netem,2308636,1796,0,0,0,131718,7,4221632,412,0,2217934,421,0
33,3864177567404204,3864177568004597,20001548,sA-eth3,up,3864177567942517,netem,2543306,1951,0,0,0,169568,8,4222468,424,0,2443100,432,0
34,3864177587401992,3864177588060375,19997788,sA-eth3,up,3864177587995735,netem,2793116,2116,0,0,0,181680,10,4223458,439,0,2706178,447,0
35,3864177607403610,3864177607972643,20001618,sA-eth3,up,3864177607898813,netem,3048982,2285,0,0,0,195306,13,4224316,452,0,2928580,460,0
36,3864177627401648,3864177628053452,19998038,sA-eth3,up,3864177627972371,netem,3306362,2455,0,0,0,193792,13,4225438,469,0,3175862,477,0
37,3864177647404036,3864177647993849,20002388,sA-eth3,up,3864177647918199,netem,3545574,2613,0,0,0,219530,14,4226494,485,0,3405702,493,0
38,3864177667411524,3864177668175129,20007488,sA-eth3,up,3864177668089278,netem,3798412,2780,0,0,0,231642,14,4227550,501,0,3648574,509,0
39,3864177687405212,3864177688097946,19993688,sA-eth3,up,3864177687992576,netem,4061848,2954,0,0,0,211960,12,4228606,517,0,3901582,525,0
40,3864177707404681,3864177708372226,19999469,sA-eth3,up,3864177708262365,netem,4307116,3116,0,0,0,97410,6,4229530,531,0,4137082,539,0
41,3864177727407789,3864177728108793,20003108,sA-eth3,up,3864177728016442,netem,4404856,3186,0,0,0,66,1,4580040,555,0,4230994,551,0
42,3864177747404737,3864177747966740,19996948,sA-eth3,up,3864177747913960,netem,4405648,3198,0,0,0,0,0,4844388,566,0,4231720,562,0
43,3864177767405195,3864177768317890,20000458,sA-eth3,up,3864177768219369,netem,4406308,3208,0,0,0,0,0,5101542,579,0,4232380,572,0
44,3864177787405643,3864177788103297,20000448,sA-eth3,up,3864177788016346,netem,4407034,3219,0,0,0,66,1,5340004,594,0,4233106,583,0
45,3864177807406981,3864177808170425,20001338,sA-eth3,up,3864177808085835,netem,4407958,3233,0,0,0,66,1,5600252,610,0,4234030,597,0
46,3864177827404219,3864177828038873,19997238,sA-eth3,up,3864177827958122,netem,4408948,3248,0,0,0,0,0,5851812,626,0,4235020,612,0
47,3864177847403838,3864177848072531,19999619,sA-eth3,up,3864177847980441,netem,4409806,3261,0,0,0,66,1,6113508,642,0,4235944,626,0
48,3864177867402845,3864177868039409,19999007,sA-eth3,up,3864177867954308,netem,4410796,3276,0,0,0,66,1,6335174,659,0,4236868,640,0
49,3864177887404534,3864177888095627,20001689,sA-eth3,up,3864177888017077,netem,4411852,3292,0,0,0,0,0,6335174,659,0,4237924,656,0
50,3864177907405182,3864177908092766,20000648,sA-eth3,up,3864177908015995,netem,4557748,3396,0,0,0,269492,12,6335636,666,0,4377880,670,0
51,3864177927404010,3864177928047383,19998828,sA-eth3,up,3864177927967553,netem,4803016,3558,0,0,0,281604,12,6336362,677,0,4613182,681,0
52,3864177947402778,3864177948088112,19998768,sA-eth3,up,3864177948007651,netem,5052826,3723,0,0,0,295390,17,6337022,687,0,4852762,691,0
53,3864177967404366,3864177968073490,20001588,sA-eth3,up,3864177968007110,netem,5320964,3902,0,0,0,272520,16,6337880,700,0,5110076,706,0
54,3864177987402634,3864177988026458,19998268,sA-eth3,up,3864177987952577,netem,5569260,4066,0,0,0,293716,17,6338804,714,0,5348538,721,0
55,3864178007401792,3864178007987096,19999158,sA-eth3,up,3864178007910645,netem,5819070,4231,0,0,0,309016,21,6339728,728,0,5588448,736,0
56,3864178027406781,3864178028030664,20004989,sA-eth3,up,3864178027965394,netem,6072068,4400,0,0,0,320968,19,6340652,742,0,5831414,753,0
57,3864178047403069,3864178048056542,19996288,sA-eth3,up,3864178047974412,netem,6315822,4561,0,0,0,289688,22,6341642,757,0,6072772,768,0
58,3864178067402807,3864178067971200,19999738,sA-eth3,up,3864178067911750,netem,6550492,4716,0,0,0,55018,5,6342698,773,0,6291028,784,0
59,3864178087404905,3864178088082549,20002098,sA-eth3,up,3864178087990958,netem,6605972,4760,0,0,0,66,1,6847092,802,0,6344396,796,0
60,3864178107403653,3864178108085617,19998748,sA-eth3,up,3864178108010466,netem,6606764,4772,0,0,0,66,1,7091016,812,0,6345188,808,0
61,3864178127403911,3864178128027285,20000258,sA-eth3,up,3864178127942774,netem,6607424,4782,0,0,0,90,1,7358240,824,0,6345848,818,0
62,3864178147403829,3864178148021293,19999918,sA-eth3,up,3864178147951792,netem,6608174,4793,0,0,0,66,1,7611248,840,0,6346598,829,0
63,3864178167402617,3864178167967360,19998788,sA-eth3,up,3864178167906610,netem,6608900,4804,0,0,0,66,1,7862742,855,0,6347324,840,0
