round_id,period,version,route_plan_fingerprint,routing_policy,duration_ns,duration_s,bytes_completed,rank_count,checksum_errors,version_errors,fabric_steps_sent,fabric_steps_received,fabric_bytes_sent,fabric_bytes_received,orchestrator_command_start_ns,orchestrator_command_end_ns,orchestrator_duration_ns
0,warmup,0,6b25bbb30fb02f988d2e6e22ba2dc06d94a582024c487c8e3e27c9bb1843c83e,balanced_active_active,1071759274,1.071759274,50331648,4,0,0,"{""A"":12,""B"":12}","{""A"":12,""B"":12}","{""A"":25165824,""B"":25165824}","{""A"":25165824,""B"":25165824}",3864089067316092,3864090139859881,1072543789
1,baseline,0,6b25bbb30fb02f988d2e6e22ba2dc06d94a582024c487c8e3e27c9bb1843c83e,balanced_active_active,1066526116,1.066526116,50331648,4,0,0,"{""A"":12,""B"":12}","{""A"":12,""B"":12}","{""A"":25165824,""B"":25165824}","{""A"":25165824,""B"":25165824}",3864090139952631,3864091207163411,1067210780
2,baseline,0,6b25bbb30fb02f988d2e6e22ba2dc06d94a582024c487c8e3e27c9bb1843c83e,balanced_active_active,1066885498,1.066885498,50331648,4,0,0,"{""A"":12,""B"":12}","{""A"":12,""B"":12}","{""A"":25165824,""B"":25165824}","{""A"":25165824,""B"":25165824}",3864091207231541,3864092274611391,1067379850
3,post_fault,1,23fed2f53d9332b0bdd2e5dde1a51f2f43c111551a4e9c6b2b81419db7af8692,localized_link_reroute,1509220600,1.5092206,50331648,4,0,0,"{""A"":8,""B"":16}","{""A"":6,""B"":18}","{""A"":16777216,""B"":33554432}","{""A"":12582912,""B"":37748736}",3864092276104979,3864093785790891,1509685912
4,post_fault,1,23fed2f53d9332b0bdd2e5dde1a51f2f43c111551a4e9c6b2b81419db7af8692,localized_link_reroute,1185048017,1.185048017,50331648,4,0,0,"{""A"":6,""B"":18}","{""A"":6,""B"":18}","{""A"":12582912,""B"":37748736}","{""A"":12582912,""B"":37748736}",3864093785887101,3864094971333440,1185446339
5,post_fault,1,23fed2f53d9332b0bdd2e5dde1a51f2f43c111551a4e9c6b2b81419db7af8692,localized_link_reroute,1194436267,1.194436267,50331648,4,0,0,"{""A"":6,""B"":18}","{""A"":6,""B"":18}","{""A"":12582912,""B"":37748736}","{""A"":12582912,""B"":37748736}",3864094971424930,3864096166375041,1194950111
6,post_fault,1,23fed2f53d9332b0bdd2e5dde1a51f2f43c111551a4e9c6b2b81419db7af8692,localized_link_reroute,1161067487,1.161067487,50331648,4,0,0,"{""A"":6,""B"":18}","{""A"":6,""B"":18}","{""A"":12582912,""B"":37748736}","{""A"":12582912,""B"":37748736}",3864096166457741,3864097328042801,1161585060
7,post_fault,1,23fed2f53d9332b0bdd2e5dde1a51f2f43c111551a4e9c6b2b81419db7af8692,localized_link_reroute,1107891240,1.10789124,50331648,4,0,0,"{""A"":6,""B"":18}","{""A"":6,""B"":18}","{""A"":12582912,""B"":37748736}","{""A"":12582912,""B"":37748736}",3864097328130601,3864098436458013,1108327412
8,post_fault,1,23fed2f53d9332b0bdd2e5dde1a51f2f43c111551a4e9c6b2b81419db7af8692,localized_link_reroute,1070415077,1.070415077,50331648,4,0,0,"{""A"":6,""B"":18}","{""A"":6,""B"":18}","{""A"":12582912,""B"":37748736}","{""A"":12582912,""B"":37748736}",3864098436551243,3864099507370522,1070819279
9,post_fault,1,23fed2f53d9332b0bdd2e5dde1a51f2f43c111551a4e9c6b2b81419db7af8692,localized_link_reroute,1067093539,1.067093539,50331648,4,0,0,"{""A"":6,""B"":18}","{""A"":6,""B"":18}","{""A"":12582912,""B"":37748736}","{""A"":12582912,""B"":37748736}",3864099507468833,3864100575151285,1067682452
