poll_iteration,poll_start_ns,poll_end_ns,poll_interval_ns,interface,operstate,t_ns,kind,bytes,packets,drops,overlimits,requeues,backlog_bytes,qlen,rx_bytes,rx_packets,rx_dropped,tx_bytes,tx_packets,tx_dropped
0,3864089026841644,3864089027810629,0,sA-eth3,up,3864089027677808,netem,474,7,0,0,0,0,0,566,7,0,740,10,0
1,3864089046905642,3864089047529565,20063998,sA-eth3,up,3864089047450725,netem,584,8,0,0,0,0,0,566,7,0,850,11,0
2,3864089066899010,3864089067838935,19993368,sA-eth3,up,3864089067738834,netem,798,11,0,0,0,0,0,780,10,0,1064,14,0
3,3864089086897308,3864089087605582,19998298,sA-eth3,up,3864089087541032,netem,1656,24,0,0,0,218,3,204580,26,0,1922,27,0
4,3864089106897226,3864089107646740,19999918,sA-eth3,up,3864089107575240,netem,2798,41,0,0,0,132,2,460550,43,0,3064,44,0
5,3864089126896164,3864089127496468,19998938,sA-eth3,up,3864089127433257,netem,3788,56,0,0,0,66,1,720732,58,0,4054,59,0
6,3864089146895933,3864089147696827,19999769,sA-eth3,up,3864089147629816,netem,4580,68,0,0,0,66,1,963406,71,0,4846,71,0
7,3864089166896631,3864089167610734,20000698,sA-eth3,up,3864089167549634,netem,5438,81,0,0,0,132,2,1217664,84,0,5704,84,0
8,3864089186896369,3864089187571672,19999738,sA-eth3,up,3864089187493252,netem,6428,96,0,0,0,66,1,1486798,103,0,6760,100,0
9,3864089206897577,3864089207483610,20001208,sA-eth3,up,3864089207422820,netem,7550,113,0,0,0,66,1,1725326,119,0,7816,116,0
10,3864089226896415,3864089227631179,19998838,sA-eth3,up,3864089227547099,netem,8606,129,0,0,0,0,0,1987088,136,0,8872,132,0
11,3864089246897733,3864089247572727,20001318,sA-eth3,up,3864089247489016,netem,9596,144,0,0,0,66,1,2106844,144,0,9862,147,0
12,3864089266897561,3864089267659475,19999828,sA-eth3,up,3864089267552315,netem,197488,270,0,0,0,24224,1,2107834,159,0,190494,163,0
13,3864089286899359,3864089287617363,20001798,sA-eth3,up,3864089287546833,netem,448812,436,0,0,0,39454,4,2108890,175,0,436262,179,0
14,3864089306896957,3864089307592091,19997598,sA-eth3,up,3864089307514621,netem,700226,603,0,0,0,59046,3,2109814,189,0,673300,194,0
15,3864089326897166,3864089327548319,20000209,sA-eth3,up,3864089327483919,netem,945494,765,0,0,0,66616,4,2110606,201,0,908668,206,0
16,3864089346896194,3864089347595277,19999028,sA-eth3,up,3864089347507417,netem,1199846,933,0,0,0,77214,4,2111464,214,0,1152790,219,0
17,3864089366898322,3864089367627096,20002128,sA-eth3,up,3864089367553645,netem,1442086,1093,0,0,0,110522,7,2112454,229,0,1385460,234,0
18,3864089386897650,3864089387636604,19999328,sA-eth3,up,3864089387568294,netem,1678270,1249,0,0,0,127176,8,2113576,246,0,1635638,251,0
