t_monotonic_ns,event,rank,version,plan_fingerprint,policy,effective_round,changed_slots
3864092538427227,RECOVERY_PROPOSE,,1,23fed2f53d9332b0bdd2e5dde1a51f2f43c111551a4e9c6b2b81419db7af8692,localized_link_reroute,3,"[{""new_route"":""B"",""old_route"":""A"",""sender_rank"":1,""step_id"":1},{""new_route"":""B"",""old_route"":""A"",""sender_rank"":1,""step_id"":3},{""new_route"":""B"",""old_route"":""A"",""sender_rank"":1,""step_id"":5},{""new_route"":""B"",""old_route"":""A"",""sender_rank"":2,""step_id"":0},{""new_route"":""B"",""old_route"":""A"",""sender_rank"":2,""step_id"":2},{""new_route"":""B"",""old_route"":""A"",""sender_rank"":2,""step_id"":4}]"
3864092538562328,READY,0,1,23fed2f53d9332b0bdd2e5dde1a51f2f43c111551a4e9c6b2b81419db7af8692,,3,
3864092538567718,READY,2,1,23fed2f53d9332b0bdd2e5dde1a51f2f43c111551a4e9c6b2b81419db7af8692,,3,
3864092538577698,READY,1,1,23fed2f53d9332b0bdd2e5dde1a51f2f43c111551a4e9c6b2b81419db7af8692,,3,
3864092538604028,READY,3,1,23fed2f53d9332b0bdd2e5dde1a51f2f43c111551a4e9c6b2b81419db7af8692,,3,
3864092538824340,COMMITTED,0,1,23fed2f53d9332b0bdd2e5dde1a51f2f43c111551a4e9c6b2b81419db7af8692,,,
3864092538844300,COMMITTED,1,1,23fed2f53d9332b0bdd2e5dde1a51f2f43c111551a4e9c6b2b81419db7af8692,,,
3864092538854190,COMMITTED,3,1,23fed2f53d9332b0bdd2e5dde1a51f2f43c111551a4e9c6b2b81419db7af8692,,,
3864092538901600,COMMITTED,2,1,23fed2f53d9332b0bdd2e5dde1a51f2f43c111551a4e9c6b2b81419db7af8692,,,
3864092538980071,RECOVERY_COMMIT,,1,23fed2f53d9332b0bdd2e5dde1a51f2f43c111551a4e9c6b2b81419db7af8692,localized_link_reroute,3,"[{""new_route"":""B"",""old_route"":""A"",""sender_rank"":1,""step_id"":1},{""new_route"":""B"",""old_route"":""A"",""sender_rank"":1,""step_id"":3},{""new_route"":""B"",""old_route"":""A"",""sender_rank"":1,""step_id"":5},{""new_route"":""B"",""old_route"":""A"",""sender_rank"":2,""step_id"":0},{""new_route"":""B"",""old_route"":""A"",""sender_rank"":2,""step_id"":2},{""new_route"":""B"",""old_route"":""A"",""sender_rank"":2,""step_id"":4}]"
