poll_iteration,poll_start_ns,poll_end_ns,poll_interval_ns,interface,operstate,t_ns,kind,bytes,packets,drops,overlimits,requeues,backlog_bytes,qlen,rx_bytes,rx_packets,rx_dropped,tx_bytes,tx_packets,tx_dropped
0,3864240482349049,3864240483438135,0,sA-eth3,up,3864240483148723,netem,364,6,0,0,0,0,0,480,6,0,630,9,0
1,3864240502410347,3864240503124371,20061298,sA-eth3,up,3864240503029121,netem,364,6,0,0,0,0,0,480,6,0,630,9,0
2,3864240522411796,3864240523174250,20001449,sA-eth3,up,3864240523098419,netem,578,9,0,0,0,0,0,694,9,0,844,12,0
3,3864240542406054,3864240543222858,19994258,sA-eth3,up,3864240543122188,netem,1436,22,0,0,0,132,2,204494,25,0,1702,25,0
4,3864240562403932,3864240563124356,19997878,sA-eth3,up,3864240563070235,netem,2492,38,0,0,0,132,2,460464,42,0,2758,41,0
5,3864240582407890,3864240583119694,20003958,sA-eth3,up,3864240583033843,netem,3592,54,0,0,0,66,1,720646,57,0,3858,57,0
6,3864240602406098,3864240603111852,19998208,sA-eth3,up,3864240603006501,netem,4384,66,0,0,0,66,1,963320,70,0,4650,69,0
7,3864240622408456,3864240623125000,20002358,sA-eth3,up,3864240623024149,netem,5242,79,0,0,0,132,2,1217776,86,0,5508,82,0
8,3864240642405654,3864240643167258,19997198,sA-eth3,up,3864240643055028,netem,6516,98,0,0,0,66,1,1486910,105,0,6848,102,0
9,3864240662407182,3864240663113206,20001528,sA-eth3,up,3864240663034936,netem,7572,114,0,0,0,66,1,1725438,121,0,7838,117,0
10,3864240682406250,3864240683119584,19999068,sA-eth3,up,3864240683048224,netem,8628,130,0,0,0,0,0,1987134,137,0,8894,133,0
11,3864240702403879,3864240703155673,19997629,sA-eth3,up,3864240703039632,netem,9552,144,0,0,0,0,0,2106780,144,0,9818,147,0
12,3864240722408407,3864240723237971,20004528,sA-eth3,up,3864240723175271,netem,197444,270,0,0,0,24224,1,2107770,159,0,190450,163,0
13,3864240742402855,3864240743055108,19994448,sA-eth3,up,3864240742942388,netem,448768,436,0,0,0,39364,3,2108846,175,0,431808,179,0
14,3864240762405883,3864240763133757,20003028,sA-eth3,up,3864240763051897,netem,700178,603,0,0,0,59046,3,2109836,190,0,673252,194,0
15,3864240782375061,3864240783086835,19969178,sA-eth3,up,3864240783022045,netem,945556,766,0,0,0,66616,4,2110628,202,0,908730,207,0
16,3864240802404709,3864240803209064,20029648,sA-eth3,up,3864240803107993,netem,1199908,934,0,0,0,77214,4,2111552,216,0,1157262,221,0
17,3864240822405577,3864240823029931,20000868,sA-eth3,up,3864240822957520,netem,1442148,1094,0,0,0,86298,6,2112476,230,0,1385522,235,0
18,3864240842405226,3864240843180320,19999649,sA-eth3,up,3864240843099799,netem,1702556,1266,0,0,0,102952,7,2113598,247,0,1635700,252,0
19,3864240862404414,3864240863044577,19999188,sA-eth3,up,3864240862954617,netem,1938740,1422,0,0,0,128690,8,2114588,262,0,1862578,267,0
20,3864240882403862,3864240883108316,19999448,sA-eth3,up,3864240883030135,netem,2188550,1587,0,0,0,14140,1,2115644,278,0,2116034,283,0
21,3864240902405220,3864240903185414,20001358,sA-eth3,up,3864240903088233,netem,2203416,1608,0,0,0,0,0,2458518,295,0,2116760,294,0
22,3864240922406198,3864240923055651,20000978,sA-eth3,up,3864240922974161,netem,2204076,1618,0,0,0,0,0,2721596,310,0,2117420,304,0
23,3864240942403966,3864240943070830,19997768,sA-eth3,up,3864240942993369,netem,2205000,1632,0,0,0,66,1,2975986,325,0,2118410,319,0
24,3864240962408714,3864240963116798,20004748,sA-eth3,up,3864240963038938,netem,2206056,1648,0,0,0,0,0,3224782,343,0,2119400,334,0
25,3864240982403622,3864240983049546,19994908,sA-eth3,up,3864240982945755,netem,2207178,1665,0,0,0,66,1,3477856,360,0,2120588,352,0
26,3864241002405840,3864241003016994,20002218,sA-eth3,up,3864241002939113,netem,2208300,1682,0,0,0,0,0,3726586,377,0,2121644,368,0
27,3864241022403479,3864241023024932,19997639,sA-eth3,up,3864241022958091,netem,2209356,1698,0,0,0,0,0,3983938,393,0,2122700,384,0
28,3864241042403687,3864241043097580,20000208,sA-eth3,up,3864241043026260,netem,2210456,1714,0,0,0,66,1,4221334,407,0,2123800,400,0
29,3864241062404735,3864241063154839,20001048,sA-eth3,up,3864241063081589,netem,2211380,1728,0,0,0,151490,8,4221334,407,0,2124724,414,0
30,3864241082403963,3864241083006966,19999228,sA-eth3,up,3864241082931596,netem,2440084,1880,0,0,0,154428,6,4222126,419,0,2344188,426,0
31,3864241102404261,3864241103091515,20000298,sA-eth3,up,3864241103007634,netem,2685352,2042,0,0,0,177138,11,4222786,429,0,2579424,436,0
32,3864241122404269,3864241122988602,20000008,sA-eth3,up,3864241122925762,netem,2947274,2215,0,0,0,160484,9,4223842,445,0,2830984,452,0
33,3864241142403087,3864241142991790,19998818,sA-eth3,up,3864241142916350,netem,3192542,2377,0,0,0,201362,14,4224832,460,0,3066550,467,0
34,3864241162403555,3864241162964118,20000468,sA-eth3,up,3864241162906668,netem,3448408,2546,0,0,0,186222,12,4226020,478,0,3312450,485,0
35,3864241182402994,3864241183061297,19999439,sA-eth3,up,3864241182946987,netem,3692162,2707,0,0,0,227100,14,4227076,494,0,3546634,501,0
36,3864241202407462,3864241203006285,20004468,sA-eth3,up,3864241202931314,netem,3943486,2873,0,0,0,213474,13,4228066,509,0,3787992,516,0
37,3864241222402830,3864241222979033,19995368,sA-eth3,up,3864241222907253,netem,4200866,3043,0,0,0,203390,12,4229056,524,0,4035142,531,0
